"PROFIT_CENTER_GROUP_CODE","PROFIT_CENTER_GROUP_NAME","PROFIT_CENTER_KEY","PROFIT_CENTER_ID","PROFIT_CENTER_NAME","PC_LEVEL1_SORT","PC_LEVEL1_CATEGORY","PC_LEVEL2_SORT","PC_LEVEL2_CATEGORY","PC_LEVEL3_SORT","PC_LEVEL3_CATEGORY","PC_LEVEL4_SORT","PC_LEVEL4_CATEGORY","PC_LEVEL5_SORT","PC_LEVEL5_CATEGORY","PC_LEVEL6_SORT","PC_LEVEL6_CATEGORY","PC_LEVEL7_SORT","PC_LEVEL7_CATEGORY","PC_LEVEL8_SORT","PC_LEVEL8_CATEGORY","DLC_KEY","DLC_NAME","WAREHOUSE_LOAD_DATE"
"P00_MIT","P. C. Standard Hierarchy","P420557-001","P420557","Outside Trusts",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",678,"Planned Giving",680,"Life Income Funds",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420600-001","P420600","Real Estate Administration",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",295,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420600-001","P420600","Real Estate Administration",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",285,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420600-001","P420600","Real Estate Administration",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420600-001","P420600","Real Estate Administration",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",672,"Investment Administration",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420610-001","P420610","Expansion Real Estate Supplement",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",294,"Treasurer Administration & Operations",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420610-001","P420610","Expansion Real Estate Supplement",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",284,"Treasurer Administration & Operations",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420610-001","P420610","Expansion Real Estate Supplement",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420610-001","P420610","Expansion Real Estate Supplement",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",671,"Treasurer Administration & Operations",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P421000-001","P421000","Treasurer Office Funds",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",298,"Senior Officer Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P421000-001","P421000","Treasurer Office Funds",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",288,"Senior Officer Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P421000-001","P421000","Treasurer Office Funds",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P421000-001","P421000","Treasurer Office Funds",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",683,"Senior Officer Administration",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P421010-001","P421010","Chairman Expenses",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",298,"Senior Officer Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P421010-001","P421010","Chairman Expenses",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",288,"Senior Officer Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P421010-001","P421010","Chairman Expenses",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P421010-001","P421010","Chairman Expenses",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",683,"Senior Officer Administration",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P421020-001","P421020","Ex-Officers Expenses",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",298,"Senior Officer Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P421020-001","P421020","Ex-Officers Expenses",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",288,"Senior Officer Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P421020-001","P421020","Ex-Officers Expenses",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P421020-001","P421020","Ex-Officers Expenses",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",683,"Senior Officer Administration",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P422800-001","P422800","Investment Administration",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",295,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P422800-001","P422800","Investment Administration",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",285,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P422800-001","P422800","Investment Administration",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P422800-001","P422800","Investment Administration",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",672,"Investment Administration",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P422801-001","P422801","Endowment Investment Expense",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",295,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P422801-001","P422801","Endowment Investment Expense",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",285,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P422801-001","P422801","Endowment Investment Expense",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P422801-001","P422801","Endowment Investment Expense",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",672,"Investment Administration",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P422802-001","P422802","Pension Investment Expense",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",295,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P422802-001","P422802","Pension Investment Expense",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",285,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P422802-001","P422802","Pension Investment Expense",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P422802-001","P422802","Pension Investment Expense",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",672,"Investment Administration",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P422803-001","P422803","Separately Invested Funds",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",295,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P422803-001","P422803","Separately Invested Funds",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",285,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P422803-001","P422803","Separately Invested Funds",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P422803-001","P422803","Separately Invested Funds",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",672,"Investment Administration",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420558-001","P420558","Life Income Funds",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",297,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420558-001","P420558","Life Income Funds",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",287,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420558-001","P420558","Life Income Funds",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420558-001","P420558","Life Income Funds",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",678,"Planned Giving",680,"Life Income Funds",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420556-001","P420556","Perpetual Trusts",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",297,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420556-001","P420556","Perpetual Trusts",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",287,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420556-001","P420556","Perpetual Trusts",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420556-001","P420556","Perpetual Trusts",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",678,"Planned Giving",680,"Life Income Funds",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420555-001","P420555","Compton Pooled Funds",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",297,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420555-001","P420555","Compton Pooled Funds",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",287,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420555-001","P420555","Compton Pooled Funds",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420555-001","P420555","Compton Pooled Funds",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",678,"Planned Giving",680,"Life Income Funds",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420554-001","P420554","Maclaurin Pooled Funds",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",297,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420554-001","P420554","Maclaurin Pooled Funds",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",287,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420554-001","P420554","Maclaurin Pooled Funds",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420554-001","P420554","Maclaurin Pooled Funds",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",678,"Planned Giving",680,"Life Income Funds",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420553-001","P420553","Rogers Pooled Funds",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",297,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420553-001","P420553","Rogers Pooled Funds",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",287,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420553-001","P420553","Rogers Pooled Funds",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420553-001","P420553","Rogers Pooled Funds",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",678,"Planned Giving",680,"Life Income Funds",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420552-001","P420552","Annuities",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",297,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420552-001","P420552","Annuities",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",287,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420552-001","P420552","Annuities",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420552-001","P420552","Annuities",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",678,"Planned Giving",680,"Life Income Funds",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420551-001","P420551","Unitrusts",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",297,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420551-001","P420551","Unitrusts",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",287,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420551-001","P420551","Unitrusts",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420551-001","P420551","Unitrusts",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",678,"Planned Giving",680,"Life Income Funds",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420550-001","P420550","Planned Giving Operations",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",297,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420550-001","P420550","Planned Giving Operations",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",287,"Planned Giving",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420550-001","P420550","Planned Giving Operations",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420550-001","P420550","Planned Giving Operations",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",678,"Planned Giving",679,"Planned Giving Operations",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420503-001","P420503","Treasurer Special",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",296,"Recording Secretary",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420503-001","P420503","Treasurer Special",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",286,"Recording Secretary",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420503-001","P420503","Treasurer Special",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420503-001","P420503","Treasurer Special",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",673,"Recording Secretary",677,"Treasurer Special",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P422804-001","P422804","Trust, Estate And Non-Cash Gift Administ",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",295,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P422804-001","P422804","Trust, Estate And Non-Cash Gift Administ",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",285,"Investment Administration",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P422804-001","P422804","Trust, Estate And Non-Cash Gift Administ",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P422804-001","P422804","Trust, Estate And Non-Cash Gift Administ",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",672,"Investment Administration",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P420502-001","P420502","Unrestricted Funds",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",296,"Recording Secretary",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P420502-001","P420502","Unrestricted Funds",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",286,"Recording Secretary",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P420502-001","P420502","Unrestricted Funds",5,"General & Administrative",7,"G&A--Institutional Support (IPEDS)",7,"G&A--Institutional Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P420502-001","P420502","Unrestricted Funds",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",673,"Recording Secretary",676,"Unrestricted Funds",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P382000-001","P382000","Academic Council Members",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",299,"Other Budgeted Expenses",304,"Academic Council Members",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P382000-001","P382000","Academic Council Members",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",289,"Other Budgeted Expenses",294,"Academic Council Members",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P382000-001","P382000","Academic Council Members",2,"Instruction & Departmental Research",4,"I&DR--Academic Support (IPEDS)",4,"I&DR--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P382000-001","P382000","Academic Council Members",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",684,"Other Budgeted Expenses",689,"Academic Council Members",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P381000-001","P381000","Budgeted Or Unavailable Funds",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",299,"Other Budgeted Expenses",303,"Budgeted or Unavailable Funds",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P381000-001","P381000","Budgeted Or Unavailable Funds",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",289,"Other Budgeted Expenses",293,"Budgeted or Unavailable Funds",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P381000-001","P381000","Budgeted Or Unavailable Funds",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",684,"Other Budgeted Expenses",688,"Budgeted or Unavailable Funds",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P381000-001","P381000","Budgeted Or Unavailable Funds",2,"Instruction & Departmental Research",3,"I&DR--Instruction (IPEDS)",3,"I&DR--Instruction (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P380500-001","P380500","Funds-Designation To Be Determined",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",299,"Other Budgeted Expenses",302,"Funds-Designation to be Determined",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P380500-001","P380500","Funds-Designation To Be Determined",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",289,"Other Budgeted Expenses",292,"Funds-Designation to be Determined",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P380500-001","P380500","Funds-Designation To Be Determined",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",684,"Other Budgeted Expenses",687,"Funds-Designation to be Determined",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P380500-001","P380500","Funds-Designation To Be Determined",2,"Instruction & Departmental Research",3,"I&DR--Instruction (IPEDS)",3,"I&DR--Instruction (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P380100-001","P380100","Central Endow For Designated Purposes",252,"Executive Vice President & Treasurer",293,"Treasurer of the Corporation",299,"Other Budgeted Expenses",301,"Central Endowment-Designated",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P380100-001","P380100","Central Endow For Designated Purposes",242,"Executive Vice President & Treasurer",283,"Treasurer of the Corporation",289,"Other Budgeted Expenses",291,"Central Endowment-Designated",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P380100-001","P380100","Central Endow For Designated Purposes",2,"MIT Corporation",3,"President Node",616,"Executive Vice President & Treasurer",670,"Treasurer of the Corporation",684,"Other Budgeted Expenses",686,"Central Endowment-Designated",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P380100-001","P380100","Central Endow For Designated Purposes",2,"Instruction & Departmental Research",3,"I&DR--Instruction (IPEDS)",3,"I&DR--Instruction (IPEDS)",,"",,"",,"",,"",,"","D_MITIMCO","MIT Investment Management Company",28-OCT-24
