"MOIRA_LIST_KEY","MOIRA_LIST_NAME","MOIRA_LIST_DESCRIPTION","IS_ACTIVE","IS_MOIRA_MAILING_LIST","IS_MOIRA_GROUP","IS_NFS_GROUP","IS_PUBLIC","IS_HIDDEN"
"jme-alumni","jme-alumni","none","Y","Y","N","N","N","N"
"frecl","frecl","none","Y","Y","N","N","N","N"
"mujeres_-request","mujeres_-request","none","Y","Y","N","N","N","N"
"gh-staff","gh-staff","none","Y","Y","N","N","N","N"
"firsttask","firsttask","none","Y","Y","N","N","N","N"
"gh-cast","gh-cast","none","Y","Y","N","N","N","N"
"frenchfa04-request","frenchfa04-request","none","Y","Y","N","N","N","N"
"iands","iands","none","Y","Y","N","N","N","N"
"cplancomm97","cplancomm97","none","Y","Y","N","N","N","N"
"cplancomm97-request","cplancomm97-request","none","Y","Y","N","N","N","N"
"gh-music","gh-music","none","Y","Y","N","N","N","N"
"comm-forum-request","comm-forum-request","none","Y","Y","N","N","N","N"
"mensoccer","mensoccer","none","Y","Y","N","N","N","N"
"esl-request","esl-request","none","Y","Y","N","N","N","N"
"sp-musical-chair-request","sp-musical-chair-request","none","Y","Y","N","N","N","N"
"sp-musical-request","sp-musical-request","none","Y","Y","N","N","N","N"
"nh2-02-request","nh2-02-request","none","Y","Y","N","N","N","N"
"sp-interfaith-request","sp-interfaith-request","none","Y","Y","N","N","N","N"
"mit-aiti-all-request","mit-aiti-all-request","none","Y","Y","N","N","N","N"
"hst-social-md-request","hst-social-md-request","none","Y","Y","N","N","N","N"
"hst-social-request","hst-social-request","none","Y","Y","N","N","N","N"
"hst-social-phd-request","hst-social-phd-request","none","Y","Y","N","N","N","N"
"happy50th-acl","happy50th-acl","none","Y","Y","N","N","N","N"
"sbm-comm","sbm-comm","none","Y","Y","N","N","N","N"
"cmsg-alum-request","cmsg-alum-request","none","Y","Y","N","N","N","N"
"dcsummer07-request","dcsummer07-request","none","Y","Y","N","N","N","N"
"edattain-acl","edattain-acl","none","Y","Y","N","N","N","N"
"nasc-request","nasc-request","none","Y","Y","N","N","N","N"
"imbball","imbball","none","Y","Y","N","N","N","N"
"slcompetition-request","slcompetition-request","none","Y","Y","N","N","N","N"
"grad-econ03-request","grad-econ03-request","none","Y","Y","N","N","N","N"
"fy-03athletics-board-request","fy-03athletics-board-request","none","Y","Y","N","N","N","N"
"electronicmusic-request","electronicmusic-request","none","Y","Y","N","N","N","N"
"sp-lift-request","sp-lift-request","none","Y","Y","N","N","N","N"
"sp-run-request","sp-run-request","none","Y","Y","N","N","N","N"
"isn-tl-request","isn-tl-request","none","Y","Y","N","N","N","N"
"sp-workout-request","sp-workout-request","none","Y","Y","N","N","N","N"
"dmapi-incl-request","dmapi-incl-request","none","Y","Y","N","N","N","N"
"sp-swim-request","sp-swim-request","none","Y","Y","N","N","N","N"
"esd36-request","esd36-request","none","Y","Y","N","N","N","N"
"ctl-shutterfly","ctl-shutterfly","none","Y","Y","N","N","N","N"
"lsa_class-request","lsa_class-request","none","Y","Y","N","N","N","N"
"cmsg-09-request","cmsg-09-request","none","Y","Y","N","N","N","N"
"jitsu03-request","jitsu03-request","none","Y","Y","N","N","N","N"
"ctl-test","ctl-test","none","Y","Y","N","N","N","N"
"cpr-signup","cpr-signup","none","Y","Y","N","N","N","N"
"sbmall","sbmall","none","Y","Y","N","N","N","N"
"emarkets-request","emarkets-request","none","Y","Y","N","N","N","N"
"nuwong-list-request","nuwong-list-request","none","Y","Y","N","N","N","N"
"eecs-gsa-hockey06-request","eecs-gsa-hockey06-request","none","Y","Y","N","N","N","N"
"cmi-cam-03-request","cmi-cam-03-request","none","Y","Y","N","N","N","N"
"chickadee-vb-request","chickadee-vb-request","none","Y","Y","N","N","N","N"
"skgreatwomen-request","skgreatwomen-request","none","Y","Y","N","N","N","N"
"grad-fin-request-old","grad-fin-request-old","none","Y","Y","N","N","N","N"
"npol-list-request","npol-list-request","none","Y","Y","N","N","N","N"
"hytfp2-request","hytfp2-request","none","Y","Y","N","N","N","N"
"mitoo","mitoo","none","Y","Y","N","N","N","N"
"shs-admissions-committee","shs-admissions-committee","none","Y","Y","N","N","N","N"
"sdmadmin","sdmadmin","none","Y","Y","N","N","N","N"
"civil-webadmin","civil-webadmin","none","Y","Y","N","N","N","N"
"is-sotl-request","is-sotl-request","none","Y","Y","N","N","N","N"
"evaluation-request","evaluation-request","none","Y","Y","N","N","N","N"
"simulation-control-request","simulation-control-request","none","Y","Y","N","N","N","N"
"ox-parties-request","ox-parties-request","none","Y","Y","N","N","N","N"
"roast_mari-request","roast_mari-request","none","Y","Y","N","N","N","N"
"dfoley-list-request","dfoley-list-request","none","Y","Y","N","N","N","N"
"roast_michal-request","roast_michal-request","none","Y","Y","N","N","N","N"
"roast_heather-request","roast_heather-request","none","Y","Y","N","N","N","N"
"roast_sharon-request","roast_sharon-request","none","Y","Y","N","N","N","N"
"roast_julie-request","roast_julie-request","none","Y","Y","N","N","N","N"
"sh-history-request","sh-history-request","none","Y","Y","N","N","N","N"
"et-pc08s","et-pc08s","none","Y","Y","N","N","N","N"
"d-lab-guatemala-request","d-lab-guatemala-request","none","Y","Y","N","N","N","N"
"cmi-ur-pi-request","cmi-ur-pi-request","none","Y","Y","N","N","N","N"
"simulation-principals-request","simulation-principals-request","none","Y","Y","N","N","N","N"
"igem2005-request-old","igem2005-request-old","none","Y","Y","N","N","N","N"
"d-lab-guatemala","d-lab-guatemala","none","Y","Y","N","N","N","N"
"crazy-praze-request","crazy-praze-request","none","Y","Y","N","N","N","N"
"igem-request-old","igem-request-old","none","Y","Y","N","N","N","N"
"mandbbraun","mandbbraun","none","Y","Y","N","N","N","N"
"phsilicon-old","phsilicon-old","none","Y","Y","N","N","N","N"
"phsilicon-request-old","phsilicon-request-old","none","Y","Y","N","N","N","N"
"seminar-147-class-list-request","seminar-147-class-list-request","none","Y","Y","N","N","N","N"
"cseic-staff-request","cseic-staff-request","none","Y","Y","N","N","N","N"
"dma_symposium06-request","dma_symposium06-request","none","Y","Y","N","N","N","N"
"rnj","rnj","none","Y","Y","N","N","N","N"
"phphysics-request-old","phphysics-request-old","none","Y","Y","N","N","N","N"
"et-acl","et-acl","none","Y","Y","N","N","N","N"
"sdm_certificate_program-request","sdm_certificate_program-request","none","Y","Y","N","N","N","N"
"clr_advising-request","clr_advising-request","none","Y","Y","N","N","N","N"
"et-request","et-request","none","Y","Y","N","N","N","N"
"phphysics-old","phphysics-old","none","Y","Y","N","N","N","N"
"nine-cats-request","nine-cats-request","none","Y","Y","N","N","N","N"
"skitrip_portugas-request","skitrip_portugas-request","none","Y","Y","N","N","N","N"
"m-men","m-men","none","Y","Y","N","N","N","N"
"knowledge_station-request","knowledge_station-request","none","Y","Y","N","N","N","N"
"diabetnet-request","diabetnet-request","none","Y","Y","N","N","N","N"
"olc-filter-acl","olc-filter-acl","none","Y","Y","N","N","N","N"
"japan-2004-request","japan-2004-request","none","Y","Y","N","N","N","N"
"rm-digsafe","rm-digsafe","none","Y","Y","N","N","N","N"
"jara-request","jara-request","none","Y","Y","N","N","N","N"
"dmapi-request","dmapi-request","none","Y","Y","N","N","N","N"
"chris-laas","chris-laas","none","Y","Y","N","N","N","N"
"ocw-blocks-request","ocw-blocks-request","none","Y","Y","N","N","N","N"
"humanities-request","humanities-request","none","Y","Y","N","N","N","N"
"ctl-rebate","ctl-rebate","none","Y","Y","N","N","N","N"
"maeda-advice-request","maeda-advice-request","none","Y","Y","N","N","N","N"
"ctl-okcupid","ctl-okcupid","none","Y","Y","N","N","N","N"
"lunardreem-request","lunardreem-request","none","Y","Y","N","N","N","N"
"lla-us-japan-request","lla-us-japan-request","none","Y","Y","N","N","N","N"
"crib-list-request-old","crib-list-request-old","none","Y","Y","N","N","N","N"
"mitaah-hss-forum","mitaah-hss-forum","none","Y","Y","N","N","N","N"
"sdm-commuter-request","sdm-commuter-request","none","Y","Y","N","N","N","N"
"htgr","htgr","none","Y","Y","N","N","N","N"
"repl","repl","none","Y","Y","N","N","N","N"
"nanolab-request","nanolab-request","none","Y","Y","N","N","N","N"
"newfac-admin","newfac-admin","none","Y","Y","N","N","N","N"
"sp-founder-request","sp-founder-request","none","Y","Y","N","N","N","N"
"et-ra-search","et-ra-search","none","Y","Y","N","N","N","N"
"sloan-lgbt-se-request","sloan-lgbt-se-request","none","Y","Y","N","N","N","N"
"recyclemaniacs-request","recyclemaniacs-request","none","Y","Y","N","N","N","N"
"landphoto-request","landphoto-request","none","Y","Y","N","N","N","N"
"ippen-students-request","ippen-students-request","none","Y","Y","N","N","N","N"
"oraclesu","oraclesu","none","Y","Y","N","N","N","N"
"mlaxalum-request","mlaxalum-request","none","Y","Y","N","N","N","N"
"mitcasl","mitcasl","none","Y","Y","N","N","N","N"
"ned-art-request","ned-art-request","none","Y","Y","N","N","N","N"
"mit_hr-request","mit_hr-request","none","Y","Y","N","N","N","N"
"et-exec","et-exec","none","Y","Y","N","N","N","N"
"cyberpartners-request","cyberpartners-request","none","Y","Y","N","N","N","N"
"nuts_on_audrey-request","nuts_on_audrey-request","none","Y","Y","N","N","N","N"
"hiker","hiker","none","Y","Y","N","N","N","N"
"cindyhill","cindyhill","none","Y","Y","N","N","N","N"
"palantiri-request","palantiri-request","none","Y","Y","N","N","N","N"
"hm-members3-request","hm-members3-request","none","Y","Y","N","N","N","N"
"manic-request","manic-request","none","Y","Y","N","N","N","N"
"hd-schedule","hd-schedule","none","Y","Y","N","N","N","N"
"psg-samhain","psg-samhain","none","Y","Y","N","N","N","N"
"freshmenadvisees07-request","freshmenadvisees07-request","none","Y","Y","N","N","N","N"
"ldap-admins","ldap-admins","none","Y","Y","N","N","N","N"
"crsp-committee-request","crsp-committee-request","none","Y","Y","N","N","N","N"
"d-lab-samoa-parents-request","d-lab-samoa-parents-request","none","Y","Y","N","N","N","N"
"inauguration-comm-request","inauguration-comm-request","none","Y","Y","N","N","N","N"
"duspsteering","duspsteering","none","Y","Y","N","N","N","N"
"hkn-eligibles-s02-request","hkn-eligibles-s02-request","none","Y","Y","N","N","N","N"
"manic-sages-old","manic-sages-old","none","Y","Y","N","N","N","N"
"med-seminar-request","med-seminar-request","none","Y","Y","N","N","N","N"
"ht-cmse-acl","ht-cmse-acl","none","Y","Y","N","N","N","N"
"gr275-request","gr275-request","none","Y","Y","N","N","N","N"
"dost-colo","dost-colo","none","Y","Y","N","N","N","N"
"esd-aa-cee-search-request","esd-aa-cee-search-request","none","Y","Y","N","N","N","N"
"nature-women-request","nature-women-request","none","Y","Y","N","N","N","N"
"cmexchange-request","cmexchange-request","none","Y","Y","N","N","N","N"
"emparticipants.fall08-request","emparticipants.fall08-request","none","Y","Y","N","N","N","N"
"cme-request","cme-request","none","Y","Y","N","N","N","N"
"gtf08-request","gtf08-request","none","Y","Y","N","N","N","N"
"hm-members2-request","hm-members2-request","none","Y","Y","N","N","N","N"
"hm-members1-request","hm-members1-request","none","Y","Y","N","N","N","N"
"prinngroup-request","prinngroup-request","none","Y","Y","N","N","N","N"
"mitcp-members","mitcp-members","none","Y","Y","N","N","N","N"
"mitcp-pub","mitcp-pub","none","Y","Y","N","N","N","N"
"solar7-dc-request","solar7-dc-request","none","Y","Y","N","N","N","N"
"fortinbras-crew","fortinbras-crew","none","Y","Y","N","N","N","N"
"childcare-request","childcare-request","none","Y","Y","N","N","N","N"
"r3-test-notify","r3-test-notify","none","Y","Y","N","N","N","N"
"photo-4.341-request","photo-4.341-request","none","Y","Y","N","N","N","N"
"dme-2008-request","dme-2008-request","none","Y","Y","N","N","N","N"
"se2004_students-request","se2004_students-request","none","Y","Y","N","N","N","N"
"patriot2","patriot2","none","Y","Y","N","N","N","N"
"lsc-chairmen","lsc-chairmen","none","Y","Y","N","N","N","N"
"et-pc06s","et-pc06s","none","Y","Y","N","N","N","N"
"ljames-list-request","ljames-list-request","none","Y","Y","N","N","N","N"
"hapa-request","hapa-request","none","Y","Y","N","N","N","N"
"pulp-and-paper-request","pulp-and-paper-request","none","Y","Y","N","N","N","N"
"ctl-scubatoys","ctl-scubatoys","none","Y","Y","N","N","N","N"
"pulp-and-paper","pulp-and-paper","none","Y","Y","N","N","N","N"
"justice-league-request","justice-league-request","none","Y","Y","N","N","N","N"
"duck-and-cover","duck-and-cover","none","Y","Y","N","N","N","N"
"olc-design","olc-design","none","Y","Y","N","N","N","N"
"ctl-rcn","ctl-rcn","none","Y","Y","N","N","N","N"
"mitminnesota-request","mitminnesota-request","none","Y","Y","N","N","N","N"
"ctl-nstar","ctl-nstar","none","Y","Y","N","N","N","N"
"plant-customer-request","plant-customer-request","none","Y","Y","N","N","N","N"
"ctl-staples","ctl-staples","none","Y","Y","N","N","N","N"
"sipb-iap-matlab","sipb-iap-matlab","none","Y","Y","Y","N","N","N"
"highspeed-feedback-admin","highspeed-feedback-admin","none","Y","Y","N","N","N","N"
"sipb-iap-progpython","sipb-iap-progpython","none","Y","Y","N","N","N","N"
"dauntless-run-3","dauntless-run-3","none","Y","Y","N","N","N","N"
"sma5212-request","sma5212-request","none","Y","Y","N","N","N","N"
"petron-list-request","petron-list-request","none","Y","Y","N","N","N","N"
"multirad","multirad","none","Y","Y","N","N","N","N"
"panhel-standards-request","panhel-standards-request","none","Y","Y","N","N","N","N"
"photography-grad-request","photography-grad-request","none","Y","Y","N","N","N","N"
"logs-studio-request","logs-studio-request","none","Y","Y","N","N","N","N"
"dsl_admins_events-request","dsl_admins_events-request","none","Y","Y","N","N","N","N"
"cheme98","cheme98","none","Y","Y","N","N","N","N"
"cpd-request2","cpd-request2","none","Y","Y","N","N","N","N"
"msbcwpg-request","msbcwpg-request","none","Y","Y","N","N","N","N"
"cee-sophomores96-97","cee-sophomores96-97","none","Y","Y","N","N","N","N"
"fundsofecology","fundsofecology","none","Y","Y","N","N","N","N"
"kfjlab-request","kfjlab-request","none","Y","Y","N","N","N","N"
"mostnews-request-old","mostnews-request-old","none","Y","Y","N","N","N","N"
"hkn-tutees-s04-request","hkn-tutees-s04-request","none","Y","Y","N","N","N","N"
"hkn-tutors-s04-request","hkn-tutors-s04-request","none","Y","Y","N","N","N","N"
"hkn-tutoring-request","hkn-tutoring-request","none","Y","Y","N","N","N","N"
"commliaison-staff-request","commliaison-staff-request","none","Y","Y","N","N","N","N"
"physcolloq-request","physcolloq-request","none","Y","Y","N","N","N","N"
"cmi-mit-04-request","cmi-mit-04-request","none","Y","Y","N","N","N","N"
"new-fast","new-fast","none","Y","Y","N","N","N","N"
"hsw-ag-request","hsw-ag-request","none","Y","Y","N","N","N","N"
"new-fast-request","new-fast-request","none","Y","Y","N","N","N","N"
"runeart","runeart","none","Y","Y","N","N","N","N"
"runeart-request","runeart-request","none","Y","Y","N","N","N","N"
"hdfiledrop","hdfiledrop","none","Y","Y","N","N","N","N"
"phikaps-shenanigans","phikaps-shenanigans","none","Y","Y","N","N","N","N"
"esd60sum08-request","esd60sum08-request","none","Y","Y","N","N","N","N"
"plt-exec","plt-exec","none","Y","Y","Y","N","N","N"
"kepco-request","kepco-request","none","Y","Y","N","N","N","N"
"cmshi-request","cmshi-request","none","Y","Y","N","N","N","N"
"rst-seminar","rst-seminar","none","Y","Y","N","N","N","N"
"sophdesign-request","sophdesign-request","none","Y","Y","N","N","N","N"
"senergy","senergy","none","Y","Y","N","N","N","N"
"senergy-request","senergy-request","none","Y","Y","N","N","N","N"
"int-admin-request","int-admin-request","none","Y","Y","N","N","N","N"
"olderdrivers-www","olderdrivers-www","none","Y","Y","Y","N","N","N"
"ctl-onguard","ctl-onguard","none","Y","Y","N","N","N","N"
"job-97-0132a","job-97-0132a","none","Y","Y","N","N","N","N"
"ceesophomores","ceesophomores","none","Y","Y","N","N","N","N"
"dppj05-request","dppj05-request","none","Y","Y","N","N","N","N"
"ceejuniors","ceejuniors","none","Y","Y","N","N","N","N"
"slippage-www","slippage-www","none","Y","Y","Y","N","N","N"
"cee-minoritylist","cee-minoritylist","none","Y","Y","N","N","N","N"
"ceesa-sophs","ceesa-sophs","none","Y","Y","N","N","N","N"
"rowsearch_committee-request","rowsearch_committee-request","none","Y","Y","N","N","N","N"
"persian-mit-request","persian-mit-request","none","Y","Y","N","N","N","N"
"coll-others-request","coll-others-request","none","Y","Y","N","N","N","N"
"mlk2000","mlk2000","none","Y","Y","N","N","N","N"
"ennobling-request","ennobling-request","none","Y","Y","N","N","N","N"
"plt-all","plt-all","none","Y","Y","Y","N","N","N"
"notremonde-request","notremonde-request","none","Y","Y","N","N","N","N"
"clivadas-rec","clivadas-rec","none","Y","Y","N","N","N","N"
"is&t-web","is&t-web","none","Y","Y","N","N","N","N"
"lipsync-prizes-request","lipsync-prizes-request","none","Y","Y","N","N","N","N"
"memsclass-all-request","memsclass-all-request","none","Y","Y","N","N","N","N"
"phtest-old","phtest-old","none","Y","Y","N","N","N","N"
"phtest-request-old","phtest-request-old","none","Y","Y","N","N","N","N"
"phuangdata-acl","phuangdata-acl","none","Y","Y","Y","N","N","N"
"pol-phil-request","pol-phil-request","none","Y","Y","N","N","N","N"
"eco5-submit-request","eco5-submit-request","none","Y","Y","N","N","N","N"
"megradshop-request","megradshop-request","none","Y","Y","N","N","N","N"
"detroit-waitlist","detroit-waitlist","none","Y","Y","N","N","N","N"
"ehs-inventory-request","ehs-inventory-request","none","Y","Y","N","N","N","N"
"cis-staff-request-old","cis-staff-request-old","none","Y","Y","N","N","N","N"
"netreq-casetracker","netreq-casetracker","none","Y","Y","N","N","N","N"
"erba98-remote","erba98-remote","none","Y","Y","N","N","N","N"
"erba98-local","erba98-local","none","Y","Y","N","N","N","N"
"concreep-6-request","concreep-6-request","none","Y","Y","N","N","N","N"
"hst720","hst720","none","Y","Y","N","N","N","N"
"mshin85","mshin85","none","Y","Y","N","N","N","N"
"megradshopadmin-request","megradshopadmin-request","none","Y","Y","N","N","N","N"
"rkb-2x","rkb-2x","none","Y","Y","N","N","N","N"
"cis-hq-request-old","cis-hq-request-old","none","Y","Y","N","N","N","N"
"neg95-request","neg95-request","none","Y","Y","N","N","N","N"
"cis-students-request-old","cis-students-request-old","none","Y","Y","N","N","N","N"
"resolution-www","resolution-www","none","Y","Y","Y","N","N","N"
"ice-designers","ice-designers","none","Y","Y","N","N","N","N"
"cis-fellows-request-old","cis-fellows-request-old","none","Y","Y","N","N","N","N"
"ice-designers-request","ice-designers-request","none","Y","Y","N","N","N","N"
"serl-grads-request","serl-grads-request","none","Y","Y","N","N","N","N"
"plant-stock","plant-stock","none","Y","Y","N","N","N","N"
"deshpandecenteraccount-request","deshpandecenteraccount-request","none","Y","Y","N","N","N","N"
"plant-shutdown-request","plant-shutdown-request","none","Y","Y","N","N","N","N"
"sos","sos","none","Y","Y","N","N","N","N"
"libraryalum-lib-request","libraryalum-lib-request","none","Y","Y","N","N","N","N"
"cs","cs","none","Y","Y","N","N","N","N"
"pgp-public-keys","pgp-public-keys","none","Y","Y","N","N","N","N"
"dtyd","dtyd","none","Y","Y","N","N","N","N"
"esifaculty-request","esifaculty-request","none","Y","Y","N","N","N","N"
"et-pc07s","et-pc07s","none","Y","Y","N","N","N","N"
"iap00teachers-request","iap00teachers-request","none","Y","Y","N","N","N","N"
"pi-physics-www","pi-physics-www","none","Y","Y","Y","N","N","N"
"sdm-students","sdm-students","none","Y","Y","Y","N","N","N"
"list-lahaie-request","list-lahaie-request","none","Y","Y","N","N","N","N"
"sdmbt-request","sdmbt-request","none","Y","Y","N","N","N","N"
"d-lab-haiti","d-lab-haiti","none","Y","Y","N","N","N","N"
"plant-grounds-coaches","plant-grounds-coaches","none","Y","Y","N","N","N","N"
"sevt-fans","sevt-fans","none","Y","Y","N","N","N","N"
"coolgirls-request","coolgirls-request","none","Y","Y","N","N","N","N"
"crcp-fellows-request","crcp-fellows-request","none","Y","Y","N","N","N","N"
"socratelab-request","socratelab-request","none","Y","Y","N","N","N","N"
"hot-chocolate","hot-chocolate","none","Y","Y","N","N","N","N"
"connect02-request","connect02-request","none","Y","Y","N","N","N","N"
"leaders02-request","leaders02-request","none","Y","Y","N","N","N","N"
"fix-lib-test","fix-lib-test","none","Y","Y","N","N","N","N"
"finance-request","finance-request","none","Y","Y","N","N","N","N"
"kfw-announce-old","kfw-announce-old","none","Y","Y","N","N","N","N"
"kfw-users-old","kfw-users-old","none","Y","Y","N","N","N","N"
"fellowsall-request","fellowsall-request","none","Y","Y","N","N","N","N"
"or_affiliates-request","or_affiliates-request","none","Y","Y","N","N","N","N"
"fellows03-request","fellows03-request","none","Y","Y","N","N","N","N"
"dcc-physics","dcc-physics","none","Y","Y","N","N","N","N"
"dcc-physics-request","dcc-physics-request","none","Y","Y","N","N","N","N"
"leaders95","leaders95","none","Y","Y","N","N","N","N"
"discover2-plus","discover2-plus","none","Y","Y","N","N","N","N"
"ctl-skype","ctl-skype","none","Y","Y","N","N","N","N"
"eisenlab-request","eisenlab-request","none","Y","Y","N","N","N","N"
"olc-tns","olc-tns","none","Y","Y","N","N","N","N"
"ctl-saag","ctl-saag","none","Y","Y","N","N","N","N"
"cmp-www","cmp-www","none","Y","Y","Y","N","N","N"
"shac-all-request","shac-all-request","none","Y","Y","N","N","N","N"
"solomonlab-request","solomonlab-request","none","Y","Y","N","N","N","N"
"sharplab-request","sharplab-request","none","Y","Y","N","N","N","N"
"ccrbioinfo-request","ccrbioinfo-request","none","Y","Y","N","N","N","N"
"handbells-request","handbells-request","none","Y","Y","N","N","N","N"
"leeslab-request","leeslab-request","none","Y","Y","N","N","N","N"
"honorbooks","honorbooks","none","Y","Y","N","N","N","N"
"hssp2004-request","hssp2004-request","none","Y","Y","N","N","N","N"
"olc-transition","olc-transition","none","Y","Y","N","N","N","N"
"ht-fee-acl","ht-fee-acl","none","Y","Y","N","N","N","N"
"glassblowing-request-old","glassblowing-request-old","none","Y","Y","N","N","N","N"
"lsacomp-request","lsacomp-request","none","Y","Y","N","N","N","N"
"kayak-armada","kayak-armada","none","Y","Y","N","N","N","N"
"dmaall-request","dmaall-request","none","Y","Y","N","N","N","N"
"mayhem-av-request","mayhem-av-request","none","Y","Y","N","N","N","N"
"mayhem-south-request","mayhem-south-request","none","Y","Y","N","N","N","N"
"its-alive-request","its-alive-request","none","Y","Y","N","N","N","N"
"hopkinslab-request","hopkinslab-request","none","Y","Y","N","N","N","N"
"ctl-sharp","ctl-sharp","none","Y","Y","N","N","N","N"
"hyneslab-request","hyneslab-request","none","Y","Y","N","N","N","N"
"esp-social-request","esp-social-request","none","Y","Y","N","N","N","N"
"ctl-schick","ctl-schick","none","Y","Y","N","N","N","N"
"hst-icm2004-request","hst-icm2004-request","none","Y","Y","N","N","N","N"
"ctl-s3","ctl-s3","none","Y","Y","N","N","N","N"
"esp-dinner-request","esp-dinner-request","none","Y","Y","N","N","N","N"
"ccrfacilities-request","ccrfacilities-request","none","Y","Y","N","N","N","N"
"emit-it-request","emit-it-request","none","Y","Y","N","N","N","N"
"ramlab-request","ramlab-request","none","Y","Y","N","N","N","N"
"ccrheadquarters-request","ccrheadquarters-request","none","Y","Y","N","N","N","N"
"pa.core","pa.core","none","Y","Y","N","N","N","N"
"pdf-request","pdf-request","none","Y","Y","N","N","N","N"
"leaders04-request","leaders04-request","none","Y","Y","N","N","N","N"
"llamas","llamas","none","Y","Y","N","N","N","N"
"discover2","discover2","none","Y","Y","N","N","N","N"
"ramlab-alums-request","ramlab-alums-request","none","Y","Y","N","N","N","N"
"ht-mgm-acl","ht-mgm-acl","none","Y","Y","N","N","N","N"
"milkwood","milkwood","none","Y","Y","N","N","N","N"
"irmp-request","irmp-request","none","Y","Y","N","N","N","N"
"ctpid-request","ctpid-request","none","Y","Y","N","N","N","N"
"fornari-sponsors","fornari-sponsors","none","Y","Y","N","N","N","N"
"saphelp","saphelp","none","Y","Y","N","N","N","N"
"cj-wedding","cj-wedding","none","Y","Y","N","N","N","N"
"emit-request","emit-request","none","Y","Y","N","N","N","N"
"damper-users","damper-users","none","Y","Y","N","N","N","N"
"damper-users-request","damper-users-request","none","Y","Y","N","N","N","N"
"naffouri1-request","naffouri1-request","none","Y","Y","N","N","N","N"
"rca-input","rca-input","none","Y","Y","N","N","N","N"
"rca_input","rca_input","none","Y","Y","N","N","N","N"
"sp-environment-chair-request","sp-environment-chair-request","none","Y","Y","N","N","N","N"
"sip","sip","none","Y","Y","Y","N","N","N"
"msdo-request","msdo-request","none","Y","Y","N","N","N","N"
"daepack-users","daepack-users","none","Y","Y","N","N","N","N"
"lake_balaton-request","lake_balaton-request","none","Y","Y","N","N","N","N"
"datamining-strategy","datamining-strategy","none","Y","Y","N","N","N","N"
"datamining-technical","datamining-technical","none","Y","Y","N","N","N","N"
"due-verifiers-request","due-verifiers-request","none","Y","Y","N","N","N","N"
"due-cardholders-request","due-cardholders-request","none","Y","Y","N","N","N","N"
"cropvideo-www","cropvideo-www","none","Y","Y","Y","N","N","N"
"plant-fcsteam","plant-fcsteam","none","Y","Y","N","N","N","N"
"sdc-semifinalist-request","sdc-semifinalist-request","none","Y","Y","N","N","N","N"
"editors-plus","editors-plus","none","Y","Y","N","N","N","N"
"dark","dark","none","Y","Y","N","N","N","N"
"sdc-mentors-request","sdc-mentors-request","none","Y","Y","N","N","N","N"
"lidsalumni-request","lidsalumni-request","none","Y","Y","N","N","N","N"
"sip-www","sip-www","none","Y","Y","Y","N","N","N"
"orals04_profs-request","orals04_profs-request","none","Y","Y","N","N","N","N"
"orals04_students-request","orals04_students-request","none","Y","Y","N","N","N","N"
"cluster-managers-request","cluster-managers-request","none","Y","Y","N","N","N","N"
"cts-help-request","cts-help-request","none","Y","Y","N","N","N","N"
"events-request","events-request","none","Y","Y","N","N","N","N"
"crewcoach-request","crewcoach-request","none","Y","Y","N","N","N","N"
"hst-council-request","hst-council-request","none","Y","Y","N","N","N","N"
"sk-hf-request","sk-hf-request","none","Y","Y","N","N","N","N"
"giving_committee-request","giving_committee-request","none","Y","Y","N","N","N","N"
"cdd05-request","cdd05-request","none","Y","Y","N","N","N","N"
"oldreachout-request","oldreachout-request","none","Y","Y","N","N","N","N"
"ccre-request","ccre-request","none","Y","Y","N","N","N","N"
"raska-request-old","raska-request-old","none","Y","Y","N","N","N","N"
"ctl-npr","ctl-npr","none","Y","Y","N","N","N","N"
"ggp-request","ggp-request","none","Y","Y","N","N","N","N"
"cpdstu","cpdstu","none","Y","Y","N","N","N","N"
"parent-talk-request","parent-talk-request","none","Y","Y","N","N","N","N"
"credit-request","credit-request","none","Y","Y","N","N","N","N"
"fsilg-911-request","fsilg-911-request","none","Y","Y","N","N","N","N"
"disc-eval-request","disc-eval-request","none","Y","Y","N","N","N","N"
"eecs-im-badminton-request","eecs-im-badminton-request","none","Y","Y","N","N","N","N"
"mhenry-mars-request","mhenry-mars-request","none","Y","Y","N","N","N","N"
"jumbo","jumbo","none","Y","Y","N","N","N","N"
"cee-webmasters-request","cee-webmasters-request","none","Y","Y","N","N","N","N"
"handmotion-request","handmotion-request","none","Y","Y","N","N","N","N"
"parent-news-request","parent-news-request","none","Y","Y","N","N","N","N"
"nightstaff","nightstaff","none","Y","Y","N","N","N","N"
"ht-cbcl-acl","ht-cbcl-acl","none","Y","Y","N","N","N","N"
"mlk","mlk","none","Y","Y","N","N","N","N"
"mitdmc-lessons-request","mitdmc-lessons-request","none","Y","Y","N","N","N","N"
"eaps-freshmen-request","eaps-freshmen-request","none","Y","Y","N","N","N","N"
"flreport","flreport","none","Y","Y","N","N","N","N"
"drop-report-acl","drop-report-acl","none","Y","Y","Y","N","N","N"
"evds-mail-request","evds-mail-request","none","Y","Y","N","N","N","N"
"cpdfac","cpdfac","none","Y","Y","N","N","N","N"
"cpdind","cpdind","none","Y","Y","N","N","N","N"
"cpdgro","cpdgro","none","Y","Y","N","N","N","N"
