"DEGREE_CODE","DEGREE_DESC","DEGREE_DESC_SHORT","DEGREE_TYPE","DEGREE_TYPE_DESC","DEGREE_WEIGHT","FROM_TERM","THRU_TERM","DEPARTMENT","DEPT_NAME_IN_COMMENCEMENT_BK","SCHOOL_NAME_IN_COMMENCEMENT_BK","COURSE","COURSE_LEVEL","IS_DOUBLE_MAJOR","COMMENCEMENT_BK_COURSE_ROMAN","COMMENCEMENT_BK_SEE_ALSO","DEGREE_LAST_ACTIVITY_DATE","COURSE_LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE"
"SCDW","Doctor of Science Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Doctor of Science Jointly by MIT-WHOI","SCD","Doctor of Science",8,"000000","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1 WD","G","N","W.H.O.I.","Sc.D., W.H.O.I.",27-APR-94,24-APR-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FD","G","N","Course XII","Sc.D., Course XII",22-NOV-93,31-JAN-03,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 ED","G","N","Course XII","Sc.D., Course XII",22-NOV-93,31-JAN-03,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 BD","G","N","Course XII","Sc.D., Course XII",22-NOV-93,31-JAN-03,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","5","Department of Chemistry","School of Science","5 D","G","N","Course V","Sc.D., Course V",22-NOV-93,27-APR-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST","G","N","Course HST","Sc.D., Health Sci. & Tech.",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22","G","N","Course XXII","Sc.D., Course XXII",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","18","Department of Mathematics","School of Science","18","G","N","Course XVIII","Sc.D., Course XVIII",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","13","Department of Ocean Engineering","School of Engineering","13","G","N","Course XIII","Sc.D., Course XIII",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","8","Department of Physics","School of Science","8","G","N","Course VIII","Sc.D., Course VIII",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","3","Department of Materials Science and Engineering","School of Engineering","3","G","N","Course III","Sc.D., Course III",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1","G","N","Course I","Sc.D., Course I",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","20","Department of Biological Engineering","School of Engineering","20","G","N","Course XX","Sc.D., Course XX",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","16","Department of Aeronautics and Astronautics","School of Engineering","16","G","N","Course XVI","Sc.D., Course XVI",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","10","Department of Chemical Engineering","School of Engineering","10","G","N","Course X","Sc.D., Course X",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6","G","N","Course VI","Sc.D., Course VI",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","2","Department of Mechanical Engineering","School of Engineering","2","G","N","Course II","Sc.D., Course II",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","BE","Biological Engineering Division","School of Engineering","BE D","G","N","Course BE","Sc.D., Biological Engineering",22-NOV-93,11-MAY-05,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 CD","G","N","Course XII","Sc.D., Course XII",22-NOV-93,31-JAN-03,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 AD","G","N","Course XII","Sc.D., Course XII",22-NOV-93,31-JAN-03,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","ESD","Engineering Systems Division","School of Engineering","ESD ESD","G","N","Course ESD","Sc.D., Engineering Systems",22-NOV-93,14-APR-03,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 GD","G","N","Course XII","Sc.D., Course XII",22-NOV-93,31-JAN-03,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22 D","G","N","Course XXII","Sc.D., Course XXII",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","18","Department of Mathematics","School of Science","18 D","G","N","Course XVIII","Sc.D., Course XVIII",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 D","G","N","Course XII","Sc.D., Course XII",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","8","Department of Physics","School of Science","8 D","G","N","Course VIII","Sc.D., Course VIII",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","2","Department of Mechanical Engineering","School of Engineering","2 D","G","N","Course II","Sc.D., Course II",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","20","Department of Biological Engineering","School of Engineering","20 D","G","N","Course XX","Sc.D., Course XX",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","16","Department of Aeronautics and Astronautics","School of Engineering","16 D","G","N","Course XVI","Sc.D., Course XVI",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","13","Department of Ocean Engineering","School of Engineering","13 D","G","N","Course XIII","Sc.D., Course XIII",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","10","Department of Chemical Engineering","School of Engineering","10 D","G","N","Course X","Sc.D., Course X",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 D","G","N","Course VI","Sc.D., Course VI",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","3","Department of Materials Science and Engineering","School of Engineering","3 D","G","N","Course III","Sc.D., Course III",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1 D","G","N","Course I","Sc.D., Course I",22-NOV-93,23-NOV-93,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST ED","G","N","Course HST","Sc.D., Health Sci. & Tech.",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","BEH","Biological Engineering Division","School of Engineering","BEH D","G","N","Course BEH","Sc.D., Bioeng. & Environ. Health",22-NOV-93,04-JAN-99,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST SD","G","N","Course HST","Sc.D., Health Sci. & Tech.",22-NOV-93,03-NOV-97,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22 RD","G","N","Course XXII","Sc.D., Course XXII",22-NOV-93,10-OCT-95,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","13","Department of Ocean Engineering","School of Engineering","13 B","G","N","Course XIII","Sc.D., Course XIII",22-NOV-93,03-NOV-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","13","Department of Ocean Engineering","School of Engineering","13 A","G","N","Course XIII","Sc.D., Course XIII",22-NOV-93,17-OCT-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","5","Department of Chemistry","School of Science","5","G","N","Course V","Sc.D., Course V",22-NOV-93,28-JUN-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1 CTD","G","N","Course I","Sc.D., Course I",22-NOV-93,04-NOV-94,28-OCT-24
"SCD","Doctor of Science","Doctor of Science","SCD","Doctor of Science",8,"000000","999999","TOX","Program in Toxicology","Whitaker College of Health Sciences and Technology","TOX D","G","N","Course Toxicology","Sc.D., Toxicology",22-NOV-93,26-OCT-95,28-OCT-24
"MNG67","Master of Engineering in Computer Science and Molecular Biology","Master of Engineering in Computer Science and Molecular Biology","MNG","Master of Engineering",3,"2013SU","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 7P","G","N","Course VI-7","M.Eng., Course VI-7",11-JUN-13,30-JUN-23,28-OCT-24
"MNG67","Master of Engineering in Computer Science and Molecular Biology","Master of Engineering in Computer Science and Molecular Biology","MNG","Master of Engineering",3,"2013SU","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 7PA","G","N","Course VI-7","M.Eng., Course VI-7",11-JUN-13,30-JUN-23,28-OCT-24
"MNGL2","Master of Engineering in Logistics","Master of Engineering in Logistics","MNG","Master of Engineering",3,"000000","999999","ESD","Engineering Systems Division","School of Engineering","ESD PL","G","N","Course ESD","M.Eng., Logistics",08-AUG-17,21-AUG-17,28-OCT-24
"MNGL2","Master of Engineering in Logistics","Master of Engineering in Logistics","MNG","Master of Engineering",3,"000000","999999","SCM","Program in Supply Chain Management","School of Engineering","SCM P","G","N","Program in Supply Chain Management","M.Eng., Logistics",08-AUG-17,03-AUG-17,28-OCT-24
"MNG2","Master of Engineering in Advanced Manufacturing and Design","Master of Engineering in Advanced Manufacturing and Design","MNG","Master of Engineering",3,"2016SP","999999","2","Department of Mechanical Engineering","School of Engineering","2 P","G","N","Course II-P","M.Eng., Course II-P",08-MAR-23,03-MAY-05,28-OCT-24
"MNG614P","Master of Engineering in Computer Science, Economics, and Data Science","Master of Engineering in Computer Science, Economics, and Data Science","MNG","Master of Engineering",3,"2023FA","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 14PA","G","N","Course VI-14","M.Eng., Course VI-14",14-SEP-22,30-JUN-23,28-OCT-24
"MNG614P","Master of Engineering in Computer Science, Economics, and Data Science","Master of Engineering in Computer Science, Economics, and Data Science","MNG","Master of Engineering",3,"2023FA","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 14P","G","N","Course VI-14","M.Eng., Course VI-14",14-SEP-22,15-JUN-22,28-OCT-24
"MNG69P","Master of Engineering in Computation and Cognition","Master of Engineering in Computation and Cognition","MNG","Master of Engineering",3,"2020FA","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 9P","G","N","Course VI-9","M.Eng., Course VI-9",05-JUN-19,05-JUN-19,28-OCT-24
"MNG67P","Master of Engineering in Computer Science and Molecular Biology","Master of Engineering in Computer Science and Molecular Biology","MNG","Master of Engineering",3,"2013SU","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 7P","G","N","Course VI-7","M.Eng., Course VI-7",07-MAR-14,07-MAR-14,28-OCT-24
"MNG2","Master of Engineering in Manufacturing","Master of Engineering in Manufacturing","MNG","Master of Engineering",3,"2006FA","2016JA","2","Department of Mechanical Engineering","School of Engineering","2 P","G","N","Course II-P","M.Eng., Course II-P",08-MAR-23,03-MAY-05,28-OCT-24
"MNGHST","Master of Engineering in Biomedical Engineering","Master of Engineering in Biomedical Engineering","MNG","Master of Engineering",3,"2004FA","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST P","G","N","Course HST","M.Eng., Health Sci. & Tech.",03-SEP-03,27-APR-07,28-OCT-24
"MNG3","Master of Engineering in Materials Science and Engineering","Master of Engineering in Materials Science and Engineering","MNG","Master of Engineering",3,"2000SU","2011SP","3","Department of Materials Science and Engineering","School of Engineering","3 P","G","N","Course III-P","M.Eng., Course III-P",20-JUL-11,03-MAY-05,28-OCT-24
"MNGL","Master of Engineering in Supply Chain Management","Master of Engineering in Supply Chain Management","MNG","Master of Engineering",3,"2017SP","999999","ESD","Engineering Systems Division","School of Engineering","ESD PL","G","N","Course ESD","M.Eng., Logistics",08-AUG-17,21-AUG-17,28-OCT-24
"MNGL","Master of Engineering in Supply Chain Management","Master of Engineering in Supply Chain Management","MNG","Master of Engineering",3,"2017SP","999999","SCM","Program in Supply Chain Management","School of Engineering","SCM 2P","G","N","Program in Supply Chain Management","M.Eng., Supply Chain Management",08-AUG-17,27-SEP-17,28-OCT-24
"MNGL","Master of Engineering in Supply Chain Management","Master of Engineering in Supply Chain Management","MNG","Master of Engineering",3,"2017SP","999999","SCM","Program in Supply Chain Management","School of Engineering","SCM 1P","G","N","Program in Supply Chain Management","M.Eng., Supply Chain Management",08-AUG-17,27-SEP-17,28-OCT-24
"MNGL","Master of Engineering in Supply Chain Management","Master of Engineering in Supply Chain Management","MNG","Master of Engineering",3,"2017SP","999999","SCM","Program in Supply Chain Management","School of Engineering","SCM PL","G","N","Program in Supply Chain Management","M.Eng., Supply Chain Management",08-AUG-17,03-AUG-17,28-OCT-24
"MNG1L","Master of Engineering in Logistics","Master of Engineering in Logistics","MNG","Master of Engineering",3,"1998SU","2000FA","1","Department of Civil and Environmental Engineering","School of Engineering","1 PL","G","N","Course I","M.Eng., Course I",23-MAR-00,20-AUG-98,28-OCT-24
"MNG1L","Master of Engineering in Logistics","Master of Engineering in Logistics","MNG","Master of Engineering",3,"1998SU","2000FA","ESD","Engineering Systems Division","School of Engineering","ESD PL","G","N","Course ESD","M.Eng., Course ESD",23-MAR-00,01-FEB-00,28-OCT-24
"MNG13","Master of Engineering in Ocean Engineering","Master of Engineering in Ocean Engineering","MNG","Master of Engineering",3,"1995FA","999999","13","Department of Ocean Engineering","School of Engineering","13 P","G","N","Course XIII-P","M.Eng., Course XIII-P",01-OCT-94,03-MAY-05,28-OCT-24
"MNGBE","Master of Engineering in Biomedical Engineering","Master of Engineering in Biomedical Engineering","MNG","Master of Engineering",3,"2000SU","999999","BEH","Biological Engineering Division","School of Engineering","BEH P","G","N"," BEH","M.Eng.,  BEH",12-JUL-00,16-NOV-00,28-OCT-24
"MNGBE","Master of Engineering in Biomedical Engineering","Master of Engineering in Biomedical Engineering","MNG","Master of Engineering",3,"2000SU","999999","BEH","Biological Engineering Division","School of Engineering","BEH M","G","N"," BEH","M.Eng.,  BEH",12-JUL-00,12-JUL-00,28-OCT-24
"MNGBE","Master of Engineering in Biomedical Engineering","Master of Engineering in Biomedical Engineering","MNG","Master of Engineering",3,"2000SU","999999","BEH","Biological Engineering Division","School of Engineering","BEH D","G","N"," BEH","M.Eng.,  BEH",12-JUL-00,12-JUL-00,28-OCT-24
"MNGBE","Master of Engineering in Biomedical Engineering","Master of Engineering in Biomedical Engineering","MNG","Master of Engineering",3,"2000SU","999999","BE","Biological Engineering Division","School of Engineering","BE P","G","N","Course BE","M.Eng., Course BE",12-JUL-00,15-DEC-04,28-OCT-24
"MNGBE","Master of Engineering in Biomedical Engineering","Master of Engineering in Biomedical Engineering","MNG","Master of Engineering",3,"2000SU","999999","BE","Biological Engineering Division","School of Engineering","BE D","G","N","Course BE","M.Eng., Course BE",12-JUL-00,15-DEC-04,28-OCT-24
"MNGBE","Master of Engineering in Biomedical Engineering","Master of Engineering in Biomedical Engineering","MNG","Master of Engineering",3,"2000SU","999999","BE","Biological Engineering Division","School of Engineering","BE M","G","N","Course BE","M.Eng., Course BE",12-JUL-00,15-DEC-04,28-OCT-24
"MNG13W","Master of Engineering in Ocean Engineering Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Engineering in Ocean Engineering Jointly by MIT-WHOI","MNG","Master of Engineering",3,"1998SP","999999","13","Department of Ocean Engineering","School of Engineering","13 PW","G","N","Course XIIIP","M.Eng., W.H.O.I.",26-MAY-98,03-MAY-05,28-OCT-24
"MNG22","Master of Engineering in Nuclear Engineering","Master of Engineering in Nuclear Engineering","MNG","Master of Engineering",3,"1997SP","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22 P","G","N","Course XXII-P","M.Eng., Course XXII-P",05-MAY-97,03-MAY-05,28-OCT-24
"MNG1","Master of Engineering in Civil and Environmental Engineering","Master of Engineering in Civil and Environmental Engineering","MNG","Master of Engineering",3,"1995FA","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1 P","G","N","Course I-P","M.Eng., Course I-P",15-MAR-10,03-MAY-05,28-OCT-24
"MNG20","Master of Engineering in Biomedical Engineering","Master of Engineering in Biomedical Engineering","MNG","Master of Engineering",3,"2007FA","999999","20","Department of Biological Engineering","School of Engineering","20 P","G","N","Course XX-P","M.Eng., Course XX-P",19-OCT-06,18-OCT-06,28-OCT-24
"MNG16","Master of Engineering in Aeronautics and Astronautics","Master of Engineering in Aeronautics and Astronautics","MNG","Master of Engineering",3,"1995FA","2004SP","16","Department of Aeronautics and Astronautics","School of Engineering","16 P","G","N","Course XVI-P","M. Eng., Course XVI-P",14-JUN-04,04-JUN-96,28-OCT-24
"MNG6","Master of Engineering in Electrical Engineering and Computer Science","Master of Engineering in Electrical Engineering and Computer Science","MNG","Master of Engineering",3,"1994FA","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 P","G","N","Course VI-P","M.Eng., Course VI-P",09-MAR-10,03-MAY-05,28-OCT-24
"MNG6","Master of Engineering in Electrical Engineering and Computer Science","Master of Engineering in Electrical Engineering and Computer Science","MNG","Master of Engineering",3,"1994FA","999999","6","Department of Electrical Engineering and Computer Science","School of Engineering","6 PA","G","N","Course VI-P","M.Eng., Course VI-P",09-MAR-10,03-MAY-05,28-OCT-24
"MCP","Master in City Planning","Master in City Planning","MCP","Master of City Planning",5,"000000","999999","4","Department of Architecture","School of Architecture and Planning","4 B","G","N","Course XI","M.C.P., Course XI",04-DEC-93,28-JUN-94,28-OCT-24
"MCP","Master in City Planning","Master in City Planning","MCP","Master of City Planning",5,"000000","999999","11","Department of Urban Studies and Planning","School of Architecture and Planning","11","G","N","Course XI","M.C.P., Course XI",04-DEC-93,28-JUN-94,28-OCT-24
"MCP","Master in City Planning","Master in City Planning","MCP","Master of City Planning",5,"000000","999999","11","Department of Urban Studies and Planning","School of Architecture and Planning","11 MCP","G","N","Course XI","M.C.P., Course XI",04-DEC-93,23-NOV-93,28-OCT-24
"SMWSES","Master of Science (without specification of field, recommended by the Engineering Systems Division)","Master of Science (w/o spec of field, recommended by Eng Sys Div)","SM","Master of Science",3,"000000","999999","ESD","Engineering Systems Division","School of Engineering","ESD ESM","G","N","Course ESD","S.M., Without Spec.",07-SEP-16,30-AUG-16,28-OCT-24
"SM16W","Master of Science in Aeronautics and Astronautics Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Aeronautics and Astronautics Jointly by MIT-WHOI","SM","Master of Science",3,"2019FA","999999","16","Department of Aeronautics and Astronautics","School of Engineering","16 WM","G","N","Course XVI","S.M., W.H.O.I.",08-MAR-19,08-MAR-19,28-OCT-24
"SMCSE","Master of Science in Computational Science and Engineering","Master of Science in Computational Science and Engineering","SM","Master of Science",3,"2020SU","999999","CSE","Program in Computational Science and Engineering","Schwarzman College of Computing","CSE M","G","N","Course CSE","S.M., Comp. Sci. & Eng",04-SEP-20,30-JUL-20,28-OCT-24
"SMCSE","Master of Science in Computational Science and Engineering","Master of Science in Computational Science and Engineering","SM","Master of Science",3,"2020SU","999999","CDO","Program in Computation for Design and Optimization","School of Engineering","CDO M","G","N","Course CSE","S.M., Comp. Sci. & Eng",04-SEP-20,04-SEP-20,28-OCT-24
"SMSES","Master of Science in Social and Engineering Systems","Master of Science in Social and Engineering Systems","SM","Master of Science",3,"2016SU","999999","IDS","Institute for Data, Systems, & Society","Schwarzman College of Computing","IDS MSE","G","N","Course IDS","S.M., Social and Engineering Systems",05-FEB-16,05-FEB-16,28-OCT-24
"SMWS20","Master of Science (without specification of field, recommended by the Department of Biological Engineering)","Master of Science (w/o spec of field, recommended by Biological Engineering)","SM","Master of Science",3,"2014FA","999999","20","Department of Biological Engineering","School of Engineering","20 M","G","N","Course XX","S.M., Course XX",30-MAY-14,29-MAY-14,28-OCT-24
"SM21LC","Master of Science in Comparative Media Studies","Master of Science in Comparative Media Studies","SM","Master of Science",3,"2006FA","2013SU","21L","Literature","School of Humanities, Arts, and Social Sciences","21L CMS","G","N","Course CMS","S.M., Course XXIL CMS",03-FEB-14,30-APR-07,28-OCT-24
"SM2MN","Master of Science in Naval Architecture and Marine Engineering","Master of Science in Naval Architecture and Marine Engineering","SM","Master of Science",3,"2005SU","999999","2","Department of Mechanical Engineering","School of Engineering","2 MN","G","N","Course II","S.M.(N.A.M.E.), Course II",11-MAR-10,26-AUG-05,28-OCT-24
"SM2MO","Master of Science in Ocean Engineering","Master of Science in Ocean Engineering","SM","Master of Science",3,"2005SU","999999","2","Department of Mechanical Engineering","School of Engineering","2 MO","G","N","Course II","S.M.(Ocean Eng.), Course II",19-AUG-05,19-AUG-05,28-OCT-24
"SM2MB","Master of Science in Ocean Systems Management","Master of Science in Ocean Systems Management","SM","Master of Science",3,"2005SU","999999","2","Department of Mechanical Engineering","School of Engineering","2 MB","G","N","Course II","S.M.(Ocean Sys.Mgt.), Course II",15-AUG-05,15-AUG-05,28-OCT-24
"SM2OSM","Master of Science in Ocean Systems Management","Master of Science in Ocean Systems Management","SM","Master of Science",3,"2005SU","2005SU","2","Department of Mechanical Engineering","School of Engineering","2 M","G","N","Course II","S.M.(Ocean Syst. Mgt.), Course II",15-AUG-05,27-JUL-05,28-OCT-24
"SM2NA","Master of Science in Naval Architecture and Marine Engineering","Master of Science in Navl Arch. & Marine Eng.","SM","Master of Science",3,"2005SU","2005SU","2","Department of Mechanical Engineering","School of Engineering","2 M","G","N","Course II","S.M.,(N.A.M.E.), Course II",26-AUG-05,27-JUN-05,28-OCT-24
"SM2OE","Master of Science in Ocean Engineering","Master of Science in Ocean Engineering","SM","Master of Science",3,"2005SU","2005SU","2","Department of Mechanical Engineering","School of Engineering","2 M","G","N","Course II","S.M.(Ocean Eng.), Course II",26-AUG-05,20-JUN-05,28-OCT-24
"SM22","Master of Science in Nuclear Science and Engineering","Master of Science in Nuclear Science and Engineering","SM","Master of Science",3,"2005SU","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22 M","G","N","Course XXII","S.M., Course XXII",17-JUN-05,23-NOV-93,28-OCT-24
"SM22","Master of Science in Nuclear Science and Engineering","Master of Science in Nuclear Science and Engineering","SM","Master of Science",3,"2005SU","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22 D","G","N","Course XXII","S.M., Course XXII",17-JUN-05,15-JUL-94,28-OCT-24
"SM22","Master of Science in Nuclear Science and Engineering","Master of Science in Nuclear Science and Engineering","SM","Master of Science",3,"2005SU","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22","G","N","Course XXII","S.M., Course XXII",17-JUN-05,28-JUN-94,28-OCT-24
"SM22","Master of Science in Nuclear Science and Engineering","Master of Science in Nuclear Science and Engineering","SM","Master of Science",3,"2005SU","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22 RM","G","N","Course XXII","S.M., Course XXII",17-JUN-05,10-OCT-95,28-OCT-24
"SM22","Master of Science in Nuclear Science and Engineering","Master of Science in Nuclear Science and Engineering","SM","Master of Science",3,"2005SU","999999","22","Department of Nuclear Science and Engineering","School of Engineering","22 H","G","N","Course XXII","S.M., Course XXII",17-JUN-05,15-JUL-94,28-OCT-24
"SMCDO","Master of Science in Computation for Design and Optimization","Master of Science in Computation for Design and Optimization","SM","Master of Science",3,"2006FA","999999","CDO","Program in Computation for Design and Optimization","School of Engineering","CDO M","G","N","Course CDO","S.M., Comp. Des. & Opt.",20-DEC-04,07-MAY-10,28-OCT-24
"SMES","Master of Science in Engineering Systems","Master of Science in Engineering Systems","SM","Master of Science",3,"2005FA","999999","ESD","Engineering Systems Division","School of Engineering","ESD ESM","G","N","Course ESD","S.M., Engineering Systems",15-DEC-04,03-MAY-05,28-OCT-24
"SM7W","Master of Science in Biological Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Biological Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"2005FA","999999","7","Department of Biology","School of Science","7 W","G","N","Course VII","S.M., W.H.O.I.",27-OCT-04,28-JUN-94,28-OCT-24
"SM7W","Master of Science in Biological Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Biological Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"2005FA","999999","7","Department of Biology","School of Science","7 WM","G","N","Course VII","S.M., W.H.O.I.",27-OCT-04,23-NOV-93,28-OCT-24
"SMHSTB","Master of Science in Biomedical Informatics","Master of Science in Biomedical Informatics","SM","Master of Science",3,"2004SU","2011SU","HST","Program in Health Sciences and Technology","School of Engineering","HST AMI","G","N","Course HST","S.M., Biomedical Informatics",09-AUG-11,28-APR-05,28-OCT-24
"SMCSB","Master of Science in Computational and Systems Biology","Master of Science in Computational and Systems Biology","SM","Master of Science",3,"2004SP","999999","CSB","Program in Computational and Systems Biology","School of Engineering","CSB M","G","N","Course CSB","S.M., Comp. & Syst. Biology",25-FEB-04,03-MAY-05,28-OCT-24
"SM1WC","Master of Science in Chemical Oceanography Jointly by Massachusetts Institute of Technology and Woods Hole Oceanographic Institution","Master of Science in Chemical Oceanography Jointly by MIT-WHOI","SM","Master of Science",3,"2004FA","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1 WM","G","N","Course I","S.M., W.H.O.I.",24-OCT-03,24-OCT-03,28-OCT-24
