"LIBRARY_RESERVE_CATALOG_KEY","CATALOG_TITLE","CATALOG_AUTHOR_NAME","CATALOG_YEAR","CATALOG_PUBLISHER","CATALOG_CALL_NUMBER","CATALOG_ISBN","CATALOG_SYSTEM_NUMBER","CATALOG_RECORD_CREATE_DATE","CATALOG_RECORD_UPDATE_DATE","RECORD_COUNTER","WAREHOUSE_LOAD_DATE"
"000003013","","","   0","","","","000003013",10-SEP-01,31-MAR-04,1,13-MAR-08
"000003014","","","   0","","","","000003014",10-SEP-01,02-MAY-02,1,13-MAR-08
"000011355","","","   0","","","","000011355",07-OCT-02,07-OCT-02,1,13-MAR-08
"000003015","","","   0","","","","000003015",10-SEP-01,31-MAR-04,1,13-MAR-08
"000011356","","","   0","","","","000011356",07-OCT-02,29-JAN-03,1,13-MAR-08
"000020110","Luis Cernuda / by Salvador Jimenez-Fajardo.","Jimenez-Fajardo, Salvador.","1978","Boston : Twayne Publishers, c1978.","PQ6605.E7.Z6.J5","0805762922","000020110",23-JAN-04,02-FEB-09,1,03-FEB-09
"000003016","","","   0","","","","000003016",10-SEP-01,23-SEP-03,1,13-MAR-08
"000011357","","","   0","","","","000011357",07-OCT-02,04-JUN-04,1,13-MAR-08
"000020111","","","   0","","","","000020111",23-JAN-04,11-DEC-06,1,13-MAR-08
"000011358","","","   0","","","","000011358",07-OCT-02,04-JUN-04,1,13-MAR-08
"000020112","","","   0","","","","000020112",23-JAN-04,17-JAN-06,1,13-MAR-08
"000011359","","","   0","","","","000011359",07-OCT-02,06-JAN-03,1,13-MAR-08
"000011360","","","   0","","","","000011360",07-OCT-02,03-SEP-03,1,13-MAR-08
"000003017","The classic fairy tales : texts, criticism / edited by Maria Tatar.","","1999","New York : Norton, c1999.","GR550.C57 1999","0393972771 (pbk.)","000003017",10-SEP-01,02-FEB-09,1,03-FEB-09
"000011361","","","   0","","","","000011361",07-OCT-02,03-SEP-03,1,13-MAR-08
"000003018","","","   0","","","","000003018",10-SEP-01,09-SEP-02,1,13-MAR-08
"000011362","","","   0","","","","000011362",07-OCT-02,03-SEP-03,1,13-MAR-08
"000020113","Algebraic combinatorics / C.D. Godsil.","Godsil, C. D. (Christopher David), 1949-","1993","New York : Chapman & Hall, 1993.","QA164.G63 1993","0412041316 :","000020113",23-JAN-04,02-FEB-09,1,10-DEC-09
"000011363","","","   0","","","","000011363",07-OCT-02,03-SEP-03,1,13-MAR-08
"000003019","","","   0","","","","000003019",10-SEP-01,12-SEP-01,1,13-MAR-08
"000020114","Women : a feminist perspective / edited by Jo Freeman.","","1995","Mountain View, Calif. : Mayfield Pub. Co., c1995.","HQ1426.W62 1995","1559341114","000020114",23-JAN-04,02-FEB-09,1,03-FEB-09
"000011364","Bastard out of Carolina / Dorothy Allison.","Allison, Dorothy.","1992","New York, N.Y., U.S.A. : Dutton, c1992.","PS3551.L453.B37 1992","0525934251 :","000011364",07-OCT-02,02-FEB-09,1,10-DEC-09
"000003020","","","   0","","","","000003020",10-SEP-01,09-SEP-02,1,13-MAR-08
"000020115","","","   0","","","","000020115",23-JAN-04,12-JAN-05,1,13-MAR-08
"000003021","","","   0","","","","000003021",10-SEP-01,10-SEP-01,1,13-MAR-08
"000011365","","","   0","","","","000011365",07-OCT-02,11-FEB-04,1,13-MAR-08
"000020116","","","   0","","","","000020116",23-JAN-04,12-JAN-05,1,13-MAR-08
"000003022","","","   0","","","","000003022",10-SEP-01,09-JAN-02,1,13-MAR-08
"000011366","","","   0","","","","000011366",07-OCT-02,17-OCT-02,1,13-MAR-08
"000020117","","","   0","","","","000020117",23-JAN-04,08-FEB-05,1,13-MAR-08
"000003023","","","   0","","","","000003023",10-SEP-01,11-SEP-01,1,13-MAR-08
"000011367","","","   0","","","","000011367",07-OCT-02,03-FEB-03,1,13-MAR-08
"000020118","","","   0","","","","000020118",23-JAN-04,08-JUL-04,1,13-MAR-08
"000011368","","","   0","","","","000011368",07-OCT-02,03-JUN-04,1,13-MAR-08
"000002173","","","   0","","","","000002173",29-AUG-01,30-JUN-03,1,13-MAR-08
"000010686","","","   0","","","","000010686",12-SEP-02,12-SEP-02,1,13-MAR-08
"000002174","21M.341 Tape 7 -Duke Ellington","","   0","","Cassette M341 no.7","","000002174",29-AUG-01,02-FEB-09,1,03-FEB-09
"000002175","21M.341 Tape 8 -George Russell","","   0","","Cassette M341 no.8","","000002175",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010687","People, plans, and policies : essays on poverty, racism, and other national urban problems / Herbert","Gans, Herbert J.","1991","New York : Columbia University Press : Russell Sage Foundation, c1991.","HT167.G36 1991","0231074026","000010687",12-SEP-02,02-FEB-09,1,03-FEB-09
"000002176","21M.341 Tape 9 -Post-Modern Music","","   0","","Cassette M341 no.9","","000002176",29-AUG-01,02-FEB-09,1,03-FEB-09
"000002177","21M.341 Tape 10 -Mark Harvey 1","","   0","","Cassette M341 no.10","","000002177",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010688","No shame in my game : the working poor in the inner city / Katherine S. Newman.","Newman, Katherine S., 1953-","1999","New York : Knopf and the Russell Sage Foundation, 1999.","HV4045.N48 1999","0375402543","000010688",12-SEP-02,02-FEB-09,1,03-FEB-09
"000002178","21M.341 Tape 11 -Mark Harvey 2","","   0","","Cassette M341 no.11","","000002178",29-AUG-01,02-FEB-09,1,03-FEB-09
"000002179","21M.341 Tape 12 -Addenda","","   0","","Cassette M341 no.12","","000002179",29-AUG-01,02-FEB-09,1,03-FEB-09
"000002180","21M.341 Tape 13 -Final Projects","","   0","","Cassette M341 no.13","","000002180",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010689","City making : building communities without building walls / Gerald E. Frug.","Frug, Gerald E., 1939-","1999","Princeton, N.J. : Princeton University Press, c1999.","HT167.F78 1999","0691007411 (cl. : alk. paper)","000010689",12-SEP-02,02-FEB-09,1,03-FEB-09
"000002181","","","   0","","","","000002181",29-AUG-01,29-JUL-03,1,13-MAR-08
"000002182","","","   0","","","","000002182",29-AUG-01,29-JUL-03,1,13-MAR-08
"000010690","Ecology of fear : Los Angeles and the imagination of disaster / Mike Davis.","Davis, Mike, 1946-","1998","New York : Metropolitan Books, 1998.","HN80.L7.D37 1998","0805051066 (hb : alk. paper)","000010690",12-SEP-02,02-FEB-09,1,03-FEB-09
"000002183","Coffee and coffeehouses : the origins of a social beverage in the medieval Near East / Ralph S. Hatt","Hattox, Ralph S.","1988","Seattle : University of Washington Press, 1988, c1985.","GT2919.M628.H38 1988","0295962313","000002183",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010691","City of quartz : excavating the future in Los Angeles / Mike Davis ; photographs by Robert Morrow.","Davis, Mike, 1946-","1990","London ; New York : Verso, 1990.","HN80.L7.D38 1990","0860913031","000010691",12-SEP-02,02-FEB-09,1,03-FEB-09
"000002184","A history of the Arab peoples / Albert Hourani.","Hourani, Albert Habib.","1991","Cambridge, Mass. : Belknap Press of Harvard University Press, c1991.","DS37.7.H67 1991","0674395654 :","000002184",29-AUG-01,02-FEB-09,1,10-DEC-09
"000010692","Place matters : metropolitics for the twenty-first century / Peter Dreier, John Mollenkopf & Todd Sw","Dreier, Peter.","2001","Lawrence, Kan. : University Press of Kansas, c2001.","HV4045.D74 2001","0700611347 (cloth : alk. paper)","000010692",12-SEP-02,02-FEB-09,1,03-FEB-09
"000002185","The crusades through Arab eyes / Amin Maalouf ; translated by Jon Rothschild.","Maalouf, Amin.","1987","New York : Schocken Books, 1987.","DS38.6.M3213 1987","080520833X (pbk.)","000002185",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010693","Black visions : the roots of contemporary African-American political ideologies / Michael C. Dawson.","Dawson, Michael C., 1951-","2001","Chicago : University of Chicago Press, 2001.","E185.615.D394 2001","0226138607 (alk. paper)","000010693",12-SEP-02,02-FEB-09,1,03-FEB-09
"000002186","The Cambridge illustrated history of the Islamic world / edited by Francis Robinson.","","1996","New York : Cambridge University Press, 1996.","DS35.63.C35 1996","0521435102","000002186",29-AUG-01,02-FEB-09,1,03-FEB-09
"000002187","","","   0","","","","000002187",29-AUG-01,27-JAN-03,1,13-MAR-08
"000010694","Rethinking the development experience : essays provoked by the work of Albert O. Hirschman / Lloyd R","","1994","Washington, D.C. : Brookings Institution ; Cambridge, MA. : Lincoln Institute of Land Policy, c1994.","HB75.R448 1994","0815775520 (cloth : alk. paper) :","000010694",12-SEP-02,02-FEB-09,1,10-DEC-09
"000002188","","","   0","","","","000002188",29-AUG-01,27-JAN-03,1,13-MAR-08
"000002189","","","   0","","","","000002189",29-AUG-01,27-JAN-03,1,13-MAR-08
"000002190","","","   0","","","","000002190",29-AUG-01,27-JAN-03,1,13-MAR-08
"000010695","The politics of urban America : a reader / edited by Dennis R. Judd, Paul P. Kantor.","","1998","Boston : Allyn and Bacon, c1998.","HT123.P6 1998","020519771X","000010695",12-SEP-02,02-FEB-09,1,03-FEB-09
"000002191","21M.341 Tape 1 -Charlie Parker","","   0","","Cassette M341 no.1","","000002191",29-AUG-01,02-FEB-09,1,03-FEB-09
"000002192","","","   0","","","","000002192",29-AUG-01,27-JAN-03,1,13-MAR-08
"000010696","Reconsidering American liberalism : the troubled odyssey of the liberal idea / James P. Young.","Young, James P., 1934-","1996","Boulder, Colo. : Westview Press, 1996.","JC574.2.U6.Y68 1996","0813306477 (alk. paper)","000010696",12-SEP-02,02-FEB-09,1,03-FEB-09
"000002193","21M.341 Tape 2 -Thelonious Monk","","   0","","Cassette M341 no.2","","000002193",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010697","","","   0","","","","000010697",12-SEP-02,29-JAN-03,1,13-MAR-08
"000002194","","","   0","","","","000002194",29-AUG-01,27-JAN-03,1,13-MAR-08
"000010698","","","   0","","","","000010698",12-SEP-02,03-JUN-04,1,13-MAR-08
"000002195","","","   0","","","","000002195",29-AUG-01,27-JAN-03,1,13-MAR-08
"000002196","","","   0","","","","000002196",29-AUG-01,27-JAN-03,1,13-MAR-08
"000010699","","","   0","","","","000010699",12-SEP-02,03-JUN-04,1,13-MAR-08
"000002197","21M.341 Tape 3 -Clifford Brown and Hard Bop","","   0","","Cassette M341 no.3","","000002197",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010700","","","   0","","","","000010700",12-SEP-02,31-JAN-03,1,13-MAR-08
"000002198","","","   0","","","","000002198",29-AUG-01,10-JAN-02,1,13-MAR-08
"000002199","","","   0","","","","000002199",29-AUG-01,16-JUN-03,1,13-MAR-08
"000002200","","","   0","","","","000002200",29-AUG-01,24-JUL-02,1,13-MAR-08
"000010701","Rethinking the urban agenda : reinvigorating the liberal tradition in New York City and urban Americ","","2001","New York : Century Foundation Press, c2001.","F128.55.R42 2001","087078465X (alk. paper)","000010701",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010702","","","   0","","","","000010702",12-SEP-02,09-APR-03,1,13-MAR-08
"000002201","Photocopy 1A -C.Parker/Blues","","   0","","Photocopy M341 no.!A","","000002201",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010703","Inventing America. Vol. I.","Maier, P.","   0","","","","000010703",12-SEP-02,02-FEB-09,1,03-FEB-09
"000002202","21M.341 Photocopy 1B -C.Parker/32 Bar Tunes","","   0","","Photocopy M341 no.1B","","000002202",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010704","Inventing America. Vol. I.","Maier, P.","   0","","","","000010704",12-SEP-02,02-FEB-09,1,03-FEB-09
"000056808","The Fischer-Dieskau book of Lieder : the texts of over 750 songs in German / chosen and introduced b","Fischer-Dieskau, Dietrich, 1925-","1976","London : Gollancz : Pan Books, 1976.","PT1160.E6.F5 1976","0575018526 :","000056808",26-JAN-10,26-JAN-10,1,27-JAN-10
"000056844","The inner history of devices / edited and with an introduction by Sherry Turkle.","","2008","Cambridge, Mass. : MIT Press, c2008.","T14.5.I5643 2008","9780262201766 (hbk. : alk. paper)","000056844",26-JAN-10,26-JAN-10,1,27-JAN-10
"000056865","Modern Latin America / Thomas E. Skidmore, Peter H. Smith.","Skidmore, Thomas E.","2005","New York : Oxford University Press, 2005.","F1413.S55 2005","019517013X (paper : alk. paper)","000056865",26-JAN-10,26-JAN-10,1,27-JAN-10
"000056811","Heinrich Heine and the Lied / Susan Youens.","Youens, Susan.","2007","Cambridge, UK ; New York : Cambridge University Press, 2007.","ML80.H286.Y68 2007","9780521823746","000056811",26-JAN-10,26-JAN-10,1,27-JAN-10
"000056802","German Lieder in the nineteenth century / edited by Rufus Hallmark.","","1996","New York : Schirmer Books ; London : Prentice Hall International, c1996.","ML2829.4.G47 1996","0028708458 (hardcover : alk. paper)","000056802",26-JAN-10,26-JAN-10,1,27-JAN-10
"000020077","","","   0","","","","000020077",23-JAN-04,03-JUN-04,1,13-MAR-08
"000011323","","","   0","","","","000011323",04-OCT-02,03-JUN-03,1,13-MAR-08
"000001353","","","   0","","","","000001353",17-AUG-01,08-JUL-04,1,13-MAR-08
"000001354","","","   0","","","","000001354",17-AUG-01,08-JUL-04,1,13-MAR-08
"000001355","","","   0","","","","000001355",17-AUG-01,19-SEP-06,1,13-MAR-08
"000001356","Flight Simulator 2000 Disks 1 and 2","Microsoft","   0","","MIT Flying Club","","000001356",17-AUG-01,13-OCT-09,1,14-OCT-09
"000001357","Flight Simulator 2000 Pilot's Handbook","Microsoft","   0","","MIT Flying Club","","000001357",17-AUG-01,13-OCT-09,1,14-OCT-09
"000001358","","","   0","","","","000001358",17-AUG-01,30-AUG-01,1,13-MAR-08
"000001359","","","   0","","","","000001359",17-AUG-01,22-DEC-04,1,13-MAR-08
"000001360","","","   0","","","","000001360",17-AUG-01,22-DEC-04,1,13-MAR-08
"000001361","","","   0","","","","000001361",17-AUG-01,22-DEC-04,1,13-MAR-08
"000001362","","","   0","","","","000001362",17-AUG-01,22-DEC-04,1,13-MAR-08
"000001363","","","   0","","","","000001363",17-AUG-01,17-AUG-01,1,13-MAR-08
"000001364","","","   0","","","","000001364",17-AUG-01,30-AUG-01,1,13-MAR-08
"000001365","","","   0","","","","000001365",17-AUG-01,22-DEC-04,1,13-MAR-08
"000001366","","","   0","","","","000001366",17-AUG-01,27-JAN-06,1,13-MAR-08
"000001367","","","   0","","","","000001367",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001368","The William Carlos Williams reader. Edited with an introd., by M. L. Rosenthal.","Williams, William Carlos, 1883-1963.","1966","[New York, Published for J. Laughlin by New Directions Pub. Corp., 1966]","PS3545.I544.A6 1966","","000001368",17-AUG-01,02-FEB-09,1,03-FEB-09
"000001369","","","   0","","","","000001369",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001370","Selected poems / Robert Lowell.","Lowell, Robert, 1917-1977.","1976","New York : Farrar, Straus and Giroux, 1976.","PS3523.O89.A17 1976","0374258694","000001370",17-AUG-01,02-FEB-09,1,03-FEB-09
"000001371","The palm at the end of the mind; selected poems and a play. Edited by Holly Stevens.","Stevens, Wallace, 1879-1955.","1971","New York, Knopf, 1971.","PS3537.T4753.A6 1971","0394469089","000001371",17-AUG-01,02-FEB-09,1,03-FEB-09
"000001372","A boy's will, by Robert Frost ...","Frost, Robert, 1874-1963.","1915","New York, H. Holt and company, 1915.","PS3511.R94.B6","","000001372",17-AUG-01,02-FEB-09,1,03-FEB-09
"000001373","","","   0","","","","000001373",17-AUG-01,26-AUG-05,1,13-MAR-08
"000001374","The complete poems of Marianne Moore.","Moore, Marianne, 1887-1972.","1981","New York, : Viking Press, 1981.","PS3525.O5616.A17 1981","","000001374",17-AUG-01,02-FEB-09,1,03-FEB-09
"000001375","North of Boston : poems / by Robert Frost ; edited by Edward Connery Lathem ; woodcuts by J. J. Lank","Frost, Robert, 1874-1963.","1977","New York : Dodd, Mead, c1977.","PS3511.R94.N6 1977","0396074405","000001375",17-AUG-01,02-FEB-09,1,03-FEB-09
"000001376","","","   0","","","","000001376",17-AUG-01,30-JUN-03,1,13-MAR-08
"000001377","","","   0","","","","000001377",17-AUG-01,30-JUN-03,1,13-MAR-08
"000001378","","","   0","","","","000001378",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001379","","","   0","","","","000001379",17-AUG-01,30-JUN-03,1,13-MAR-08
"000001380","","","   0","","","","000001380",17-AUG-01,30-JUN-03,1,13-MAR-08
"000001381","","","   0","","","","000001381",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001382","","","   0","","","","000001382",17-AUG-01,16-JUN-03,1,13-MAR-08
"000001383","","","   0","","","","000001383",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001384","","","   0","","","","000001384",17-AUG-01,16-JUN-03,1,13-MAR-08
"000001385","","","   0","","","","000001385",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001386","","","   0","","","","000001386",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001387","","","   0","","","","000001387",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001388","","","   0","","","","000001388",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001389","","","   0","","","","000001389",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001390","","","   0","","","","000001390",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001391","","","   0","","","","000001391",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001392","","","   0","","","","000001392",17-AUG-01,07-JAN-03,1,13-MAR-08
"000001393","","","   0","","","","000001393",17-AUG-01,17-AUG-01,1,13-MAR-08
"000001394","","","   0","","","","000001394",17-AUG-01,15-AUG-03,1,13-MAR-08
"000001395","","","   0","","","","000001395",17-AUG-01,15-AUG-03,1,13-MAR-08
"000001396","","","   0","","","","000001396",17-AUG-01,15-AUG-03,1,13-MAR-08
"000001397","","","   0","","","","000001397",17-AUG-01,29-JUL-03,1,13-MAR-08
"000001398","High temperature corrosion / Per Kofstad.","Kofstad, Per.","1988","London ; New York : Elsevier Applied Science ; New York, NY, USA : Sole distributor in the USA and C","TA462.K569 1988","1851661549","000001398",17-AUG-01,02-FEB-09,1,03-FEB-09
"000001399","","","   0","","","","000001399",17-AUG-01,17-AUG-01,1,13-MAR-08
"000001400","","","   0","","","","000001400",17-AUG-01,29-AUG-03,1,13-MAR-08
"000001401","","","   0","","","","000001401",17-AUG-01,17-AUG-01,1,13-MAR-08
"000001402","","","   0","","","","000001402",17-AUG-01,16-JUL-02,1,13-MAR-08
"000001403","","","   0","","","","000001403",17-AUG-01,17-AUG-01,1,13-MAR-08
"000001404","","","   0","","","","000001404",17-AUG-01,17-AUG-01,1,13-MAR-08
"000001405","","","   0","","","","000001405",17-AUG-01,17-AUG-01,1,13-MAR-08
"000001406","","","   0","","","","000001406",17-AUG-01,15-AUG-03,1,13-MAR-08
"000001407","","","   0","","","","000001407",17-AUG-01,15-AUG-03,1,13-MAR-08
"000001408","","","   0","","","","000001408",17-AUG-01,15-AUG-03,1,13-MAR-08
"000001409","","","   0","","","","000001409",17-AUG-01,15-AUG-03,1,13-MAR-08
"000001410","","","   0","","","","000001410",17-AUG-01,16-JUN-03,1,13-MAR-08
"000001411","","","   0","","","","000001411",17-AUG-01,16-JUN-03,1,13-MAR-08
"000001412","Essentials of negotiation / Roy J. Lewicki, David M. Saunders, John W. Minton.","Lewicki, Roy J.","1997","Chicago : Irwin, c1997.","HD58.6.L49 1997","0256241686","000001412",17-AUG-01,02-FEB-09,1,03-FEB-09
"000001413","Getting to yes : negotiating agreement without giving in / by Roger Fisher and William Ury, with Bru","Fisher, Roger, 1922-","1991","New York, N.Y. : Penguin Books, 1991.","BF637.N4.F57 1991","0140157352 :","000001413",17-AUG-01,02-FEB-09,1,10-DEC-09
"000001414","","","   0","","","","000001414",17-AUG-01,30-JUN-03,1,13-MAR-08
"000001415","","","   0","","","","000001415",17-AUG-01,15-AUG-03,1,13-MAR-08
"000001416","","","   0","","","","000001416",17-AUG-01,16-JUL-02,1,13-MAR-08
"000001417","","","   0","","","","000001417",17-AUG-01,29-JUL-03,1,13-MAR-08
"000001418","","","   0","","","","000001418",17-AUG-01,08-JUL-04,1,13-MAR-08
"000001419","","","   0","","","","000001419",17-AUG-01,19-JUL-05,1,13-MAR-08
"000001420","","","   0","","","","000001420",17-AUG-01,25-JAN-02,1,13-MAR-08
"000001421","","","   0","","","","000001421",17-AUG-01,24-JUL-02,1,13-MAR-08
"000001422","","","   0","","","","000001422",17-AUG-01,19-JAN-05,1,13-MAR-08
"000001423","","","   0","","","","000001423",18-AUG-01,18-AUG-01,1,13-MAR-08
"000001424","Social origins of dictatorship and democracy : lord and peasant in the making of the modern world /","Moore, Barrington, 1913-2005.","1967","Boston : Beacon Press, 1967, c1966.","HN15.M821 1967","","000001424",18-AUG-01,02-FEB-09,1,17-JUL-09
"000001425","The political mobilization of the European left, 1860-1980 : the class cleavage / Stefano Bartolini.","Bartolini, Stefano.","2000","Cambridge, UK ; New York : Cambridge University Press, 2000.","JN94.A979.B37 2000","0521650216 (hardback)","000001425",18-AUG-01,02-FEB-09,1,03-FEB-09
"000001426","Continuity and change in contemporary capitalism / edited by Herbert Kitschelt ... [et al.].","","1999","Cambridge, UK ; New York, NY : Cambridge University Press, 1999.","HC59.15.C66 1995","0521624460 (hardback)","000001426",18-AUG-01,02-FEB-09,1,03-FEB-09
"000001427","Making democracy work : civic traditions in modern Italy / Robert D. Putnam with Robert Leonardi and","Putnam, Robert D.","1993","Princeton, N.J. : Princeton University Press, c1993.","JN5477.R35.P866 1993","0691078890 :","000001427",18-AUG-01,02-FEB-09,1,10-DEC-09
"000001428","Politics in hard times : comparative responses to international economic crises / Peter Gourevitch.","Gourevitch, Peter Alexis.","1986","Ithaca : Cornell University Press, 1986.","HD82.G623 1986","0801419735 (alk. paper)","000001428",18-AUG-01,02-FEB-09,1,03-FEB-09
"000001429","Comparative constitutional engineering : an inquiry into structures, incentives, and outcomes / Giov","Sartori, Giovanni, 1924-","1997","Washington Square, N.Y. : New York University Press, c1997.","JF51.S29 1997","0814780636 (pbk.)","000001429",18-AUG-01,02-FEB-09,1,03-FEB-09
"000001430","Immigration and the nation-state : the United States, Germany, and Great Britain / Christian Joppke.","Joppke, Christian.","1999","Oxford ; New York : Oxford University Press, 1999.","JV6483.J66 1999","0198295405","000001430",18-AUG-01,02-FEB-09,1,03-FEB-09
"000001431","The West European party system / edited by Peter Mair.","","1990","Oxford [England] ; New York : Oxford University Press, 1990.","JN94.A979.W45 1990","0198275846 :","000001431",18-AUG-01,02-FEB-09,1,10-DEC-09
"000056851","Producing security : multinational corporations, globalization, and the changing calculus of conflic","Brooks, Stephen G., 1971-","2005","Princeton, N.J. : Princeton University Press, c2005.","JZ5588.B76 2005","0691121516 (cloth : alk. paper)","000056851",26-JAN-10,26-JAN-10,1,27-JAN-10
"000002203","21M.341 Photocopy 2 -T.Monk","","   0","","","","000002203",29-AUG-01,02-FEB-09,1,06-SEP-09
"000010705","","","   0","","","","000010705",12-SEP-02,23-SEP-02,1,13-MAR-08
"000010706","","","   0","","","","000010706",12-SEP-02,17-JUN-05,1,13-MAR-08
"000002204","21M.341 Photocopy 3 -C.Brown and Hard Bop","","   0","","","","000002204",29-AUG-01,02-FEB-09,1,06-SEP-09
"000002205","Downtown: A troubled history","Fogelson, Robert","   0","","","","000002205",29-AUG-01,02-FEB-09,1,03-FEB-09
"000010707","21M.283 photocopy no.1 - Of Thee I Sing, libretto","","   0","","","","000010707",12-SEP-02,02-FEB-09,1,03-FEB-09
"000010708","","","   0","","","","000010708",12-SEP-02,02-JUL-03,1,13-MAR-08
"000002206","","","   0","","","","000002206",29-AUG-01,24-JUN-02,1,13-MAR-08
"000010709","test","","   0","","","","000010709",13-SEP-02,02-FEB-09,1,03-FEB-09
"000002207","","","   0","","","","000002207",30-AUG-01,12-FEB-04,1,13-MAR-08
"000010710","test","","   0","","","","000010710",13-SEP-02,02-FEB-09,1,03-FEB-09
"000010711","test","","   0","","","","000010711",13-SEP-02,02-FEB-09,1,03-FEB-09
"000002208","","","   0","","","","000002208",30-AUG-01,29-JAN-08,1,13-MAR-08
"000010712","test","","   0","","","","000010712",13-SEP-02,02-FEB-09,1,03-FEB-09
"000002209","","","   0","","","","000002209",30-AUG-01,15-SEP-06,1,13-MAR-08
"000010713","test","","   0","","","","000010713",13-SEP-02,02-FEB-09,1,03-FEB-09
"000002210","","","   0","","","","000002210",30-AUG-01,15-SEP-06,1,13-MAR-08
"000010714","test again","","   0","","","","000010714",13-SEP-02,02-FEB-09,1,03-FEB-09
"000002211","","","   0","","39080019270179","","000002211",30-AUG-01,15-JAN-05,1,13-MAR-08
"000002212","","","   0","","39080019270203","","000002212",30-AUG-01,15-JAN-05,1,13-MAR-08
"000010715","The power of identity / Manuel Castells.","Castells, Manuel, 1942-","1997","Malden, MA : Blackwell, 1997.","HM221.C366 1997","1557868735","000010715",13-SEP-02,02-FEB-09,1,17-JUL-09
"000002213","","","   0","","No call #","","000002213",30-AUG-01,15-JAN-05,1,13-MAR-08
"000010716","","","   0","","","","000010716",13-SEP-02,15-AUG-03,1,13-MAR-08
"000010717","","","   0","","","","000010717",13-SEP-02,15-AUG-03,1,13-MAR-08
"000010718","","","   0","","","","000010718",13-SEP-02,02-FEB-05,1,13-MAR-08
"000010719","","","   0","","","","000010719",13-SEP-02,03-SEP-03,1,13-MAR-08
"000002214","The biology of the autistic syndromes / Mary Coleman, Christopher Gillberg.","Coleman, Mary, 1928-","1985","[New York, N.Y.] : Praeger, 1985.","RJ506.A9.C64 1985","0030008344","000002214",30-AUG-01,02-FEB-09,1,03-FEB-09
"000002215","","","   0","","","","000002215",30-AUG-01,02-JUL-03,1,13-MAR-08
"000002216","","","   0","","","","000002216",30-AUG-01,02-JUL-03,1,13-MAR-08
"000010720","The science and engineering of microelectronic fabrication / Stephen A. Campbell.","Campbell, Stephen A., 1954-","2001","New York : Oxford University Press, 2001.","TK7871.85.C25 2001","0195136055","000010720",13-SEP-02,02-FEB-09,1,03-FEB-09
"000002217","","","   0","","","","000002217",30-AUG-01,02-JUL-03,1,13-MAR-08
"000010721","","","   0","","","","000010721",13-SEP-02,01-JUL-03,1,13-MAR-08
"000002218","","","   0","","","","000002218",30-AUG-01,24-JUL-02,1,13-MAR-08
"000010722","","","   0","","","","000010722",13-SEP-02,04-JUN-04,1,13-MAR-08
"000002219","","","   0","","","","000002219",30-AUG-01,24-JUL-02,1,13-MAR-08
"000010723","","","   0","","","","000010723",13-SEP-02,04-JUN-04,1,13-MAR-08
"000002220","","","   0","","","","000002220",30-AUG-01,02-JUL-03,1,13-MAR-08
"000010724","","","   0","","","","000010724",13-SEP-02,01-JUL-03,1,13-MAR-08
"000002221","","","   0","","","","000002221",30-AUG-01,24-JUL-02,1,13-MAR-08
"000002222","","","   0","","","","000002222",30-AUG-01,24-JUL-02,1,13-MAR-08
"000002223","","","   0","","","","000002223",30-AUG-01,24-JUL-02,1,13-MAR-08
"000010725","Thin film processes / edited by John L. Vossen, Werner Kern.","","1978","New York : Academic Press, 1978.","TK7871.15.F5.T43","0127282505","000010725",13-SEP-02,02-FEB-09,1,03-FEB-09
"000002224","","","   0","","","","000002224",30-AUG-01,08-JUL-03,1,13-MAR-08
"000002225","","","   0","","","","000002225",30-AUG-01,17-JAN-06,1,13-MAR-08
"000002226","","","   0","","","","000002226",30-AUG-01,17-JAN-06,1,13-MAR-08
"000002227","","","   0","","","","000002227",30-AUG-01,17-JAN-06,1,13-MAR-08
"000010726","Electronic materials science : for integrated circuits in Si and GaAs / James W. Mayer, S.S. Lau.","Mayer, James W., 1930-","1990","New York : Macmillan ; London : Collier Macmillan, c1990.","TK7871.9.M388 1990","0023781408","000010726",13-SEP-02,02-FEB-09,1,03-FEB-09
"000002228","","","   0","","","","000002228",30-AUG-01,21-JUL-03,1,13-MAR-08
"000002229","","","   0","","","","000002229",30-AUG-01,17-JAN-06,1,13-MAR-08
