"SIS_COURSE_DESCRIPTION_KEY","COURSE","COURSE_DESCRIPTION","COURSE_DESCRIPTION_LONG","DEPARTMENT","DEPARTMENT_NAME","DEPT_NAME_IN_COMMENCEMENT_BK","SCHOOL_NAME","SCHOOL_NAME_IN_COMMENCEMENT_BK","FROM_TERM","FROM_TERM_DESCRIPTION","THRU_TERM","THRU_TERM_DESCRIPTION","COURSE_OPTION","COURSE_LEVEL","CIP_PROGRAM_CODE","IS_DEGREE_GRANTING","DEFAULT_ULTIMATE_DEGREE","GRADAUTE_LEVEL","GRADUATE_LEVEL","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE"
"16:NIE:U","16 NIE","Aero/Astro - Exchange","Aeronautics and Astronautics","16","Aeronautics and Astronautics","Department of Aeronautics and Astronautics","Engineering","School of Engineering","2006FA","Fall Term 2005-2006","999999","End of Time","NIE","U","140201","N","NDG","","",31-JAN-06,28-OCT-24
"16:NIV:G","16 NIV","Aero/Astro - Visiting","Aeronautics and Astronautics","16","Aeronautics and Astronautics","Department of Aeronautics and Astronautics","Engineering","School of Engineering","2004SP","Spring Term 2003-2004","999999","End of Time","NIV","G","140201","N","NDG","","",31-MAR-05,28-OCT-24
"16:NIV:U","16 NIV","Aero/Astro - Visiting","Aeronautics and Astronautics","16","Aeronautics and Astronautics","Department of Aeronautics and Astronautics","Engineering","School of Engineering","2006SP","Spring Term 2005-2006","999999","End of Time","NIV","U","140201","N","NDG","","",21-JUL-06,28-OCT-24
"16:P:G","16 P","Aero/Astro - Master of Eng","Aeronautics and Astronautics","16","Aeronautics and Astronautics","Department of Aeronautics and Astronautics","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","P","G","140201","Y","MNG","Masters","Masters",23-JUL-15,28-OCT-24
"16:TP:G","16 TP","Aero/Astro - SM Tech & Policy","Aeronautics and Astronautics (Technology and Policy Program)","16","Aeronautics and Astronautics","Department of Aeronautics and Astronautics","Engineering","School of Engineering","000000","Beginning of Time","2004FA","Fall Term 2003-2004","TP","G","140201","Y","SM","Masters","Masters",19-MAR-04,28-OCT-24
"16:TPD:G","16 TPD","Aero/Astro -DOC Tech & Policy","Aeronautics and Astronautics (Technology and Policy Program)","16","Aeronautics and Astronautics","Department of Aeronautics and Astronautics","Engineering","School of Engineering","000000","Beginning of Time","2004FA","Fall Term 2003-2004","TPD","G","140201","Y","DOC","Doctoral","Doctoral",19-MAR-04,28-OCT-24
"16:W:G","16 W","Aero/Astro - WHOI","Aeronautics and Astronautics","16","Aeronautics and Astronautics","Department of Aeronautics and Astronautics","Engineering","School of Engineering","2017SU","Summer Term 2017","2018SU","Summer Term 2018","W","G","140201","N","NDG","","",04-AUG-23,28-OCT-24
"16:WD:G","16 WD","Aero/Astro - Doc WHOi","Aeronautics and Astronautics","16","Aeronautics and Astronautics","Department of Aeronautics and Astronautics","Engineering","School of Engineering","2017SU","Summer Term 2017","999999","End of Time","WD","G","140201","Y","DOC","Doctoral","Doctoral",05-MAY-17,28-OCT-24
"16:WM:G","16 WM","Aero/Astro - SM WHOI","Aeronautics and Astronautics","16","Aeronautics and Astronautics","Department of Aeronautics and Astronautics","Engineering","School of Engineering","2019FA","Fall Term 2018-2019","999999","End of Time","WM","G","140201","Y","SM","Masters","Masters",14-FEB-19,28-OCT-24
"17::G","17","Political Science","Political Science","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","1966FA","Fall Term 1965-1966","999999","End of Time","","G","451001","N","NDG","","",23-JUL-15,28-OCT-24
"17::U","17","Political Science","Political Science (Course 17)","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","999999","End of Time","","U","451001","Y","SB","","",12-MAY-20,28-OCT-24
"17:CME:U","17 CME","Political Sci - Cambridge-MIT","Political Science","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2005FA","Fall Term 2004-2005","2018SU","Summer Term 2018","CME","U","451001","N","NDG","","",04-AUG-23,28-OCT-24
"17:CMI:U","17 CMI","Political Sci - Cambridge-MIT","Political Science","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2003FA","Fall Term 2002-2003","2004SU","Summer Term 2004","CMI","U","451001","N","NDG","","",25-APR-05,28-OCT-24
"17:D:G","17 D","Political Sci - Doctoral","Political Science","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","999999","End of Time","D","G","451001","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"17:M:G","17 M","Political Sci - SM","Political Science","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","999999","End of Time","M","G","451001","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"17:NIE:G","17 NIE","Political Sci - Exchange","Political Science","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2004SP","Spring Term 2003-2004","999999","End of Time","NIE","G","451001","N","NDG","","",31-MAR-05,28-OCT-24
"17:NIE:U","17 NIE","Political Sci - Exchange Und","Political Science","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2004SP","Spring Term 2003-2004","999999","End of Time","NIE","U","451001","N","NDG","","",31-MAR-05,28-OCT-24
"17:NIV:G","17 NIV","Political Sci - Visiting","Political Science","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2004SP","Spring Term 2003-2004","999999","End of Time","NIV","G","451001","N","NDG","","",31-MAR-05,28-OCT-24
"17:TP:G","17 TP","Political Sci - SM Tech & Pol","Political Science (Technology and Policy Program)","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2004FA","Fall Term 2003-2004","TP","G","451001","Y","SM","Masters","Masters",19-MAR-04,28-OCT-24
"17:TPD:G","17 TPD","Political Sci -DOC Tech & Pol","Political Science (Technology and Policy Program)","17","Political Science","Department of Political Science","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2004FA","Fall Term 2003-2004","TPD","G","451001","Y","DOC","Doctoral","Doctoral",19-MAR-04,28-OCT-24
"18::G","18","Mathematics","Mathematics","18","Mathematics","Department of Mathematics","Science","School of Science","000000","Beginning of Time","999999","End of Time","","G","270101","N","NDG","","",23-JUL-15,28-OCT-24
"18::U","18","Mathematics","Mathematics (Course 18)","18","Mathematics","Department of Mathematics","Science","School of Science","000000","Beginning of Time","999999","End of Time","","U","270101","Y","SB","","",12-MAY-20,28-OCT-24
"18:C:U","18 C","Mathematics with Computer Sci","Mathematics with Computer Science (Course 18-C)","18","Mathematics","Department of Mathematics","Science","School of Science","000000","Beginning of Time","999999","End of Time","C","U","300801","Y","SB","","",12-MAY-20,28-OCT-24
"18:CME:U","18 CME","Mathematics - Cambridge-MIT","Mathematics","18","Mathematics","Department of Mathematics","Science","School of Science","2005FA","Fall Term 2004-2005","2018SU","Summer Term 2018","CME","U","270101","N","NDG","","",04-AUG-23,28-OCT-24
"18:CMI:U","18 CMI","Mathematics - Cambridge-MIT","Mathematics","18","Mathematics","Department of Mathematics","Science","School of Science","2003FA","Fall Term 2002-2003","2004SU","Summer Term 2004","CMI","U","270101","N","NDG","","",25-APR-05,28-OCT-24
"18:CSD:G","18 CSD","Mathematics - Doctoral","Mathematics - Computational Science and Engineering","18","Mathematics","Department of Mathematics","Science","School of Science","2017FA","Fall Term 2016-2017","999999","End of Time","CSD","G","110101","Y","DOC","Doctoral","Doctoral",24-APR-18,28-OCT-24
"18:D:G","18 D","Mathematics - Doctoral","Mathematics","18","Mathematics","Department of Mathematics","Science","School of Science","000000","Beginning of Time","999999","End of Time","D","G","270101","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"18:M:G","18 M","Mathematics - SM","Mathematics","18","Mathematics","Department of Mathematics","Science","School of Science","000000","Beginning of Time","999999","End of Time","M","G","270101","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"18:NIE:G","18 NIE","Mathematics - Exchange","Mathematics","18","Mathematics","Department of Mathematics","Science","School of Science","2004SP","Spring Term 2003-2004","999999","End of Time","NIE","G","270101","N","NDG","","",31-MAR-05,28-OCT-24
"18:NIE:U","18 NIE","Mathematics - Exchange","Mathematics - Exchange","18","Mathematics","Department of Mathematics","Science","School of Science","2005SU","Summer Term 2005","999999","End of Time","NIE","U","270101","N","NDG","","",02-SEP-05,28-OCT-24
"18:NIV:G","18 NIV","Mathematics - Visiting","Mathematics","18","Mathematics","Department of Mathematics","Science","School of Science","2004SP","Spring Term 2003-2004","999999","End of Time","NIV","G","270101","N","NDG","","",31-MAR-05,28-OCT-24
"18:NIV:U","18 NIV","Mathematics - Visiting","Mathematics","18","Mathematics","Department of Mathematics","Science","School of Science","2017SP","Spring Term 2016-2017","999999","End of Time","NIV","U","270101","N","NDG","","",15-MAR-17,28-OCT-24
"1:12:U","1 12","Climate Sys Sci and Eng","Climate System Science and Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2024FA","Fall Term 2023-2024","999999","End of Time","12","U","303501","Y","SB","","",12-JUL-23,28-OCT-24
"1::G","1","Civil & Env Eng","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2003FA","Fall Term 2002-2003","999999","End of Time","","G","140801","N","NDG","","",31-MAR-05,28-OCT-24
"1:A:U","1 A","Civil and Environ Eng - unspec","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","1992SU","Summer Term 1992","2014SP","Spring Term 2013-2014","A","U","140801","Y","SB","","",09-DEC-19,28-OCT-24
"1:C:U","1 C","Civil Engineering","Civil Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","2021SP","Spring Term 2020-2021","C","U","140801","Y","SB","","",25-MAR-21,28-OCT-24
"1:CME:U","1 CME","Civil & Env Eng- Cambridge-MIT","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2005FA","Fall Term 2004-2005","2018SU","Summer Term 2018","CME","U","140801","N","NDG","","",04-AUG-23,28-OCT-24
"1:CMI:U","1 CMI","Civil & Env Eng- Cambridge-MIT","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2003FA","Fall Term 2002-2003","2004SU","Summer Term 2004","CMI","U","140801","N","NDG","","",25-APR-05,28-OCT-24
"1:CSD:G","1 CSD","Civil & Env Eng","Civil and Environmental Engineering - Computational Science and Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2014SP","Spring Term 2013-2014","999999","End of Time","CSD","G","110101","Y","DOC","Doctoral","Doctoral",24-APR-18,28-OCT-24
"1:CSM:G","1 CSM","Civil & Env Eng","Civil and Environmental Engineering - Computational Science & Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2015SP","Spring Term 2014-2015","999999","End of Time","CSM","G","140801","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"1:CT:G","1 CT","Civ & Env Eng - SM Transportn","Civil and Environmental Engineering (Transportation Studies)","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","CT","G","140804","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"1:CTD:G","1 CTD","Civ & Env Eng - DOC Transportn","Civil and Environmental Engineering (Transportation Studies)","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","CTD","G","140804","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"1:D:G","1 D","Civ & Env Eng - Doctoral","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","D","G","140801","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"1:E:U","1 E","Environmental Eng Science","Environmental Engineering Science","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","2019SP","Spring Term 2018-2019","E","U","141401","Y","SB","","",09-DEC-19,28-OCT-24
"1:ENG:U","1 ENG","Engineering","Engineering (Course 1 ENG)","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2014SP","Spring Term 2013-2014","999999","End of Time","ENG","U","140801","Y","SB","","",24-SEP-19,28-OCT-24
"1:M:G","1 M","Civ & Env Eng - SM/Eng","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","M","G","140801","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"1:NIE:G","1 NIE","Civil & Env Eng - Exchange","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2004SP","Spring Term 2003-2004","999999","End of Time","NIE","G","140801","N","NDG","","",31-MAR-05,28-OCT-24
"1:NIE:U","1 NIE","Civil & Env Eng - Exchange","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2014SU","Summer Term 2014","999999","End of Time","NIE","U","140801","N","NDG","","",03-JUL-14,28-OCT-24
"1:NIV:G","1 NIV","Civil & Env Eng - Visiting","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2004SP","Spring Term 2003-2004","999999","End of Time","NIV","G","140801","N","NDG","","",31-MAR-05,28-OCT-24
"1:NIV:U","1 NIV","Civil & Env Eng - Visiting","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2009SP","Spring Term 2008-2009","999999","End of Time","NIV","U","140801","N","NDG","","",17-APR-09,28-OCT-24
"1:P:G","1 P","Civ & Env Eng - Master of Eng","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","P","G","140801","Y","MNG","Masters","Masters",23-JUL-15,28-OCT-24
"1:PL:G","1 PL","Civ & Env Eng - M.Eng/Logistic","Civil and Environmental Engineering (Logistics)","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","1998SU","Summer Term 1998","2004FA","Fall Term 2003-2004","PL","G","140804","Y","MNG","Masters","Masters",25-APR-05,28-OCT-24
"1:TP:G","1 TP","Civ & Env Eng - SM Tech & Pol","Civil and Environmental Engineering (Technology and Policy Program)","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","2003SP","Spring Term 2002-2003","TP","G","140801","Y","SM","Masters","Masters",20-AUG-03,28-OCT-24
"1:TPD:G","1 TPD","Civ & Env Eng -DOC Tech & Pol","Civil and Environmental Engineering (Technology and Policy Program)","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","2003SP","Spring Term 2002-2003","TPD","G","140801","Y","DOC","Doctoral","Doctoral",20-AUG-03,28-OCT-24
"1:VST:G","1 VST","Civil & Env Eng - Vest Scholar","Civil and Environmental Engineering","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","2020FA","Fall Term 2019-2020","999999","End of Time","VST","G","110101","N","NDG","","",23-AUG-19,28-OCT-24
"1:W:G","1 W","Civ & Env Eng - WHOI","Civil and Environmental Engineering (with Woods Hole Oceanographic Institution)","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","2010FA","Fall Term 2009-2010","W","G","140801","N","NDG","","",04-AUG-23,28-OCT-24
"1:WD:G","1 WD","Civ & Env Eng - Doc WHOI","Civil and Environmental Engineering (with Woods Hole Oceanographic Institution)","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","WD","G","140801","Y","DOC","Doctoral","Doctoral",21-MAR-18,28-OCT-24
"1:WM:G","1 WM","Civ & Env Eng - SM/Eng WHOI","Civil and Environmental Engineering (with Woods Hole Oceanographic Institution)","1","Civil and Environmental Eng","Department of Civil and Environmental Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","WM","G","140801","Y","SM","Masters","Masters",21-MAR-18,28-OCT-24
"20::G","20","Biological Engineering","Biological Engineering","20","Biological Engineering","Department of Biological Engineering","Engineering","School of Engineering","2007FA","Fall Term 2006-2007","999999","End of Time","","G","140501","N","NDG","","",23-JUL-15,28-OCT-24
"20::U","20","Biological Engineering","Biological Engineering (Course 20)","20","Biological Engineering","Department of Biological Engineering","Engineering","School of Engineering","2007FA","Fall Term 2006-2007","999999","End of Time","","U","140501","Y","SB","","",12-MAY-20,28-OCT-24
"20:D:G","20 D","Biological Engineering - Doc","Biological Engineering","20","Biological Engineering","Department of Biological Engineering","Engineering","School of Engineering","2007FA","Fall Term 2006-2007","999999","End of Time","D","G","140501","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"20:M:G","20 M","Biological Engineering - SM","Biological Engineering","20","Biological Engineering","Department of Biological Engineering","Engineering","School of Engineering","2007FA","Fall Term 2006-2007","999999","End of Time","M","G","140501","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"20:NIE:G","20 NIE","Biological Eng - Exchange","Biological Engineering - Exchange","20","Biological Engineering","Department of Biological Engineering","Engineering","School of Engineering","2007FA","Fall Term 2006-2007","999999","End of Time","NIE","G","140501","N","NDG","","",23-JUL-15,28-OCT-24
"20:NIE:U","20 NIE","Biological Eng - Exchange","Biological Engineering - Exchange","20","Biological Engineering","Department of Biological Engineering","Engineering","School of Engineering","2015SU","Summer Term 2015","999999","End of Time","NIE","U","140501","N","NDG","","",25-JUN-15,28-OCT-24
"20:NIV:G","20 NIV","Biological Eng - Visiting","Biological Engineering - Visiting","20","Biological Engineering","Department of Biological Engineering","Engineering","School of Engineering","2007FA","Fall Term 2006-2007","999999","End of Time","NIV","G","140501","N","NDG","","",23-JUL-15,28-OCT-24
"20:NIV:U","20 NIV","Biological Eng - Visiting","Biological Engineering - Visiting","20","Biological Engineering","Department of Biological Engineering","Engineering","School of Engineering","2007FA","Fall Term 2006-2007","999999","End of Time","NIV","U","140501","N","NDG","","",19-OCT-06,28-OCT-24
"20:P:G","20 P","Biological Engineering - M.Eng","Biological Engineering","20","Biological Engineering","Department of Biological Engineering","Engineering","School of Engineering","2007FA","Fall Term 2006-2007","999999","End of Time","P","G","140501","Y","MNG","Masters","Masters",23-JUL-15,28-OCT-24
"21::U","21","Humanities","Humanities (Course 21)","21","Humanities","Department of Humanities","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","1983FA","Fall Term 1982-1983","999999","End of Time","","U","240101","Y","SB","","",12-MAY-20,28-OCT-24
"21:CMS:G","21 CMS","Comparative Media Studies","Comparative Media Studies","21","Humanities","Department of Humanities","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","1998SU","Summer Term 1998","999999","End of Time","CMS","G","090102","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"21:CMS:U","21 CMS","Comparative Media Studies","Comparative Media Studies (Course 21 CMS)","21","Humanities","Department of Humanities","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2010FA","Fall Term 2009-2010","999999","End of Time","CMS","U","090102","Y","SB","","",12-MAY-20,28-OCT-24
"21:PSE:U","21 PSE","Hum & Eng - Psychology","Humanities and Engineering","21","Humanities","Department of Humanities","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","PSE","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21:PSS:U","21 PSS","Hum & Sci - Psychology","Humanities and Science","21","Humanities","Department of Humanities","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","PSS","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21:PSZ:U","21 PSZ","Humanities - Psychology","Humanities","21","Humanities","Department of Humanities","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","PSZ","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21:WSE:U","21 WSE","Hum & Eng - Women's Studies","Humanities and Engineering","21","Humanities","Department of Humanities","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","WSE","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21:WSS:U","21 WSS","Hum & Sci - Women's Studies","Humanities and Science","21","Humanities","Department of Humanities","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","WSS","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21:WSZ:U","21 WSZ","Humanities - Women's Studies","Humanities","21","Humanities","Department of Humanities","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","WSZ","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21A::U","21A","Anthropology","Anthropology (Course 21A)","21A","Anthropology","Program in Anthropology","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","1999FA","Fall Term 1998-1999","999999","End of Time","","U","450201","Y","SB","","",12-MAY-20,28-OCT-24
"21A:E:U","21A E","Hum & Eng - Anth/Arch","Humanities and Engineering","21A","Anthropology","Program in Anthropology","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","E","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21A:NIV:G","21A NIV","Anthropology - Visiting","Anthropology","21A","Anthropology","Program in Anthropology","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2013SU","Summer Term 2013","999999","End of Time","NIV","G","450201","N","NDG","","",11-JUN-13,28-OCT-24
"21A:S:U","21A S","Hum & Sci - Anth/Arch","Humanities and Science","21A","Anthropology","Program in Anthropology","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","S","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21A:Z:U","21A Z","Anth/Arch - Major departure","Anthroplogy/Archaeology","21A","Anthropology","Program in Anthropology","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","Z","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21E::U","21E","Humanities and Engineering","Humanities and Engineering (Course 21E)","21E","Humanities and Engineering","Department of Humanities","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2001FA","Fall Term 2000-2001","999999","End of Time","","U","240101","Y","SB","","",12-MAY-20,28-OCT-24
"21F::G","21F","Foreign Lang & Lit","","21F","Global Studies & Languages","Global Studies & Languages","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2003FA","Fall Term 2002-2003","2003FA","Fall Term 2002-2003","","G","160101","N","NDG","","",17-NOV-09,28-OCT-24
"21F::U","21F","Global Studies & Languages","Global Studies and Languages (Course 21F)","21F","Global Studies & Languages","Global Studies & Languages","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2021SU","Summer Term 2021","","U","160101","Y","SB","","",04-AUG-23,28-OCT-24
"21F:E:U","21F E","Hum & Eng - For lang & Lit","Humanities and Engineering","21F","Global Studies & Languages","Global Studies & Languages","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","E","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21F:S:U","21F S","Hum & Sci - For Lang & Lit","Humanities and Science","21F","Global Studies & Languages","Global Studies & Languages","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","S","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21F:Z:U","21F Z","Foreign Lang & Lit - Major dep","Foreign Languages and Literatures","21F","Global Studies & Languages","Global Studies & Languages","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","Z","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21G::U","21G","Global Languages","Global Languages (Course 21G)","21G","Global Languages","Global Languages","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2021FA","Fall Term 2020-2021","999999","End of Time","","U","160101","Y","SB","","",23-MAY-20,28-OCT-24
"21H::U","21H","History","History (Course 21H)","21H","History","History","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","999999","End of Time","","U","540101","Y","SB","","",12-MAY-20,28-OCT-24
"21H:E:U","21H E","Hum & Eng - History","Humanities and Engineering","21H","History","History","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","E","U","240101","Y","SB","","",13-OCT-00,28-OCT-24
"21H:NIE:G","21H NIE","History - Exchange","History","21H","History","History","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2006SP","Spring Term 2005-2006","999999","End of Time","NIE","G","540101","N","NDG","","",23-JUL-15,28-OCT-24
"21H:S:U","21H S","Hum & Sci - History","Humanities and Science","21H","History","History","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","S","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21H:Z:U","21H Z","History - Major Departure","History","21H","History","History","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","Z","U","123456","Y","SB","","",13-OCT-00,28-OCT-24
"21L::U","21L","Literature","Literature (Course 21L)","21L","Literature","Literature","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","999999","End of Time","","U","230101","Y","SB","","",12-MAY-20,28-OCT-24
"21L:CMS:G","21L CMS","Comparative Media Studies","Comparative Media Studies","21L","Literature","Literature","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2006FA","Fall Term 2005-2006","2010FA","Fall Term 2009-2010","CMS","G","090102","Y","SM","Masters","Masters",04-AUG-23,28-OCT-24
"21L:CMS:U","21L CMS","Comparative Media Studies","Comparative Media Studies","21L","Literature","Literature","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","2006FA","Fall Term 2005-2006","2014FA","Fall Term 2013-2014","CMS","U","090102","Y","SB","","",27-MAY-15,28-OCT-24
"21L:E:U","21L E","Hum & Eng - Literature","Humanities and Engineering","21L","Literature","Literature","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","E","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
"21L:S:U","21L S","Hum & Sci - Literature","Humanities and Science","21L","Literature","Literature","Hum, Arts & Social Sciences","School of Humanities, Arts, and Social Sciences","000000","Beginning of Time","2000SU","Summer Term 2000","S","U","240101","Y","SB","","",12-OCT-00,28-OCT-24
