"HR_ORG_UNIT_KEY","HR_ORG_UNIT_ID","HR_ORG_UNIT_TITLE","HR_ORG_UNIT_LEVEL","HR_DEPARTMENT_CODE","HR_DEPARTMENT_ABBR","HR_DEPARTMENT_CODE_OLD","HR_DEPARTMENT_NAME","HR_DEPARTMENT_NAME_LONG","HR_DEPARTMENT_NAME_ALPHA","ORG_HIER_SCHOOL_AREA_NAME","ORG_HIER_TOP_LEVEL_NAME","ORG_HIER_ROOT_NAME","HR_ORG_LEVEL1_ID","HR_ORG_LEVEL1_SORT","HR_ORG_LEVEL1_NAME","HR_ORG_LEVEL2_ID","HR_ORG_LEVEL2_SORT","HR_ORG_LEVEL2_NAME","HR_ORG_LEVEL3_ID","HR_ORG_LEVEL3_SORT","HR_ORG_LEVEL3_NAME","HR_ORG_LEVEL4_ID","HR_ORG_LEVEL4_SORT","HR_ORG_LEVEL4_NAME","HR_ORG_LEVEL5_ID","HR_ORG_LEVEL5_SORT","HR_ORG_LEVEL5_NAME","DLC_KEY","WAREHOUSE_LOAD_DATE"
"O10003358","10003358","Chancellor's Area","ORGANIZATION LEVEL","","","","","","","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","","","","","","","",03-OCT-24
"O10003458","10003458","Security & Emergency Management Office","DEPARTMENTS","10003458","HR-591028","591028","Security & Emergency Management Office","Security and Emergency Management Office","Security & Emergency Management Office","MIT Department of Facilities area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10004934","416","MIT Department of Facilities area","10002458","263","Campus Services area","10004234","371","Security & Emergency Management area","D_FACILITIES",03-OCT-24
"O10002158","10002158","Center for Advanced Visual Studies (old)","DEPARTMENTS","10002158","HR-246300","246300","Center for Advanced Visual Studies (old)","Center for Advanced Visual Studies (old)","Center for Advanced Visual Studies (old)","Architecture & Planning Area","Architecture & Planning Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002161","10002161","Statistics Center (old)","DEPARTMENTS","10002161","HR-068701","068701","Statistics Center (old)","Statistics Center (old)","Statistics Center (old)","Engineering Area","Engineering Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002162","10002162","Center for Advanced Eng Studies (old)","DEPARTMENTS","10002162","HR-069000","069000","Center for Advanced Eng Studies (old)","Center for Advanced Eng Studies (old)","Center for Advanced Eng Studies (old)","Engineering Area","Engineering Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002163","10002163","Center for Advanced Eng Studies (old)","DEPARTMENTS","10002163","HR-240500","240500","Center for Advanced Eng Studies (old)","Center for Advanced Eng Studies (old)","Center for Advanced Eng Studies (old)","Engineering Area","Engineering Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002164","10002164","Artificial Intelligence Laboratory (old)","DEPARTMENTS","10002164","HR-260300","260300","Artificial Intelligence Laboratory (old)","Artificial Intelligence Laboratory (old)","Artificial Intelligence Laboratory (old)","Engineering Area","Engineering Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002165","10002165","Laboratory for Computer Science (old)","DEPARTMENTS","10002165","HR-266000","266000","Laboratory for Computer Science (old)","Laboratory for Computer Science (old)","Laboratory for Computer Science (old)","Engineering Area","Engineering Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002166","10002166","Project Athena (old)","DEPARTMENTS","10002166","HR-442800","442800","Project Athena (old)","Project Athena (old)","Project Athena (old)","Engineering Area","Engineering Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002183","10002183","Environmental Medical Service (old)","DEPARTMENTS","10002183","HR-392100","392100","Environmental Medical Service (old)","Environmental Medical Service (old)","Environmental Medical Service (old)","Executive Vice President Area","Executive Vice President Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002184","10002184","Radioactivity Center (old)","DEPARTMENTS","10002184","HR-392180","392180","Radioactivity Center (old)","Radioactivity Center (old)","Radioactivity Center (old)","Executive Vice President Area","Executive Vice President Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002193","10002193","Project Athena (old)","DEPARTMENTS","10002193","HR-171000","171000","Project Athena (old)","Project Athena (old)","Project Athena (old)","Provost Area","Provost Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002194","10002194","Center for Cancer Research (old)","DEPARTMENTS","10002194","HR-240900","240900","Center for Cancer Research (old)","Center for Cancer Research (old)","Center for Cancer Research (old)","Provost Area","Provost Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002195","10002195","Neurosciences Research Program (old)","DEPARTMENTS","10002195","HR-246500","246500","Neurosciences Research Program (old)","Neurosciences Research Program (old)","Neurosciences Research Program (old)","Provost Area","Provost Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002196","10002196","Cell Culture Center (old)","DEPARTMENTS","10002196","HR-260800","260800","Cell Culture Center (old)","Cell Culture Center (old)","Cell Culture Center (old)","Provost Area","Provost Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002198","10002198","Kuwait-MIT Center for Natural Resources","DEPARTMENTS","10002198","HR-401900","401900","Kuwait-MIT Center for Natural Resources","Kuwait-MIT Center for Natural Resources","Kuwait-MIT Center for Natural Resources","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10002198","253","Kuwait-MIT Center for Natural Resources","","","","D_CHANCELLOR",03-OCT-24
"O10002201","10002201","Development Office (old)","DEPARTMENTS","10002201","HR-403000","403000","Development Office (old)","Development Office (old)","Development Office (old)","Office VP Resource Development","Office VP Resource Development","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002202","10002202","Development Office (old)","DEPARTMENTS","10002202","HR-411010","411010","Development Office (old)","Development Office (old)","Development Office (old)","Office VP Resource Development","Office VP Resource Development","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002203","10002203","Leadership Gifts (old)","DEPARTMENTS","10002203","HR-411030","411030","Leadership Gifts (old)","Leadership Gifts (old)","Leadership Gifts (old)","Office VP Resource Development","Office VP Resource Development","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002204","10002204","MIT Associates (old)","DEPARTMENTS","10002204","HR-412010","412010","MIT Associates (old)","MIT Associates (old)","MIT Associates (old)","Office VP Resource Development","Office VP Resource Development","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002205","10002205","MIT Associates (old)","DEPARTMENTS","10002205","HR-493100","493100","MIT Associates (old)","MIT Associates (old)","MIT Associates (old)","Office VP Resource Development","Office VP Resource Development","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002185","10002185","Division of Comparative Medicine (old)","DEPARTMENTS","10002185","HR-495010","495010","Division of Comparative Medicine (old)","Division of Comparative Medicine (old)","Division of Comparative Medicine (old)","Executive Vice President Area","Executive Vice President Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002186","10002186","Telecommunications Systems (old)","DEPARTMENTS","10002186","HR-592081","592081","Telecommunications Systems (old)","Telecommunications Systems (old)","Telecommunications Systems (old)","Department of Facilities","Department of Facilities","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002188","10002188","Statistics Center (old)","DEPARTMENTS","10002188","HR-098000","098000","Statistics Center (old)","Statistics Center (old)","Statistics Center (old)","Humanities, Arts, & Social Sciences Area","Humanities, Arts, & Social Sciences Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002191","10002191","Telecommunications Systems (old)","DEPARTMENTS","10002191","HR-404900","404900","Telecommunications Systems (old)","Telecommunications Systems (old)","Telecommunications Systems (old)","Information Systems Area","Information Systems Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002192","10002192","Environmental Medical Service (old)","DEPARTMENTS","10002192","HR-392060","392060","Environmental Medical Service (old)","Environmental Medical Service (old)","Environmental Medical Service (old)","President & Chair of the Corporation","President & Chair of the Corporation","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002206","10002206","Brain and Cognitive Sciences (old)","DEPARTMENTS","10002206","HR-162000","162000","Brain and Cognitive Sciences (old)","Brain and Cognitive Sciences (old)","Brain and Cognitive Sciences (old)","VP Research","VP Research","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002208","10002208","Clinical Research Center (old)","DEPARTMENTS","10002208","HR-259000","259000","Clinical Research Center (old)","Clinical Research Center (old)","Clinical Research Center (old)","VP Research","VP Research","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002211","10002211","Technology and Development Program (old)","DEPARTMENTS","10002211","HR-401840","401840","Technology and Development Program (old)","Technology and Development Program (old)","Technology and Development Program (old)","VP Research","VP Research","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002233","10002233","Neurosciences Research Program (old)","DEPARTMENTS","10002233","HR-151600","151600","Neurosciences Research Program (old)","Neurosciences Research Program (old)","Neurosciences Research Program (old)","Science Area","Science Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002234","10002234","Spectroscopy Laboratory (old)","DEPARTMENTS","10002234","HR-158030","158030","Spectroscopy Laboratory (old)","Spectroscopy Laboratory (old)","Spectroscopy Laboratory (old)","Science Area","Science Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002235","10002235","Statistics Center (old)","DEPARTMENTS","10002235","HR-159200","159200","Statistics Center (old)","Statistics Center (old)","Statistics Center (old)","Science Area","Science Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002236","10002236","Clinical Research Center (old)","DEPARTMENTS","10002236","HR-159400","159400","Clinical Research Center (old)","Clinical Research Center (old)","Clinical Research Center (old)","Science Area","Science Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002238","10002238","Clinical Research Center (old)","DEPARTMENTS","10002238","HR-246400","246400","Clinical Research Center (old)","Clinical Research Center (old)","Clinical Research Center (old)","Science Area","Science Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002241","10002241","Center for Coordination Science (old)","DEPARTMENTS","10002241","HR-121700","121700","Center for Coordination Science (old)","Center for Coordination Science (old)","Center for Coordination Science (old)","Sloan School of Management Area","Sloan School of Management Area","MIT-All","","","MIT-All","","","","","","","","","","","","","",03-OCT-24
"O10002258","10002258","ME Special Projects","DEPARTMENTS","10002258","HR-441060","441060","ME Special Projects","ME Special Projects","ME Special Projects","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10000013","8","Office of Undergraduate Education Area","D_DUE:HQ",03-OCT-24
"O10002283","10002283","Program in Polymer Sciences & Technology","DEPARTMENTS","10002283","HR-062100","062100","Program in Polymer Sciences & Technology","Program in Polymer Sciences & Technology","Program in Polymer Sciences & Technology","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10002283","255","Program in Polymer Sciences & Technology","","","","D_PPST",03-OCT-24
"O10002308","10002308","HASTS-PHD Program","DEPARTMENTS","10002308","HR-097050","097050","HASTS-PHD Program","HASTS-PHD Program","HASTS-PHD Program","Humanities, Arts, & Social Sciences Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000020","12","Humanities, Arts, & Social Sciences Area","10002308","256","HASTS-PHD Program","","","","D_STS",03-OCT-24
"O10002333","10002333","Dept Heads Vice President for Research","DEPARTMENTS","10002333","HR-401861","401861","Dept Heads Vice President for Research","Office of the Vice President for Research","Dept Heads Vice President for Research","VP Research","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000032","18","VP Research","10005833","523","VP for Research Area","10002333","257","Dept Heads Vice President for Research","D_VPRES_DEPTHD",03-OCT-24
"O10002358","10002358","OVC Desktop Support","DEPARTMENTS","10002358","HR-441900","441900","OVC Desktop Support","OVC Desktop Support","OVC Desktop Support","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10005660","500","Office of the Vice Chancellor HQ Area","D_OVC",03-OCT-24
"O10002383","10002383","Office of Finance","DEPARTMENTS","10002383","HR-428000","428000","Office of Finance","Office of Finance","Office of Finance","VP for Finance Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10003333","326","VP for Finance Area","10002383","259","Office of Finance","","","","D_CAS",03-OCT-24
"O10002408","10002408","LL-Financial Services Department","SUB DEPARTMENT","10000581","HR-310000","310000","Lincoln Laboratory","Lincoln Laboratory","Lincoln Laboratory","Provost Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000581","121","Lincoln Laboratory","10002408","260","LL-Financial Services Department","","","","",03-OCT-24
"O10002535","10002535","Student Orgs, Leadership, and Engagement","DEPARTMENTS","10002535","HR-441600","441600","Student Orgs, Leadership, and Engagement","Student Organizations, Leadership, and Engagement","Student Activities","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10002858","298","Diversity and Community Involvement Area","10002535","276","Student Orgs, Leadership, and Engagement","D_HOUSING",03-OCT-24
"O10002536","10002536","The Aga Khan Program","DEPARTMENTS","10002536","HR-031500","031500","The Aga Khan Program","The Aga Khan Program","The Aga Khan Program","Architecture & Planning Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000005","5","Architecture & Planning Area","10002536","277","The Aga Khan Program","","","","D_ARCH",03-OCT-24
"O10002558","10002558","Residential Life Programs","DEPARTMENTS","10002558","HR-441325","441325","Residential Life Programs","Residential Life Programs","Residential Life Programs","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10000223","31","Residential Education Area","10002558","279","Residential Life Programs","D_RLP",03-OCT-24
"O10002583","10002583","Design Laboratory","DEPARTMENTS","10002583","HR-030010","030010","Design Laboratory","Design Laboratory","Design Laboratory","Architecture & Planning Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000005","5","Architecture & Planning Area","10002583","281","Design Laboratory","","","","D_DEANARCH",03-OCT-24
"O10002608","10002608","VPF - Office of the Recording Secretary","DEPARTMENTS","10002608","HR-410025","410025","VPF - Office of the Recording Secretary","VPF - Office of the Recording Secretary","VPF - Office of the Recording Secretary","VP for Finance Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10003333","326","VP for Finance Area","10002608","282","VPF - Office of the Recording Secretary","","","","D_RSO",03-OCT-24
"O10002633","10002633","Cntr for Sustainability Sci & Strategy","DEPARTMENTS","10002633","HR-159400","159400","Cntr for Sustainability Sci & Strategy","Center for Sustainability Science and Strategy","Center for Sustainability Science and Strategy","Science Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000030","16","Science Area","10002633","283","Cntr for Sustainability Sci & Strategy","","","","D_CS3",03-OCT-24
"O10002634","10002634","Undergraduate Advising Center","DEPARTMENTS","10002634","HR-444000","444000","Undergraduate Advising Center","Undergraduate Advising Center","Undergraduate Advising Center","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10005668","504","Office of the First Year Area","D_UAAP",03-OCT-24
"O10002635","10002635","Faculty & Curriculum Support","DEPARTMENTS","10002635","HR-445000","445000","Faculty & Curriculum Support","Faculty & Curriculum Support","Faculty & Curriculum Support","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10005658","498","Registrar Area","D_OFS",03-OCT-24
"O10002658","10002658","Global Education Office","DEPARTMENTS","10002658","HR-446610","446610","Global Education Office","Global Education Office","Global Education Office","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10005662","502","Office of Experiential Learning Area","D_OSA",03-OCT-24
"O10002683","10002683","Career Advising & Prof Devt Area","ORGANIZATION LEVEL","","","","","","","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10002683","287","Career Advising & Prof Devt Area","",03-OCT-24
"O10002708","10002708","SoE Dept/Lab/Center/Director Org","DEPARTMENTS","10002708","HR-060100","060100","SoE Dept/Lab/Center/Director Org","SoE Dept/Lab/Center/Director Org","SoE Dept/Lab/Center/Director Org","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10002708","288","SoE Dept/Lab/Center/Director Org","","","","D_DOE",03-OCT-24
"O10002733","10002733","SHASS Department Heads","DEPARTMENTS","10002733","HR-090100","090100","SHASS Department Heads","SHASS Department Heads","SHASS Department Heads","Humanities, Arts, & Social Sciences Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000020","12","Humanities, Arts, & Social Sciences Area","10002733","289","SHASS Department Heads","","","","D_HUM_DEPTHEAD",03-OCT-24
"O10002734","10002734","ODL, Strategic Education Initiatives","DEPARTMENTS","10002734","HR-447100","447100","ODL, Strategic Education Initiatives","ODL, Strategic Education Initiatives","","Office of Provost Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000025","15","Office of Provost Area","10004583","397","Open Learning Area","10005083","427","MIT Open Learning area","D_OEIT",03-OCT-24
"O10002758","10002758","Deans, Dept Admins and Lab Directors","DEPARTMENTS","10002758","HR-020000","020000","Deans, Dept Admins and Lab Directors","Deans, Dept Admins and Lab Directors","Deans, Dept Admins and Lab Directors","Office of Provost Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000025","15","Office of Provost Area","10002758","291","Deans, Dept Admins and Lab Directors","","","","D_PROVOST",03-OCT-24
"O10002783","10002783","Sloan School Department Heads","DEPARTMENTS","10002783","HR-121140","121140","Sloan School Department Heads","Sloan School Department Heads","Sloan School Department Heads","Sloan School of Management Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000031","17","Sloan School of Management Area","10002783","293","Sloan School Department Heads","","","","D_SLOAN",03-OCT-24
"O10002808","10002808","Student Financial Services Area","ORGANIZATION LEVEL","","","","","","","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10002808","294","Student Financial Services Area","",03-OCT-24
"O10002833","10002833","AMPS-Libraries","DEPARTMENTS","10002833","HR-271100","271100","AMPS-Libraries","Academic Media Production Services-Libraries","Academic Media Production Services-Libraries","Libraries, MIT Press, Tech Review","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000022","13","Libraries, MIT Press, Tech Review","10000162","26","Libraries","10002833","297","AMPS-Libraries","D_LIBRARIES",03-OCT-24
"O10002858","10002858","Diversity and Community Involvement Area","ORGANIZATION LEVEL","","","","","","","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10002858","298","Diversity and Community Involvement Area","","","","",03-OCT-24
"O10002883","10002883","Student Leadership Development","DEPARTMENTS","10002883","HR-441500","441500","Student Leadership Development","Student Leadership Development","Student Leadership Development","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10002858","298","Diversity and Community Involvement Area","10002883","301","Student Leadership Development","D_SLMPLS",03-OCT-24
"O10002884","10002884","DSL Fundraising","DEPARTMENTS","10002884","HR-442001","442001","DSL Fundraising","Office of the Dean for Student Life Fundraising","Office of the Dean for Student Life Fundraising","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10000099","24","Dean for Student Life Offices","10002884","302","DSL Fundraising","D_DSL:HQ",03-OCT-24
"O10002885","10002885","Student Support and Wellbeing Area","ORGANIZATION LEVEL","","","","","","","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10002885","303","Student Support and Wellbeing Area","","","","",03-OCT-24
"O10002886","10002886","Fraternities, Sororities and ILgs","DEPARTMENTS","10002886","HR-441330","441330","Fraternities, Sororities and ILgs","Fraternities, Sororities and ILGs","Fraternities, Sororities and ILGs","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10000223","31","Residential Education Area","10002886","304","Fraternities, Sororities and ILgs","D_FSILG",03-OCT-24
"O10002908","10002908","EHS Headquarters Area","ORGANIZATION LEVEL","","","","","","","EHS Headquarters Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10002908","306","EHS Headquarters Area","","","","","","","",03-OCT-24
"O10002933","10002933","EHS Headquarters Office","DEPARTMENTS","10002933","HR-392100","392100","EHS Headquarters Office","EHS Headquarters Office","EHS Headquarters Office","EHS Headquarters Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10002908","306","EHS Headquarters Area","10002933","307","EHS Headquarters Office","","","","D_EHSO",03-OCT-24
"O10002934","10002934","EHS Level B Coordinators","DEPARTMENTS","10002934","HR-392101","392101","EHS Level B Coordinators","EHS Level B Coordinators","EHS Level B Coordinators","EHS Headquarters Area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10002908","306","EHS Headquarters Area","10002934","308","EHS Level B Coordinators","","","","D_EHSO",03-OCT-24
"O10002433","10002433","Center for Biomedical Innovation","DEPARTMENTS","10002433","HR-430000","430000","Center for Biomedical Innovation","Center for Biomedical Innovation","Biomedical Innovation, The Center for","Schwarzman College of Computing Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10005758","513","Schwarzman College of Computing Area","10002433","262","Center for Biomedical Innovation","","","","D_CBI",03-OCT-24
"O10002458","10002458","Campus Services area","ORGANIZATION LEVEL","","","","","","","MIT Department of Facilities area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10004934","416","MIT Department of Facilities area","10002458","263","Campus Services area","","","","",03-OCT-24
"O10002461","10002461","Facilities Dev Design Eng & Construction","DEPARTMENTS","10002461","HR-591040","591040","Facilities Dev Design Eng & Construction","Department of Facilities","Facilities Dev Design Eng & Construction","MIT Department of Facilities area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10004934","416","MIT Department of Facilities area","10002458","263","Campus Services area","10002461","266","Facilities Dev Design Eng & Construction","D_FACILITIES",03-OCT-24
"O10002462","10002462","Dof Grounds Services","DEPARTMENTS","10002462","HR-591021","591021","Dof Grounds Services","Department of Facilities","Dof Grounds Services","MIT Department of Facilities area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10004934","416","MIT Department of Facilities area","10004858","410","Dof Facilities Operations","10005410","468","Dof Campus Services & Maintenance Area","D_FACILITIES",03-OCT-24
"O10002463","10002463","Dof Mail Services","DEPARTMENTS","10002463","HR-591023","591023","Dof Mail Services","Department of Facilities","Dof Mail Services","MIT Department of Facilities area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10004934","416","MIT Department of Facilities area","10004858","410","Dof Facilities Operations","10005410","468","Dof Campus Services & Maintenance Area","D_FACILITIES",03-OCT-24
"O10002464","10002464","Dof Repair & Maintenance","DEPARTMENTS","10002464","HR-591022","591022","Dof Repair & Maintenance","Dof Repair & Maintenance","Dof Repair & Maintenance","MIT Department of Facilities area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10004934","416","MIT Department of Facilities area","10004858","410","Dof Facilities Operations","10005410","468","Dof Campus Services & Maintenance Area","D_FACILITIES",03-OCT-24
"O10002465","10002465","Dof Utilities","DEPARTMENTS","10002465","HR-591030","591030","Dof Utilities","Dof Utilities","Dof Utilities","MIT Department of Facilities area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10004934","416","MIT Department of Facilities area","10004858","410","Dof Facilities Operations","10005408","466","Dof Utilities Area","D_FACILITIES",03-OCT-24
"O10002466","10002466","Campus Services Misc","DEPARTMENTS","10002466","HR-591024&5","591024","Campus Services Misc","Department of Facilities","Campus Services Misc","MIT Department of Facilities area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10004934","416","MIT Department of Facilities area","10002458","263","Campus Services area","10002466","271","Campus Services Misc","D_FACILITIES",03-OCT-24
"O10002483","10002483","Concourse","DEPARTMENTS","10002483","HR-069600","069600","Concourse","Concourse","Concourse","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10005668","504","Office of the First Year Area","D_CONCOURSE",03-OCT-24
"O10002508","10002508","School of Engineering-MITES","DEPARTMENTS","10002508","HR-060700","060700","School of Engineering-MITES","School of Engineering-MITES","School of Engineering-MITES","Engineering Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000018","11","Engineering Area","10002508","273","School of Engineering-MITES","","","","D_MITES",03-OCT-24
"O10002533","10002533","Student Life Programs Area","ORGANIZATION LEVEL","","","","","","","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10002533","274","Student Life Programs Area","","","","",03-OCT-24
"O10002534","10002534","SLP Operating Accounts","DEPARTMENTS","10002534","HR-441620","441620","SLP Operating Accounts","SLP Operating Accounts","SLP Operating Accounts","Dean for Student Life Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000012","7","Dean for Student Life Area","10002533","274","Student Life Programs Area","10002534","275","SLP Operating Accounts","D_SLP",03-OCT-24
"O10000760","10000760","Registrar","DEPARTMENTS","10000760","HR-446700","446700","Registrar","Registrar","Registrar","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10005658","498","Registrar Area","D_REG",03-OCT-24
"O10000768","10000768","Student Financial Services","DEPARTMENTS","10000768","HR-449000","449000","Student Financial Services","Student Financial Services","Student Financial Services","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10002808","294","Student Financial Services Area","D_SFS",03-OCT-24
"O10000803","10000803","Gray House","DEPARTMENTS","10000803","HR-497400","497400","Gray House","Gray House","Gray House","Office of EVPT area","Executive Vice President Area","MIT-All","10000000","1","MIT-All","10000002","3","Executive Vice President Area","10000024","14","Office of EVPT area","10000803","200","Gray House","","","","D_GRAY",03-OCT-24
