"FCLT_BUILDING_HIST_KEY","FISCAL_PERIOD","FCLT_BUILDING_KEY","BUILDING_NUMBER","PARENT_BUILDING_NUMBER","PARENT_BUILDING_NAME","PARENT_BUILDING_NAME_LONG","BUILDING_NAME_LONG","EXT_GROSS_AREA","ASSIGNABLE_AREA","NON_ASSIGNABLE_AREA","SITE","CAMPUS_SECTOR","ACCESS_LEVEL_CODE","ACCESS_LEVEL_NAME","BUILDING_TYPE","OWNERSHIP_TYPE","BUILDING_USE","OCCUPANCY_CLASS","BUILDING_HEIGHT","COST_CENTER_CODE","COST_COLLECTOR_KEY","LATITUDE_WGS","LONGITUDE_WGS","EASTING_X_SPCS","NORTHING_Y_SPCS","BUILDING_SORT","BUILDING_NAMED_FOR","BUILDING_NAME","DATE_BUILT","DATE_ACQUIRED","DATE_OCCUPIED","WAREHOUSE_LOAD_DATE","NUM_OF_ROOMS"
"56-201505","201505","56","56","","","","Uncas A Whitaker Building",143681.84,78129.65,50261.23,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","118.80","1815600","1815600",42.360699525199898,-71.089862504600006,767014.32081099902,2956734.58778999,"56","UNCAS A. & HELEN F. WHITAKER","WHITAKER BUILDING",01-SEP-63,,01-APR-65,01-DEC-14,462
"57-201505","201505","57","57","","","","MIT Alumni Pool",39121.04,22725.98,10516.52,"MIT","MAIN GROUP",2,"2","SERVICE","OWNED","STAC","UGA3","41.10","1815700","1815700",42.3611422938,-71.090140009199899,766938.54517199902,2956895.58099999,"57","","MIT ALUMNI POOL",01-JUL-39,,01-MAY-40,01-DEC-14,52
"62H-201505","201505","62H","62H","62","ALUMNI HOUSES: MUNROE HAYDEN WOOD","Alumni Houses: Munroe Hayden Wood","Alumni Houses: Hayden",26411.82,16932.94,6760.5,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","1346200","1346200",,,,,"62H","HENRY R. HAYDEN","ALUMNI HOUSES: HAYDEN",,,,01-DEC-14,117
"62M-201505","201505","62M","62M","62","ALUMNI HOUSES: MUNROE HAYDEN WOOD","Alumni Houses: Munroe Hayden Wood","Alumni Houses: Munroe",25568.41,18125.96,4960.76,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"62M","JAMES P. MUNROE","ALUMNI HOUSES: MUNROE",,,,01-DEC-14,102
"62W-201505","201505","62W","62W","62","ALUMNI HOUSES: MUNROE HAYDEN WOOD","Alumni Houses: Munroe Hayden Wood","Alumni Houses: Wood",25173.77,15513.88,7215.29,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","(NULL)","","","",,,,,"62W","KENNETH F. WOOD","ALUMNI HOUSES: WOOD",,,,01-DEC-14,111
"E23-201505","201505","E23","E23","","","","Health Services",101813.25,65358.84,23768.81,"MIT","EAST",2,"2","SERVICE","OWNED","AER","UGBI2","71.10","1822300","1822300",42.361022122599898,-71.086632158800001,767886.80826600001,2956856.3629100001,"E23","","HEALTH SERVICES",21-AUG-79,,15-FEB-82,01-DEC-14,620
"E40-201505","201505","E40","E40","","","","The Muckley Building",106714.57,71235.6,24569.11,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGB","64.50","1824000","1824000",42.361163190500001,-71.084853018000004,768367.39924900001,2956910.1065600002,"E40","DWIGHT S. MUCKLEY","MUCKLEY BUILDING",01-MAY-30,01-JUN-68,31-DEC-69,01-DEC-14,453
"EE19-201505","201505","EE19","EE19","","","","Building EE19",20514.89,18402.12,117.63,"MIT","",1,"1","ACADEMIC","LEASED","(NULL)","(NULL)","0.00","","",,,,,"EE19","","BUILDING EE19",21-MAR-14,,,01-DEC-14,145
"OC21-201505","201505","OC21","OC21","","","","Wallace Astrophysical Observatory",3109.94,2815.19,0,"HAY","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","UGBR3","","","",42.610434591000001,-71.483965104199896,660483.31698200002,3047480.8814400001,"OC21","GEORGE R. WALLACE JR.","WALLACE ASTROPHYSICAL OBSERVATORY",,,14-OCT-71,01-DEC-14,16
"OC22-201505","201505","OC22","OC22","","","","Westford Optics Facility (Haystack)",881.78,794.16,0.03,"HAY","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","UGB","","1878000","1878000",42.6118587680999,-71.484673941500006,660292.40228000004,3047999.8853500001,"OC22","","WESTFORD OPTICS FACILITY (HAYSTACK)",,,,01-DEC-14,3
"OC32-201505","201505","OC32","OC32","","","","Lexington Field House",18635.38,14812.52,2425.79,"LINC","OFFCAMPUS",1,"1","ACADEMIC","OWNED","OTH","(NULL)","","","",,,,,"OC32","","LEXINGTON FIELD HOUSE",,,,01-DEC-14,19
"OC32A-201505","201505","OC32A","OC32A","","","","Balloon House A",1585.32,0,1180.83,"LINC","OFFCAMPUS",1,"1","SERVICE","OWNED","OTH","(NULL)","","","",,,,,"OC32A","","BALLOON HOUSE A",,,,01-DEC-14,4
"OC35-201505","201505","OC35","OC35","","","","Annex V",25834.27,16761.01,6385.23,"LINC","OFFCAMPUS",1,"1","ACADEMIC","OWNED","OTH","(NULL)","","","",,,,,"OC35","","ANNEX V",,,,01-DEC-14,91
"W45-201505","201505","W45","W45","","","","West Parking Garage",186998.09,180438.3,3238.58,"MIT","WEST",2,"2","SERVICE","OWNED","GAR","UGS2","42.10","1834500","1834500",42.359069403500001,-71.097601016499894,764925.65476599894,2956130.57693,"W45","","WEST GARAGE",31-DEC-63,,01-JUN-64,01-DEC-14,27
"W51C-201505","201505","W51C","W51C","","","","405 Memorial Drive - Pi Phi",17286.8,10707.53,3946.3,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","","","",42.356186612899897,-71.097241993799898,765027.65080299904,2955080.4874700001,"W51C","","405 MEMORIAL DRIVE",,,,01-DEC-14,85
"W53A-201505","201505","W53A","W53A","","","","J B Carr Indoor Tennis Facility (Office)",1159.47,694.95,259.08,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGB","12.40","","",42.3569779197,-71.097351458299897,764996.70269199903,2955368.7158300001,"W53A","JASPER B. CARR","CARR INDOOR TENNIS FACILITY (OFFICE)",01-OCT-84,,01-MAY-85,01-DEC-14,10
"W53B-201505","201505","W53B","W53B","","","","J B Carr Indoor Tennis Facility (Office)",140,121.25,0,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGB","9.00","","",42.356966364400002,-71.0969470836,765106.01835599903,2955365.0210500001,"W53B","","DUPONT TENNIS COURTS (OFFICE)",,,,01-DEC-14,2
"W53D-201505","201505","W53D","W53D","","","","J B Carr Indoor Tennis Facility(Svc)",142.94,112.5,0,"MIT","WEST",2,"2","SERVICE","OWNED","STAC","UGB","","","",,,,,"W53D","","CARR INDOOR TENNIS FACILITY(SVC)",,,,01-DEC-14,1
"W70D-201505","201505","W70D","W70D","W70","NEW HOUSE","New West Campus Houses","New West Campus Houses (Wing D)",16559.95,10065.74,4458.48,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","","","",,,,,"W70D","","NEW HOUSE (D)",,,,01-DEC-14,98
"W84-201505","201505","W84","W84","","","","Tang Residence Hall",152314.7,108737.65,26785.79,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","240.40","1348500","1348500",42.354351753400003,-71.103479493899897,763344.84496699902,2954403.9287700001,"W84","PING YUAN TANG","TANG HALL",16-NOV-70,,31-DEC-73,01-DEC-14,306
"1-201506","201506","1","1","","","","Henry L Pierce Engineering Laboratory",116239.37,76174.05,28714.12,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","81.40","1810100","1810100",42.358085904500001,-71.092357234000005,766344.62904499902,2955778.8992900001,"01","HENRY L. PIERCE","PIERCE LABORATORY",31-DEC-13,,31-DEC-17,01-JAN-15,407
"2-201506","201506","2","2","","","","Building 2",121649.77,73934.31,35902.05,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","82.60","1810200","1810200",42.358812732399898,-71.090182689000002,766931.08927,2956046.58619999,"02","","BUILDING 2",01-JUL-13,,31-DEC-16,01-JAN-15,354
"3-201506","201506","3","3","","","","Richard Cockburn MacLaurin Buildings (3)",160124.08,104190.06,40757.84,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","85.50","1810300","1810300",42.3590069408,-71.0923974098,766332.166723,2956114.4910200001,"03","R. C. MACLAURIN","MACLAURIN BUILDINGS (3)",01-JUL-13,,31-DEC-16,01-JAN-15,535
"4-201506","201506","4","4","","","","Richard Cockburn MacLaurin Buildings (4)",162564.75,100586.25,45067.5,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","79.70","1810400","1810400",42.359443063500002,-71.091086509600004,766685.70812099904,2956275.11901,"04","R. C. MACLAURIN","MACLAURIN BUILDINGS (4)",01-JUL-13,,31-DEC-16,01-JAN-15,492
"5-201506","201506","5","5","","","","Pratt School Of Naval Architecture And Marine Engineering",80942.35,55225.95,16728.77,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","70.70","1810500","1810500",42.358708761300001,-71.092923465699897,766190.50561899901,2956005.1499100002,"05","CHARLES HERBERT PRATT","PRATT SCHOOL",01-DEC-19,,31-DEC-20,01-JAN-15,275
"6-201506","201506","6","6","","","","George Eastman Research",88826.92,53881.73,22701.76,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","81.40","1810600","1810600",42.359538878400002,-71.090454767400004,766856.28272799903,2956310.85519,"06","GEORGE EASTMAN","EASTMAN LABORATORIES",31-DEC-31,,31-DEC-33,01-JAN-15,312
"7-201506","201506","7","7","","","","William Barton Rogers Building",100553.38,50752.13,36508.04,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGA3B","103.70","1810700","1810700",42.3592892299,-71.093186760899897,766118.33409300004,2956216.3448999901,"07","WILLIAM BARTON ROGERS","WILLIAM BARTON ROGERS BUILDING",01-MAY-37,,31-DEC-38,01-JAN-15,324
"8-201506","201506","8","8","","","","Building 8",65896.06,37271.08,20859.74,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","64.00","1810800","1810800",42.359992789400003,-71.090863924700002,766744.905118,2956475.7390000001,"08","","BUILDING 8",01-JUL-13,,31-DEC-16,01-JAN-15,260
"9-201506","201506","9","9","","","","Building 9",75420.83,36371.35,28964.52,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","83.90","1810900","1810900",42.359749929400003,-71.093561749900005,766016.18442099902,2956383.7499500001,"09","","BUILDING 9",01-APR-66,,01-DEC-67,01-JAN-15,313
"10-201506","201506","10","10","","","","Richard Cockburn MacLaurin Buildings (10)",143921.25,86493.58,42183.9,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGA3B","149.20","1811000","1811000",42.359677380100003,-71.092016473499896,766433.95508400002,2956359.3054300002,"10","R. C. MACLAURIN","MACLAURIN BUILDINGS (10)",01-JUL-13,,31-DEC-16,01-JAN-15,567
"11-201506","201506","11","11","","","","Homberg Building",26705.26,18688.68,4787.15,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","72.50","1811100","1811100",42.359522010100001,-71.092772666200005,766229.84780500003,2956301.7088100002,"11","RICHARD MEYER HOMBERG","HOMBERG BUILDING",01-JUN-27,,31-DEC-28,01-JAN-15,189
"12-201506","201506","12","12","","","","Building 12",55403.21,36173.72,14274.26,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","42.20","1811200","1811200",42.3602054061,-71.091559902100002,766556.43215699901,2956552.3192799902,"12","","BUILDING 12",01-SEP-41,,01-JUL-42,01-JAN-15,242
"13-201506","201506","13","13","","","","Vannevar Bush Building",183168.57,96713.05,71775.17,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","69.10","1811300","1811300",42.3599438607,-71.0925515222999,766288.88213599904,2956455.7255299902,"13","VANNEVAR BUSH","BUSH BUILDING",01-APR-63,,01-JUN-65,01-JAN-15,573
"14-201506","201506","14","14","","","","Charles Hayden Memorial Library",154515.73,103918.34,38225.86,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGA3","70.40","1811400","1811400",42.359182609800001,-71.0893039993,767167.92838699894,2956182.5196099901,"14","CHARLES HAYDEN","HAYDEN MEMORIAL LIBRARY",05-APR-48,,31-DEC-51,01-JAN-15,94
"16-201506","201506","16","16","","","","Dorrance Building",116490.06,57877.58,47073.19,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","122.90","1811600","1811600",42.360434783999899,-71.090592766599897,766817.41790100001,2956637.1625100002,"16","JOHN THOMPSON DORRANCE","DORRANCE BUILDING",01-NOV-50,,01-JUN-52,01-JAN-15,373
"17-201506","201506","17","17","","","","Wright Brothers Wind Tunnel",6074.7,5585.84,263.41,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","22.00","1811700","1811700",42.360112995999899,-71.093493258699894,766034.06507799902,2956516.1469700001,"17","WILBUR & ORVILLE WRIGHT","WRIGHT BROTHERS WIND TUNNEL",01-DEC-37,,01-JAN-39,01-JAN-15,14
"18-201506","201506","18","18","","","","Camille Edouard Dreyfus Building",133552.11,76459.68,40382.82,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","82.50","1811800","1811800",42.360069747200001,-71.089821313800002,767026.55760299903,2956505.1372199901,"18","CAMILLE EDOUARD DREYFUS","DREYFUS BUILDING",01-MAY-67,,15-DEC-69,01-JAN-15,512
"24-201506","201506","24","24","","","","Building 24",77685.93,50027.02,21121.3,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","84.10","1812400","1812400",42.360666501600001,-71.092014636299893,766432.72732399905,2956719.7637100001,"24","","BUILDING 24",31-DEC-41,,31-DEC-41,01-JAN-15,307
"26-201506","201506","26","26","","","","Karl Taylor Compton Laboratories",133545.12,80689.29,42202.87,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","78.70","1812600","1812600",42.360857952400003,-71.091152937100006,766665.28283200006,2956790.6472399901,"26","KARL TAYLOR COMPTON","COMPTON LABORATORIES",01-JUN-55,,01-FEB-57,01-JAN-15,378
"31-201506","201506","31","31","","","","Sloan Laboratories For Aircraft & Automotive Engineering",63579.46,47756.82,10909.03,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","46.20","1813100","1813100",42.360373622600001,-71.093062013799894,766150.16447099904,2956611.68034,"31","ALFRED P. SLOAN JR.","SLOAN LABORATORIES",31-DEC-28,,31-DEC-28,01-JAN-15,221
"32-201506","201506","32","32","","","","Ray and Maria Stata Center",464004.84,286244.98,121735.52,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","140.00","1813200","1813200",42.361596720199898,-71.090568544199897,766821.93192500004,2957060.6268500001,"32","RAY STATA '57","STATA CENTER",,,19-MAR-04,01-JAN-15,1317
"33-201506","201506","33","33","","","","Daniel Guggenheim Aeronautical Laboratory",55046.17,36094.91,13256.26,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","56.50","1813300","1813300",42.360178375499899,-71.093745872599897,765965.67766299902,2956539.6472800002,"33","DANIEL GUGGENHEIM","GUGGENHEIM LABORATORY",01-APR-27,,01-JUL-28,01-JAN-15,170
"34-201506","201506","34","34","","","","EG&G Education Center",26966.05,14658.72,9148.25,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGA3","81.30","1813400","1813400",42.361138247100001,-71.0919512822,766449.027596,2956891.7591599901,"34","HAROLD E. EDGERTON, KENNETH H. GERMESHAUSEN, HERBERT E. GRIER","EG&G EDUCATION CENTER",31-DEC-82,,31-DEC-83,01-JAN-15,62
"35-201506","201506","35","35","","","","Sloan Laboratory",68012.32,41750.9,18801.94,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","80.30","1813500","1813500",42.360381183800001,-71.094028140399899,765889.03724800004,2956613.1916499902,"35","ALFRED P. SLOAN JR.","SLOAN LABORATORY",01-AUG-50,,01-JUN-52,01-JAN-15,249
"36-201506","201506","36","36","","","","Fairchild Buildings (36)",145819.4,71387.62,58854.35,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","117.40","1813600","1813600",42.3614372153,-71.0916675836,766525.17992599902,2957001.0762499901,"36","SHERMAN M. FAIRCHILD","FAIRCHILD BUILDING (36)",12-APR-71,,01-OCT-73,01-JAN-15,587
"37-201506","201506","37","37","","","","Ronald E McNair Building",102832.84,56088.11,32519.06,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","89.70","1813700","1813700",42.360684242200001,-71.093247445399896,766099.50816600001,2956724.6375299902,"37","RONALD E. MCNAIR","MCNAIR BUILDING",01-FEB-66,,31-DEC-69,01-JAN-15,401
"38-201506","201506","38","38","","","","Fairchild Buildings (38)",84329.46,56062.43,19933.08,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","91.40","1813800","1813800",42.361073927,-71.092349797200001,766341.43467700004,2956867.8046599901,"38","SHERMAN M. FAIRCHILD","FAIRCHILD BUILDING (38)",12-APR-71,,01-OCT-73,01-JAN-15,329
"39-201506","201506","39","39","","","","Stanley Gordon Brown Building",75808.22,39408.97,29949.69,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","91.10","1813900","1813900",42.360856655699898,-71.092730980599896,766238.79191899905,2956788.13444999,"39","GORDON STANLEY BROWN","BROWN BUILDING",01-AUG-66,,31-DEC-68,01-JAN-15,253
"41-201506","201506","41","41","","","","Building 41",26078.68,20161.34,4267.86,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","61.20","1814100","1814100",42.360760073199899,-71.0941602993,765852.661998,2956751.0965800001,"41","","BUILDING 41",31-DEC-15,,31-DEC-17,01-JAN-15,106
"42-201506","201506","42","42","","","","William R. Dickson Cogeneration Plant",79050.49,4380,67876.13,"MIT","MAIN GROUP",0,"0","SERVICE","OWNED","OTH","UGF1","64.80","1814200","1814200",42.361105970300002,-71.0935165170999,766026.05418700003,2956877.9774199901,"42","","COGENERATION PLANT",31-DEC-15,,31-DEC-16,01-JAN-15,80
"43-201506","201506","43","43","","","","Power Plant Annex",10373.95,5443.11,4097.66,"MIT","MAIN GROUP",0,"0","SERVICE","OWNED","OTH","UGF1","30.50","","",42.361144933600002,-71.093211498399896,766108.42287899903,2956892.56905,"43","","POWER PLANT ANNEX",31-DEC-14,,01-AUG-16,01-JAN-15,35
"44-201506","201506","44","44","","","","Cyclotron",16118.61,11616.29,2717.2,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","29.50","1814400","1814400",42.361606785100001,-71.0924707402,766307.82008600002,2957061.8328100001,"44","","CYCLOTRON",31-DEC-38,,31-DEC-39,01-JAN-15,48
"46-201506","201506","46","46","","","","Brain & Cognitive Sciences Complex",418662.59,218530.21,152699.33,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","136.40","1814600","1814600",42.362327773499899,-71.091642943400004,766530.28537900001,2957325.6455700002,"46","","BCSC",25-APR-03,,01-SEP-05,01-JAN-15,1401
"48-201506","201506","48","48","","","","Ralph M Parsons Laboratory For Water Resources & Hydrodynamics",57227.15,38567.88,11260.64,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","64.00","1814800","1814800",42.362432493100002,-71.090665238,766794.33740199904,2957365.0742299901,"48","RALPH M. PARSONS","PARSONS LABORATORY",31-DEC-49,,31-DEC-51,01-JAN-15,153
"50-201506","201506","50","50","","","","Walker Memorial",73703.27,46452.51,20719.31,"MIT","MAIN GROUP",2,"2","SERVICE","OWNED","STAC","UGA3","80.50","1342002","1342002",42.359362410700001,-71.0883196005,767433.66957400006,2956249.3249900001,"50","FRANCIS AMASA WALKER","WALKER MEMORIAL",01-JAN-16,,01-SEP-17,01-JAN-15,200
"51-201506","201506","51","51","","","","Walter C Wood Sailing Pavilion",5889.33,4450.4,909.69,"MIT","MAIN GROUP",2,"2","SERVICE","OWNED","STAC","UGA3","21.30","1815100","1815100",42.358517055500002,-71.087730350800001,767594.41677799902,2955942.02996,"51","WALTER C. WOOD","WOOD SAILING PAVILION",31-DEC-36,,31-DEC-37,01-JAN-15,24
"54-201506","201506","54","54","","","","Cecil And Ida Green Building",129397.16,69172.03,43587.86,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","275.00","1815400","1815400",42.360323853600001,-71.089326129599897,767159.94479500002,2956598.38283,"54","CECIL HOWARD & IDA FLANSBURGH GREEN","GREEN BUILDING",01-JAN-62,,01-JUL-64,01-JAN-15,571
"56-201506","201506","56","56","","","","Uncas A Whitaker Building",143681.84,78129.65,50261.23,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","118.80","1815600","1815600",42.360699525199898,-71.089862504600006,767014.32081099902,2956734.58778999,"56","UNCAS A. & HELEN F. WHITAKER","WHITAKER BUILDING",01-SEP-63,,01-APR-65,01-JAN-15,462
"57-201506","201506","57","57","","","","MIT Alumni Pool",39121.04,22725.98,10516.52,"MIT","MAIN GROUP",2,"2","SERVICE","OWNED","STAC","UGA3","41.10","1815700","1815700",42.3611422938,-71.090140009199899,766938.54517199902,2956895.58099999,"57","","MIT ALUMNI POOL",01-JUL-39,,01-MAY-40,01-JAN-15,52
"62-201506","201506","62","62","","","","Alumni Houses: Munroe Hayden Wood",77154,50572.78,18936.55,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","UGR2","51.50","1346200","1346200",42.3602292035999,-71.088682904600006,767333.95523299905,2956564.7278900002,"62","JAMES P. MUNROE, HENRY R. HAYDEN, KENNETH F. WOOD","ALUMNI HOUSES: MUNROE HAYDEN WOOD",01-MAR-30,,01-SEP-31,01-JAN-15,0
"64-201506","201506","64","64","","","","Alumni Houses: Walcott Bemis Goodale",73432.63,48459.39,17436.67,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","UGR2","52.30","","",42.360404624799898,-71.088141156600003,767480.06446000002,2956629.36143,"64","ALBERT F. BEMIS, WILLIAM W. WALCOTT, CHARLES WARREN GOODALE","EAST CAMPUS: WALCOTT BEMIS GOODALE",01-SEP-23,,01-APR-24,01-JAN-15,0
"66-201506","201506","66","66","","","","Ralph Landau Building",133773.17,71007.41,47767.86,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","74.30","1816600","1816600",42.360920155499898,-71.089029250099898,767239.13493399904,2956816.0739500001,"66","RALPH LANDAU","LANDAU BUILDING",01-AUG-73,,31-DEC-76,01-JAN-15,328
"68-201506","201506","68","68","","","","David H. Koch Biology Building",260374,155877.11,80655.18,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","104.80","1816800","1816800",42.361621667199898,-71.088638563999893,767343.49146299902,2957072.2273900001,"68","","KOCH BIOLOGY BUILDING",01-APR-91,,07-OCT-94,01-JAN-15,975
"6B-201506","201506","6B","6B","","","","Solvent Storage",1680.39,643.66,874.79,"MIT","MAIN GROUP",0,"0","SERVICE","OWNED","AER","UGHH","11.70","1810600","1810600",42.359410918400002,-71.090674839599899,766797.02685999905,2956263.9386900002,"06B","","SOLVENT STORAGE",31-DEC-20,,31-DEC-21,01-JAN-15,4
"6C-201506","201506","6C","6C","","","","PDSI",51146.78,16126.28,27824.36,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGE","92.00","1810600","1810600",42.359672940800003,-71.090836171800007,766752.96512900002,2956359.21569,"06C","","BUILDING 6C",01-MAY-07,,01-MAY-07,01-JAN-15,117
"76-201506","201506","76","76","","","","David H. Koch Institute For Integrative Cancer Research",367688.6,200729.84,124585.07,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","0.00","1810700","1810700",42.3622958196,-71.0892756273999,767170.13363099901,2957317.0729999901,"76","","D H KOCH IN FICR",,,,01-JAN-15,923
"7A-201506","201506","7A","7A","","","","Rotch Library Extension",18501.98,14974.7,2388.47,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGA3","77.00","1810700","1810700",42.359495924599898,-71.093193667899897,766116.108029,2956291.6597199901,"07A","","ROTCH LIBRARY EXTENSION",31-DEC-89,,11-JUL-90,01-JAN-15,75
"E1-201506","201506","E1","E1","","","","Gray House (Formerly President's House)",18642.53,11190.61,4967.95,"MIT","EAST",1,"1","RESIDENT","OWNED","AER","UGR4","52.00","1820100","1820100",42.3596024954999,-71.086964293400001,767799.54882200004,2956338.5876600002,"E01","","GRAY HOUSE",01-JUL-13,,01-JUL-17,01-JAN-15,139
"E2-201506","201506","E2","E2","","","","Senior House",64670.53,36222.25,18156.46,"MIT","EAST",2,"2","RESIDENT","OWNED","DHOA","UGR2","63.70","1346000","1346000",42.359955651999897,-71.086867012599896,767825.21787099901,2956467.41243,"E02","WARE, ATKINSON,RUNKLE,CRAFTS,NICHOLS,HOLMAN","SENIOR HOUSE",01-JUL-13,,01-JUL-16,01-JAN-15,314
"N4-201506","201506","N4","N4","","","","Albany Street Parking Garage",143032.14,129868.34,5780.48,"MIT","NORTH",2,"2","SERVICE","OWNED","GAR","UGS2","56.30","1850400","1850400",42.362034286799897,-71.092780364700005,766223.39594700001,2957217.2235699901,"N04","","ALBANY GARAGE",31-DEC-66,,01-OCT-66,01-JAN-15,36
"N9-201506","201506","N9","N9","","","","Superconducting Generator Test Facility",5957.13,5352.27,153.75,"MIT","NORTH",1,"1","ACADEMIC","OWNED","AER","UGB","32.70","1850900","1850900",42.360953206300003,-71.095193773700004,765573.01373000001,2956820.1508900002,"N09","","SUPERCONDUCTING TEST FACILITY",,,31-DEC-78,01-JAN-15,14
"W1-201506","201506","W1","W1","","","","Fariborz Maseeh Hall",189693.16,107518.76,43357.57,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","74.50","1345000","1345000",42.357617631099899,-71.093510699800007,766033.68489899905,2955606.7632300002,"W01","AVERY ALLEN ASHDOWN","FARIBORZ MASEEH HALL",31-DEC-00,31-DEC-37,31-DEC-39,01-JAN-15,555
"W2-201506","201506","W2","W2","","","","Building W2",9599.32,5252.17,2749.42,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGBR1","37.10","","",42.357256310799897,-71.093840904399897,765945.06404600001,2955474.6658000001,"W02","","BUILDING W2",31-DEC-00,01-JUL-63,31-DEC-67,01-JAN-15,64
"W4-201506","201506","W4","W4","","","","Stanley McCormick Hall",128989.56,66792.4,43493.47,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","89.20","1346800","1346800",42.357183004200003,-71.094423015199894,765787.85673300002,2955447.2028800002,"W04","STANLEY MCCORMICK","MCCORMICK HALL",01-MAR-62,,01-SEP-63,01-JAN-15,562
"W5-201506","201506","W5","W5","","","","Ida Flansburgh Green Hall",19010.96,9843.29,5586.45,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","53.20","1345500","1345500",42.356918931899898,-71.095101036399896,765605.05647299904,2955350.0988500002,"W05","IDA FLANSBURGH GREEN","GREEN HALL",31-DEC-01,01-JUL-63,31-DEC-70,01-JAN-15,110
"W7-201506","201506","W7","W7","","","","Everett Moore Baker House",133099.42,77423.81,41632.04,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","76.40","1345300","1345300",42.356697834999899,-71.0957921822,765418.63264600001,2955268.6408000002,"W07","EVERETT MOORE BAKER","BAKER HOUSE",01-OCT-47,,31-DEC-49,01-JAN-15,497
