"FIELD_ID","FIELD_NAME","DEFINITION","FIELD_LENGTH","DATA_TYPE"
494,"VEHICLE_SIZE","The size of the vehicle: mid, full, compact.",8,"VARCHAR2"
495,"STICKER_NUMBER","The number associated with each individual MIT parking sticker.",8,"VARCHAR2"
14,"PROJECT_ID","Project ID, may or may not be the same as the Project WBS ID (will be different if there is a hierarchy).",7,"VARCHAR2"
9,"PROJECT_WBS_ID","Project work breakdown structure element identifier.",7,"VARCHAR2"
15,"PROJECT_DESCRIPTION","project description",40,"VARCHAR2"
16,"ORGANIZATION_ID","The department, for example, Accounting.",6,"VARCHAR2"
17,"ORGANIZATION_NAME","The name of the MIT Department or Unit to which the project is assigned, usually the home unit or the Principal Investigator or Co-Investigator.",40,"VARCHAR2"
19,"RESPONSIBLE PERSON_MIT_ID","The nine digit MIT identification number of the person responsible.",9,"VARCHAR2"
20,"PROFIT_CENTER_ID","A unique key that identifies the profit center.",7,"VARCHAR2"
21,"PROFIT_CENTER_NAME","The text name of the profit center.",40,"VARCHAR2"
22,"PROJECT_WBS_BEGIN_DATE","The date the project begins.",8,"DATE"
23,"PROJECT_WBS_END_DATE","The date the project ends.",8,"DATE"
24,"IS_CLOSED_PROJECT_WBS","Y= this PROJECT_WBS is closed.
N= this PROJECT_WBS is open.",1,"VARCHAR2"
25,"PROJECT_WBS_COUNTER","Used to count records withing a group on a report.  Always contains a value of 1.",1,"NUMBER"
26,"AUTHORIZED_TOTAL_AMOUNT","The amount authorized to be expended for a cost collector,  usually by a WBS project sponsor.",9,"NUMBER"
27,"CUSTOMER_NUMBER","Identifies the customer.",10,"VARCHAR2"
28,"CUSTOMER_DESCRIPTION","The name of the customer.",30,"VARCHAR2"
29,"GOVERNMENT_CONTRACT_NUMBER","The sponsor- assigned identification number for a federal reserach project.  This field is also used for non-federal sponsors.",24,"VARCHAR2"
32,"DFAFS","On all DHHS grants, contracts and fellowships, this DFAFS number is needed by CAO to comply with quarterly financial reporting requirements.",13,"VARCHAR2"
34,"SPONSOR_DESCRIPTION","xxxxx",30,"VARCHAR2"
36,"PROJECT_WBS_TYPE","Identifies the type of project, for example: F,O, R.",1,"VARCHAR2"
38,"POOL_UNIT","The number of pool units; supplied by the Treasurer's Office.",10,"VARCHAR2"
39,"PROJECT_WBS_CREATE_DATE","The date the sales document was created.",8,"DATE"
40,"PROJECT_WBS_CREATE_USER_ID","The name of the user who created the sales document. ",12,"VARCHAR2"
41,"WAREHOUSE_LOAD_DATE","The date the record was loaded into the Data Warehouse from the source system.",8,"DATE"
56,"COST_CENTER_ID","Identifies the Cost Center.  The Cost Center identifies the locations where the costs occur.",7,"VARCHAR2"
57,"COST_CENTER_NAME","Cost Center description.",40,"VARCHAR2"
58,"IS_CLOSED_COST_CENTER","Y= the cost center is closed.",1,"VARCHAR2"
59,"COST_CENTER_COUNTER","Used to count records within a group on a report.  Always contains a value of 1.",1,"NUMBER"
60,"COST_CENTER_CREATE_DATE","The date the record was created.",8,"DATE"
61,"COST_CENTER_CREATE_USER_ID","The User ID of the person who created the Cost Center.",12,"VARCHAR2"
62,"DATE_VALID_FROM","The date an entry is valid.",8,"DATE"
63,"DATE_VALID_TO","The entry is valid until a specific date.",8,"DATE"
77,"INTERNAL_ORDER_KEY","Key used to join the Internal Order to the financial transaction, and to get the master data that were current at the time of the transaction.  This field should only be used for joining data, NOT for reporting.",12,"VARCHAR2"
79,"FISCAL_PERIOD","The fiscal year and month.  For example: 199709 = March 1997.",6,"VARCHAR2"
81,"DOCUMENT_DATE","The date entered by the user when creating the document.  Generally the date the financial transaction occurred, but see also the definition for document line date.",8,"DATE"
83,"DEBIT_CREDIT_INDICATOR","A one-character flag that identifies whether the line item is a debit or credit.  Values are D or C.",1,"VARCHAR2"
84,"ACTUAL_COMMITMENT_INDICATOR","Identifies whether the line items are actual or committed values: A or C.",1,"VARCHAR2"
85,"ACTUAL_AMOUNT","The paid dollar amount of the line item.",11,"NUMBER"
86,"COMMITMENT_AMOUNT","The dollars committed (set aside) but not yet paid for the line item.",11,"NUMBER"
87,"REFERENCE_TEXT","The document header text associated with a journal document.  Not always completed by the JV document creator.",25,"VARCHAR2"
90,"VENDOR_NUMBER","10 digit number identifing the vendor.",10,"VARCHAR2"
91,"DOCUMENT_TYPE","XXX",2,"VARCHAR2"
92,"TRANSACTION_CODE","The code assigned to each transaction by SAP. It may be more meaningful to use the document type.",4,"VARCHAR2"
93,"DOCUMENT_ENTRY_DATE","The date the document was entered into SAP.",8,"DATE"
94,"DOCUMENT_LAST_CHANGE_DATE","he date the document was last modified in SAP.",8,"DATE"
95,"CLEARING_DATE","Date this transaction cleared.",8,"DATE"
96,"CLEARING_ENTRY_DATE","The date the clearing transaction was entered into SAP.",8,"DATE"
97,"LAST_DUNNED_DATE","This field does not currenly contain up-to-date information and should not be used in reports until further notice",8,"DATE"
98,"WBS_INTERNAL_NUMBER","XXX",8,"VARCHAR2"
99,"WBS_EXTERNAL_NUMBER","XX",8,"VARCHAR2"
100,"DOCUMENT_NUMBER","The number in SAP that uniquely identifies a detailed transaction document.",10,"VARCHAR2"
101,"DOCUMENT_LINE_ITEM","Document Line Item Number.",3,"NUMBER"
102,"DOCUMENT_STATUS","XXX",1,"VARCHAR2"
103,"DOCUMENT_CURRENCY","Tells what currency is used to pay for the line item values: USD=US Dollars.",5,"VARCHAR2"
104,"REFERENCE_DOCUMENT_NUMBER","For FINANCIAL_DETAIL:  The reference number of the associated financial document.  A value of %N means that there is no backup for the journal voucher.  For COMMITMENT tables, the document number from which the commitment was generated.",16,"VARCHAR2"
105,"CLEARING_DOCUMENT_NUMBER","The document number associated with this transaction and its clearing date.",10,"VARCHAR2"
106,"REVERSE_DOCUMENT_NUMBER","The document number associated withreversing this transaction.",10,"VARCHAR2"
107,"REVERSE_DOCUMENT_YEAR","The year of the reversed transaction.",4,"VARCHAR2"
109,"ALLOCATION_NUMBER","Allocation number for special G/L accounts.  Only customer and vendor line items for which a special G/L indicator has been entered are affected.",18,"VARCHAR2"
111,"ALTERNATIVE_ACCOUNT_NUMBER","A ten digit number, the last three digits of which correspond to the MIT classic system's ""object code"", now replaced by SAP G/L accounts.",10,"VARCHAR2"
112,"FUNDS_CENTER","Source of revenue.",16,"VARCHAR2"
113,"FUND","XXX",10,"VARCHAR2"
114,"PURCHASE_ORDER_NUMBER","Identifies the purchase order. In SAP this is the Document Number for a Purchasing Document.",10,"VARCHAR2"
116,"BLOCKED_PAYMENT_INDICATOR","XXX",1,"VARCHAR2"
117,"MANUAL_BLOCKING_REASON","XXX",1,"VARCHAR2"
118,"TRANSACTION_COUNTER","Used to count records within a group on a report.  Always contains a value of 1.",1,"NUMBER"
121,"INTERNAL_ORDER_ID","Identifies the internal order.",7,"VARCHAR2"
122,"INTERNAL_ORDER_NAME","The text associated with the internal order.",40,"VARCHAR2"
126,"RESPONSIBLE_PERSON_MIT_ID","The nine digit MIT identification number of the person responsible for this cost object.",9,"VARCHAR2"
127,"RESPONSIBLE_PERSON_NAME","The name of the person responsible.",40,"VARCHAR2"
132,"ALLOCATION_GROUP_CODE","Allocation group or category code (Values, such as 00, 01, 06.)",2,"VARCHAR2"
133,"ALLOCATION_GROUP_DESCRIPTION","The type of allocation group: Balance sheet, Monthly settlement.",30,"VARCHAR2"
134,"SETTLEMENT_COST_ELEMENT","XXX",6,"VARCHAR2"
135,"SETTLEMENT_GL_ACCOUNT","GL Account associated with an annual or monthly settlement.",6,"VARCHAR2"
136,"INTERNAL_ORDER_COUNTER","Used to count records within a group on a report.  Always contains a value of 1.",1,"NUMBER"
138,"COSTING_SHEET_PROCEDURE","Code designating the Costing Sheet associated with this Cost Collector.",6,"VARCHAR2"
498,"VIOLATION_TYPE","The type of violation: no permit for this area, driving to endanger, etc.",50,"VARCHAR2"
499,"VIOLATION_AMOUNT","The dollar amount of the violation (ticket).",5,"NUMBER"
501,"PARKING_AREA","The location of the parking violation: Ford Lot, 100 Vassar Street, Albany Garage, etc.",25,"VARCHAR2"
502,"DATE_ISSUED","The date the parking violation (ticket) was issued.",8,"DATE"
503,"TIME_ISSUED","The time the parking violation was issued.",5,"VARCHAR2"
504,"STICKER_ NUMBER","The number associated with each individual MIT parking sticker.",8,"VARCHAR2"
505,"OFFICER_BADGE_NUMBER","The three-digit Campus Police Officer identification number.",3,"VARCHAR2"
509,"UNIT_ID","The Institute-assigned identification number of a department, school, center, or lab.",6,"VARCHAR2"
510,"KEY_NUMBER","The key identification number.",11,"VARCHAR2"
511,"QUANTITY","The number of a particular key allocated to a person.",38,"NUMBER"
446,"PERCENT_EFFORT","Percentage of work effort.  Examples: For faculty, academic and administrative staff, 100% represents full time effort.  For Support and Service staff, 100% represents a 35, 37.5, or 40 hour work week.",4,"NUMBER"
469,"JOB_CHANGE_TYPE","The type of change to a person's appointment.  Examples : hires, salary increases, department transfers, leaves and terminations.",20,"VARCHAR2"
464,"IS_SPONSORED_RESEARCH_STAFF","The indicator that the person is a member of the research staff (YES, NO).",5,"VARCHAR2"
467,"IS_OTHER_ACADEMIC_GROUP","The indicator that the person is a member of the Other Academic group of employees (YES, NO).",5,"VARCHAR2"
462,"IS_FACULTY","The indicator that the person is a member of the faculty (YES, NO).",5,"VARCHAR2"
468,"IS_MEDICAL_STAFF","The indicator that the person is a member of the medical staff (YES, NO).",5,"VARCHAR2"
461,"IS_ADMINISTRATIVE_STAFF","The indicator that the person is a member of the administrative staff (YES, NO).",5,"VARCHAR2"
458,"FTE_SALARY","A full time salary equivalent for a part time appointment:  fte salary=(actual annual salary/actual percent work effort) x full time work effort.  Example: A person's actual annual salary is $25,000 with a percentage of work effort of 80%. This person's fte salary would be $31,250.",8,"NUMBER"
460,"DOL_JOB_GROUP","Department of Labor job group classification.  Because this field defines groups of jobs, head count reports can vary depending on Institute or DOL job group.",30,"VARCHAR2"
130,"ORDER_TYPE_CODE","The type of order.  For example: values are 0010-0300.",4,"VARCHAR2"
131,"ORDER_TYPE_DESCRIPTION","The long description of order type.  For example: Accts Receivable, Clearing, Contracts in Process, Inventory, Liabilities, etc.",30,"VARCHAR2"
80,"PROFIT_CENTER_KEY","Key used to join the Profit Center to the financial transaction, and to get the master data that were current at the time of the transaction.  This field should only be used for joining data, NOT for reporting.",11,"VARCHAR2"
115,"PURCHASE_ORDER_ITEM","Number identifying a line item associated with a purchase order.",5,"NUMBER"
18,"RESPONSIBLE_PERSON_SAP","The person responsible for this cost object.",30,"VARCHAR2"
173,"GL_ACCOUNT_TYPE_DESCRIPTION","Text describing the account type.  For example: Asset accounts-Fixed, Asset account-Liquid, Expenses-Primary Cost Element, Fund Accounts, Liabilities, Revenue Accounts, Settlement Accounts.",30,"VARCHAR2"
155,"IS_ORDER_MARKED_FOR_DELETION","""Y"" indicates that the order is marked for deletion.  ""N"" indicates that the order is not marked for deletion.",1,"VARCHAR2"
175,"IS_PROFIT_AND_LOSS_ACCOUNT","Y= this is a profit and loss account.
N= this is not a profit and loss account.",1,"VARCHAR2"
30,"ADDRESSEE","The last and first name of the addressee: normally, the Administrative Officer, Financial Officer, or other departmental administrator responsible for monitoring expenses.",30,"VARCHAR2"
31,"FUNDING_CLASS","For OSP accounts (20000-49999), fund class 616 is used.  For fund accounts (20000-49999), 644 is used for fellowship accounts; otherwise 616 is usually used.",3,"VARCHAR2"
37,"POOL_CODE","Indicates which investment pool the funds should placed in.",1,"VARCHAR2"
35,"PRIMARY_SPONSOR_DESCR","Sponsor code.  OSP accounts are coded.  Fund accounts are coded if there are restrictions in the award that make accounting system controls desirable.  Contracts or grants from federal government and other restrictive sponsors are coded.",30,"VARCHAR2"
33,"SPONSOR_CODE","Sponsor code.  OSP accounts are coded.  Fund accounts are coded if there are restrictions in the award that make accounting system controls desirable.  Contracts or grants from federal government and other restrictive sponsors are coded.",6,"VARCHAR2"
55,"COST_CENTER_KEY","Key used to join the Cost Center to the financial transaction, and to get the master data that were current at the time of the transaction.  This field should only be used for joining data, NOT for reporting.",12,"VARCHAR2"
183,"GL_ACCOUNT_CREATE_DATE","The date the account was created.",8,"DATE"
74,"COST_COLLECTOR_KEY","Key used to join the Cost Collector to the financial transaction, and to get the master data that were current at the time of the transaction.  This field should only be used for joining data, NOT for reporting.",12,"VARCHAR2"
75,"GL_ACCOUNT_KEY","Key used to join the GL_ACCOUNT to the financial transaction, and to get the master data that were current at the time of the transaction.  This field should only be used for joining data, NOT for reporting.",10,"VARCHAR2"
8,"PROJECT_KEY","Key used to join the Project to the financial transaction, and to get the master data that were current at the time of the transaction.  This field should only be used for joining data, NOT for reporting.",12,"VARCHAR2"
527,"MASTER_PROJECT_NAME","Name (Project Title) of the top level (level 1) WBS Id in a WBS Hierarchy structure.  Select this field if a roll-up of the activity on an entire WBS Hierarchy is desired.   Colloquially known as the Parent in a Parent-Child hierarchy.",40,"VARCHAR2"
528,"MASTER_PROJECT_NUMBER","WBS Id of the top level WBS Id (level 1) in a WBS Hierarchy structure.   Select this field if a roll-up of the activity on an entire WBS Hierarchy is desired.  Colloquially known as the Parent in a Parent-Child hierarchy.",2,"VARCHAR2"
529,"PROJECT_WBS_NAME","Work breakdown structure name.",40,"VARCHAR2"
530,"COST_CENTER_EFFECTIVE_DATE","The beginning date of the cost center.",8,"DATE"
531,"COST_CENTER_EXPIRATION_DATE","The date when a cost collector is no longer in use.",8,"DATE"
532,"IS_OVERHEAD_COST_ELEMENT","Y= this is an IS overhead cost element.
N=this is not an IS overhead cost element.",1,"VARCHAR2"
541,"FUND_TYPE","Types of financial aid fund: Grant, Loan, Outside Scholarship, Parent Loan, Work; and applicable for Graduate Awards only: Stipend (STIP), Medical Insurance (INS), Tuition (TUIT), and Subsidy (SUBS).
INS=Medical Insurance portion",4,"VARCHAR2"
543,"TUITION_AMOUNT","The total tuition amount entered on MITSIS for this account number.",11,"NUMBER"
545,"INSURANCE_AMOUNT","The total insurance amount entered on MITSIS for this account number.",11,"NUMBER"
554,"PAYMENT_TYPE","Indicates the frequency of the payment.
M=Monthly
T=Once a term
Only applies to STIP components.",4,"VARCHAR2"
556,"PAID_AMOUNT","In the FINAID AWARD DETAIL Table, this field contains the total amount of the award paid to the student's bursary account.  In the GRADUATE AWARD TERM DETAIL Table, this field contains the total amount paid to the student for this account number.",11,"NUMBER"
557,"TUITION_PAID_AMOUNT","The total tuition amount paid to the student for this account number.",11,"NUMBER"
564,"GRAD_DEPT_2","The student's second, if any, graduate department of registration for the term.",6,"VARCHAR2"
566,"GRAD_COURSE_1","Identifies the primary graduate degree program or track the student is enrolled in for the term.  Examples: 1 M, 1 D, 1 CTP, 15 M ...",12,"VARCHAR2"
567,"GRAD_COURSE_2","Identifies the second, if any, graduate degree program the student is enrolled in for the term.  Examples: 1 D, 1 CTP, 15 M, ...",12,"VARCHAR2"
571,"GRAD_DEPT_OFC_3","This field is used for GRADUATE AWARDS.  It contains the code for the departmental office that has been connected to this student and course for this term.  All courses have one or more departmental offices associated with them.  For example: Course 6 1 has the departmental office 6U; 7 WD has the two offices connected: 7G and WHOI.  The departmental office code may not be applicable if this record is for a Course that is associated with only a degree and not with a Course of registration.  (This should not normally occur, but it may.)",4,"VARCHAR2"
577,"UGRAD_DEPT_OFC_1","This field is used for GRADUATE AWARDS.  It contains the student's primary undergraduate department office for the term.",6,"VARCHAR2"
578,"UGRAD_ULT_DEGREE_1","The primary ultimate undergraduate degree for which the student has enrolled in his/her home department. Values include: SB and NDG (No Degree) for Special Students.",3,"VARCHAR2"
579,"REGULAR_STUDENT_IND","A flag indicating the student is a Regular student, i.e., pursuing a degree at MIT this term.  This does NOT include non-resident thesis students (see Non-Resident Ind field).  Values include Y(es) and N(o).",1,"VARCHAR2"
580,"SPECIAL_STUDENT_IND","A flag indicating the student is a Special MIT student.  Values include Y(es) and N(o).",1,"VARCHAR2"
581,"NON_RESIDENT_IND","A flag indicating the student is a Non-Resident Thesis student.  Valid values are Y(es) and N(o).",1,"VARCHAR2"
582,"CROSS_REGISTERED_IND","A flag indicating the student is from another college and is cross-registered at MIT.  Values include Y(es) and N(o).",1,"VARCHAR2"
583,"NEWLY_ADMITTED_IND","A flag indicating the student was newly-admitted during this term.  Valid values are Y(es) or N(o).",1,"VARCHAR2"
584,"CONTINUING_IND","A flag indicating the student is continuing his/her enrollment from last (regular) term.  Values include Y and N.",1,"VARCHAR2"
585,"RETURNING_FORMER_IND","A flag indicating the student has attended MIT in the past and is returning to MIT this term.  Values include Y and N.  This flag is set to Y if the student was either a regular student with former attendance or was once a special or cross-registered student with previous attendance.",1,"VARCHAR2"
586,"ELIGIBLE_TO_REG","A flag indicating the student is eligible to register for the term.  Values include Y or N.
NOTE: this flag means that the student has basic eligibility to register from the Registrar's perspective, i.e., s/he has been admitted for this term, is returning from a leave of absence or is a continuing student and has not graduated and has NOT been forced to withdraw for disciplinary or academic reasons.
It does NOT MEAN that the student HAS NO HOLDS, financial, medical, or otherwise.",1,"VARCHAR2"
587,"REGISTERED","A flag indicating the student is curently registered in the term.  Values include Y or N.
NOTE: A student who left (withdrew or finished early due to early thesis) will have an N in this field because he/she is not CURRENTLY registered-even though he/she had been registered.
See ATTENDED for a better way to identify these kinds of students.",1,"VARCHAR2"
588,"ATTENDED","A flag indicating the student actually attended for any time during the current term.  Values are Y or N.
NOTE: This includes students who started the term and subsequently withdrew or completed their thesis early and are now gone.  Use this field instead of the REGISTERED flag if you want to include these types of students.",1,"VARCHAR2"
589,"WITHDRAWN_IND","A flag indicating the student withdrew at some point DURING THE TERM for which the award was granted.  Valid values are Y or N.",1,"VARCHAR2"
590,"CO_OP_IND","A flag indicating the student is registered as a Co-Op student during this term.  Values include Y or N.",1,"VARCHAR2"
591,"EARLY_THESIS_IND","A flag indicating the student finished his/her thesis before the term ended.  Values include Y or N.
Specific to GRADUATE AWARDS: Stipends cease once the student has completed his/her thesis, so this may prove helpful in resolving why Payroll's ""Stipend Paid Amounts"" may appear different for a particular student.
Tuition is pro-rated manually on MITSIS when a student leaves early.",1,"VARCHAR2"
592,"DID_NOT_ATTEND_IND","A flag indicating the student had at one point been expected to register, but either withdrew effective on Registration Day or merely never showed up.  Values include Y or N.",1,"VARCHAR2"
593,"REG_GROUP","Registration Group.  Values include:C=Continuing Registration or Non-resident Student,E=Entering Freshman (Reg),F=Registered Student with Former Attendance,N=New Regular Grad Student,O=New Special/Cross-Registered Student,P=Speciall/Cross-Registered, Previously Attended, R=New Regular Grad/Former MIT undegraduate,T=Entering Transfer Student (Reg).",1,"VARCHAR2"
594,"REG_TYPE","Registration type.  Values include:N=Regular Non-Resident Student, R=Regular Resident Student, S=Special Student, X=Cross Registered or Exchange Student.",1,"VARCHAR2"
595,"ENROLL_STATUS","The status of the student's registration for the term.  Values include: Eligible to register, Registered, Early Thesis,  Withdrew After 5th Week, etc.  In the STUDENT and STUDENT_TERM_ENROLLMENT  tables, only the codes (eg. EL, RE, ET, WR, WE) are shown.",2,"VARCHAR2"
596,"STUDENT_YEAR","The student's primary year of degree for the current term.  Values include 1,2,3,4 (for freshman through senior), G for Graduate, and U for  Special Undergraduate.
If the student is in the graduate school and also is still an undergraduate student, then this field should always contain a ""G"".  The undergraduate year is then stored in the Undergraduate Year (UG YEAR) field, if applicable.",1,"VARCHAR2"
597,"UG_YEAR","The student's undergraduate year.  Values include 1, 2, 3, 4 if the student is an undergraduate.  Otherwise it should be null.
Note: for undergraduates who are admitted directly to the graduate school, this field stays populated with ""4"" until s/he actually picks up his/her undergraduate degree.  Since the student can wait to pick up his/her undergraduate degree until s/he picks up his/her graduate degree, many students are still coded as undergraduates in this filed long past the time the student has probably completed all of his/her undergraduate requirements. ",1,"VARCHAR2"
598,"UNITS_OF_LOAD","Total of the subject units that the student is registered for this term.  Includes subjects registered for as a listener.",3,"NUMBER"
599,"LOAD_LEVEL_CODE","Code indicating the level of the load the student is taking this term.  Values include: 3Q=3 quarters time,FT=full time,HT=half time,LH=Less than half time. This field may be blank if student never attended this term.",2,"VARCHAR2"
600,"WITHDRAW_DATE","The date the student withdrew from school during the term.",8,"DATE"
568,"GRAD_COURSE_3","Identifies the third, if any, graduate degree program the student is enrolled in for the term. Examples: 1 D, 1 CTP, 15 M, ...",12,"VARCHAR2"
1373,"INDEXED","Identifies whether or not this field is a key or index.",1,"VARCHAR2"
1374,"SEQUENCE","Numerical value identifing the position of this data element within the table.",12,"NUMBER"
1376,"SPECIAL_GL_INDICATOR_CODE","XXX",1,"VARCHAR2"
1377,"FY_COMMITMENT_AMOUNT","The total of open commitments with Expected Debit Date falling in the given Fiscal Year.",13,"NUMBER"
1063,"JULY_AMOUNT","The actual dollar amount charged in this calendar month or fiscal period for the fiscal year(s) selected.",13.2,"NUMBER"
1079,"MARCH_AMOUNT","The actual dollar amount charged in this calendar month or fiscal period for the fiscal year(s) selected.",13.2,"NUMBER"
1071,"NOVEMBER_AMOUNT","The actual dollar amount charged in this calendar month or fiscal period for the fiscal year(s) selected.",13.2,"NUMBER"
1067,"SEPTEMBER_AMOUNT","The actual dollar amount charged in this calendar month or fiscal period for the fiscal year(s) selected.",13.2,"NUMBER"
1062,"CUMULATIVE_AMOUNT","The total actual dollar amount charged since the inception of the cost collector, G/L account or Profit Center.",13.2,"NUMBER"
1102,"VENDOR_KEY","Key identifying an entry in the VENDOR master table. This field should only be used for linking tables together, not for reporting.",11,"VARCHAR2"
1241,"SPONSOR_KEY","Key identifying an entry in the Sponsor master table. This field should only be used for linking tables together, not for reporting.",10,"VARCHAR2"
1242,"TOTAL_ORDER_VALUE","The total dollar amount for a Purchase Order. This field is informational only - it can be included on reports along with other PO header fields (e.g. PO Number, PO Date) but should not be summed on reports.",11,"NUMBER"
1233,"PURCHASE_ORDER_TYPE_KEY","Key identifying the type of Purchase Order. This key is used only for linking to the Purchase Order Type table, not for reporting.",5,"VARCHAR2"
1245,"PO_VALIDITY_END_DATE","The date on which a PO's valid period ends. This only applies to certain types of POs.",8,"DATE"
1262,"DISTRIBUTION_PERCENTAGE","The percentage of the line item value which has been assigned to a particular cost collector/GL account. The percentage values of the account distributions for a given PO line item will total 100.",5.1,"NUMBER"
1263,"DISTRIBUTION_QUANTITY","The unit quantity which is associated with a particular cost collector/GL account. The distribution quantities of the account distributions for a given PO line item will add up to the same value as the Item Quantity.",22,"NUMBER"
1253,"INVOICE_AMOUNT","The dollar amount associated with this transaction which has been invoiced. This value equates to the 'actual amounts' seen in the Financial Detail table.",22,"NUMBER"
1368,"LAST_LOAD_DATE","Calendar date identifying when the data was last loaded into the data Warehouse.",8,"DATE"
1234,"PURCHASE_ORDER_TYPE_NAME","Name describing the type/kind of purchase order.",20,"VARCHAR2"
1267,"INVOICE_UNIT_PRICE","The unit price on the invoiced line item",22,"NUMBER"
1272,"INVOICE_NO_GOODS_RECEIPT","This has been invoiced but the items invoiced have not been received.",1,"VARCHAR2"
1257,"INVOICE_DATE","Date the invoice was generated.",8,"DATE"
1268,"INVOICE_EXTENDED_PRICE","The dollar value of the invoiced line item (i.e. quantity x unit price).",22,"NUMBER"
1261,"PO_ITEM_EXTENDED_PRICE","The dollar value of the PO line item (i.e. quantity x unit price).",22,"NUMBER"
1269,"PO_NO_GOODS_RECEIPT","The Purchase Order has been generated but no goods have been received.",1,"VARCHAR2"
1270,"PO_NO_INVOICE","The Purchase Order has been generated, MIT has not been invoiced.",1,"VARCHAR2"
1145,"SPONSOR_TYPE","The type of sponsor (Example: Federal, Private - Pofit, Private - Non-Profit, State, etc..)",100,"VARCHAR2"
1274,"SPONSOR_TYPE_CODE","Numerical code identifing the type of sponsor (Example: 0 - Federal, 3 - Private-Pofit, 4 - Private-Non-Profit, 1 - State, etc?.)",2,"VARCHAR2"
1295,"VENDOR_NAME_1","First part of the vendor name. This could refer to a company, MIT employee, student, or affiliate.",35,"VARCHAR2"
1296,"VENDOR_NAME_2","Second part of the vendor name.",35,"VARCHAR2"
1298,"VENDOR_NAME_4","Fourth part of the vendor name.",35,"VARCHAR2"
1299,"VENDOR_ACCOUNT_GROUP_NAME","Account group to which the vendor belongs.",30,"VARCHAR2"
1258,"PURCHASE_ORDER_TYPE","Type of purchase order (example: Blanket Order, Change Requisiton, RFQ, Purchase Requisition, etc?)",12,"VARCHAR2"
1235,"PURCHASING_DOC_CATEGORY","Code identifying the category of a purchasing document (Example: A, B, F, K, L).",1,"VARCHAR2"
1236,"PURCHASING_DOC_CATEGORY_NAME","Long name for the purchasing document category (Example: RFQ,  Purchase Requisition, Purchase Order, Contract, Scheduling Agreement.)",30,"VARCHAR2"
1095,"COST_ELEMENT_DESCRIPTION","Text identifying what the Cost Element is (Example:  Revenue from Pledges, Interest Income, Return to Donor, Sale of Equipment, etc.?)",30,"VARCHAR2"
1098,"DOCUMENT_TYPE_DESCRIPTION","Text describing what the document is (Example: Alumni Credit Memo, Asset Posting, Customer Document, Accounting Document, etc.?)",20,"VARCHAR2"
1097,"DOCUMENT_TYPE_ID","2 characters which are used to identify the type of document (Example: A1 - Alumni Credit Memo, AA - Asset Posting, DA - Customer Document, AB - Accounting Document, etc.?)",3,"VARCHAR2"
1096,"DOCUMENT_TYPE_KEY","Key used to join the Document Type  to the financial transaction, and to get the master data that were current at the time of the transaction.  This field should only be used for joining data, NOT for reporting.",3,"VARCHAR2"
1186,"MIT_PHONE","The persons MIT telephone number.",20,"VARCHAR2"
1133,"TITLE","In the OSP AWARD, COST COLLECTOR, and PROJECT OSP tables, this is the Title of a Research Proposal.  In KRB_PERSON, TITLE is the position title of the person. In TIP_MATERIAL view it is a TITLE of the course material.",50,"VARCHAR2"
1187,"TITLE_DEGREE","The students year of degree (or current year), eg.: 1,2,3,4,G,U.",50,"VARCHAR2"
1100,"TIME_MONTH_KEY","Key used only for joining the TIME_MONTH table to other tables, NOT  for reporting.",6,"VARCHAR2"
1101,"CUSTOMER_KEY","This key is to be used to join the FINANCIAL_DETAIL and the PROJECT or PROJECT_OSP tables. This field should only be used for linking tables together, NOT for reporting.",11,"VARCHAR2"
1335,"COST_ELEMENT_CATEGORY","Text categorizing the Cost Element (Example: Assessment Cost Element, External Settlement, Overhead Rates, Primary Cost Element, Revenue Element).",50,"VARCHAR2"
1375,"POSTING_KEY_DESCRIPTION","Test describing the type of Posting Key (Example: Security Deposit, Payment Clearing, Pledge, Special G/L Debit, Interest Due, Credit Memo, etc?)",20,"VARCHAR2"
1109,"POSTING_KEY_CODE","2 digit code identifing the type of posting.  Example: 09 - Security Deposit, 08 - Payment Clearing, 09 - Pledge, 09 - Special G/L Debit, 09 - Interest Due, 11 - Credit Memo, 40 - Debit, 50 - Credit, etc.",2,"VARCHAR2"
1358,"TABLE_KEY","Key used to join the SUBJECTS, TABLES, and FIELDS tables together, not for reporting.",12,"NUMBER"
1361,"SUBJECT_NAME","Text name for the area of data.  (Example: Financial Detail Data, Graduate Award Data, Employee Data, etc?)",30,"VARCHAR2"
1367,"SENSITIVITY","Describes the level category of sentitivity of the data (Public, MIT Only, Sensitive, or Extremely Sensitive.",2000,"VARCHAR2"
1282,"TERM_DESCRIPTION","Long text associated with the TERM_CODE for STUDENT data (Example: Fall 1996, Spring 1997.)",30,"VARCHAR2"
1285,"CALENDAR_PERIOD_DESCRIPTION","Text associated with CALENDAR_PERIOD (Example: January 1996, October 1999).",30,"VARCHAR2"
1287,"CALENDAR_DATE","Month/Day/Year (Example: 06/30/1996).",8,"DATE"
1289,"CALENDAR_MONTH_NAME","Long text name of the month (Example: February, December.)",10,"VARCHAR2"
1307,"TAX_NUMBER_2","Secondary Tax identification number.",11,"VARCHAR2"
1391,"FUND_NAME","* In the FINANCIAL tables: this represents the name of the fund/source of revenue (Example: Publications). * In STUDENT FINANCIAL AID: this is the descriptive title of a financial aid fund/award.  Exampes: ""Federal Perkins Loan"" for PERKNL.",40,"VARCHAR2"
