"TERM_CODE","SUBJECT_ID","SESSION_NUMBER","MEET_PLACE","MEET_START_TIME","MEET_END_TIME","IAP_DAY","IAP_DATE","REMARKS","WAREHOUSE_LOAD_DATE"
"2021JA","",,"Zoom","0530PM","0630PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0630PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0530PM","0630PM","",07-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"","0100PM","0230PM","",11-JAN-21,"",28-OCT-24
"2021JA","",,"","0100PM","0230PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"","0100PM","0230PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"","0100PM","0230PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"","0100PM","0230PM","",22-JAN-21,"",28-OCT-24
"2021JA","",,"","0100PM","0230PM","",04-JAN-21,"",28-OCT-24
"2021JA","",,"","0100PM","0230PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"","0100PM","0230PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"","0100PM","0230PM","",06-JAN-21,"",28-OCT-24
"2021JA","",,"","0100PM","0230PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0200PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"virtual","0500PM","0600PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"Virtual","0100PM","0300PM","",25-JAN-21,"You will get Zoom details",28-OCT-24
"2021JA","",,"Virtual","0100PM","0300PM","",22-JAN-21,"You will get Zoom meeting details",28-OCT-24
"2021JA","",,"zoom","1100AM","1200PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"On Zoom","1000AM","1100AM","",12-JAN-21,"https://mit.zoom.us/j/98619864003",28-OCT-24
"2021JA","",,"On Zoom","1000AM","1100AM","",15-JAN-21,"https://mit.zoom.us/j/93903499812",28-OCT-24
"2021JA","",,"On Zoom","0100PM","0230PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Webinar","0100PM","0200PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"On Zoom","0200PM","0300PM","",27-JAN-21,"https://mit.zoom.us/j/94451592203",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"On Zoom","0200PM","0300PM","",,"link TBA",28-OCT-24
"2021JA","",,"On Zoom","0100PM","0200PM","",27-JAN-21,"link TBA",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",06-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",05-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",04-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",22-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",11-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0800AM","0800PM","",07-JAN-21,"",28-OCT-24
"2021JA","",,"Online","1200AM","1145PM","",16-JAN-21,"",28-OCT-24
"2021JA","",,"Online","1200AM","1145PM","",17-JAN-21,"",28-OCT-24
"2021JA","",,"Online","1200AM","1000AM","",18-JAN-21,"",28-OCT-24
"2021JA","",,"Online","1200PM","1145PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0200PM","",23-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0200PM","",30-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0200PM","",16-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0200PM","",09-JAN-21,"",28-OCT-24
"2021JA","",,"","0800AM","0850AM","",18-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0800AM","0850AM","",04-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0800AM","0850AM","",06-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0800AM","0850AM","",11-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0800AM","0850AM","",13-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0800AM","0850AM","",27-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0800AM","0850AM","",25-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0800AM","0850AM","",,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0800AM","0850AM","",20-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0100PM","0200PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"virtual via Zoom","0300PM","0415PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"On Zoom","0130PM","0230PM","",21-JAN-21,"https://mit.zoom.us/j/92110794217?pwd=Z05Xb2swc1R",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",30-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",26-JAN-21,"zoom link in series description",28-OCT-24
"2021JA","",,"via Zoom","0300PM","0430PM","",14-JAN-21,"zoom link in series description",28-OCT-24
"2021JA","",,"Zoom","0300PM","0430PM","",28-JAN-21,"zoom link in series description",28-OCT-24
"2021JA","",,"via Zoom","1200PM","0130PM","",20-JAN-21,"zoom link in series description",28-OCT-24
"2021JA","",,"Zoom","0300PM","0430PM","",21-JAN-21,"zoom link in series description",28-OCT-24
"2021JA","",,"Zoom","0700PM","0800PM","",22-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0400PM","0500PM","",09-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",23-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",09-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",30-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",16-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",22-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0500PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0200PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1200PM","0100PM","",19-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"On line","0900AM","1200AM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"On line","0900AM","1200AM","",,"",28-OCT-24
"2021JA","",,"On line","0900AM","1200AM","",,"",28-OCT-24
"2021JA","",,"On line","0900AM","1200AM","",,"",28-OCT-24
"2021JA","",,"On line","0900AM","1200AM","",,"",28-OCT-24
"2021JA","",,"On-Line","0900AM","1200PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"On Line","0900AM","1200PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"On Line","0900AM","1200PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"On Line","0900AM","1200PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0300PM","0430PM","",28-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","0300PM","0400PM","",14-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"via Zoom","0300PM","0400PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0500PM","0630PM","",07-JAN-21,"Zoom lin will be sent prior to meeting",28-OCT-24
"2021JA","",,"via Zoom","0100PM","0200PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"via Zoom","0100PM","0200PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"via Zoom","0100PM","0200PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"via Zoom","0100PM","0200PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"zoom","0100PM","0300PM","",05-JAN-21,"",28-OCT-24
"2021JA","",,"zoom","0100PM","0230PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"zoom","0100PM","0230PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom Link","","","",04-FEB-21,"",28-OCT-24
"2021JA","",,"Zoom Link","","","",05-FEB-21,"",28-OCT-24
"2021JA","",,"Zoom Link","","","",01-FEB-21,"",28-OCT-24
"2021JA","",,"Zoom Link","","","",02-FEB-21,"",28-OCT-24
"2021JA","",,"Zoom Link","","","",03-FEB-21,"",28-OCT-24
"2021JA","",,"Zoom","1030AM","1145AM","",06-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1030AM","1145AM","",05-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1030AM","1145AM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1030AM","1145AM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1030AM","1145AM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1030AM","1145AM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1030AM","1145AM","",07-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1030AM","1145AM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1030AM","1145AM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0300PM","0400PM","",26-JAN-21,"Zoom link will be emailed to registered attendees",28-OCT-24
"2021JA","",,"Virtual","0600PM","0900PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0600PM","0900PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0600PM","0900PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0600PM","0900PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0600PM","0900PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0600PM","0900PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1200PM","0100PM","",13-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","0600PM","0730PM","",11-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","1200PM","1230PM","",28-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","0300PM","0400PM","",27-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","1200PM","1230PM","",29-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"virtual","1000AM","1200PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1000AM","1200PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1215PM","0130PM","",07-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0300PM","0430PM","",21-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","1200PM","0100PM","",15-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"virtual","0400PM","0500PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0100PM","0200PM","",12-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Online","0100PM","0300PM","",27-JAN-21,"Register here: https://forms.gle/oWnC62xjGLf244PH8",28-OCT-24
"2021JA","",,"Zoom","1215PM","0130PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0515PM","0630PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1215PM","0130PM","",07-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0100PM","0230PM","",13-JAN-21,"Register here: https://forms.gle/t2AFy7u2JRPnumxv5",28-OCT-24
"2021JA","",,"Online","0100PM","0230PM","",20-JAN-21,"Register here: https://forms.gle/t2AFy7u2JRPnumxv5",28-OCT-24
"2021JA","",,"zoom","0100PM","0300PM","",05-JAN-21,"",28-OCT-24
"2021JA","",,"zoom","0115PM","0230PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"zoom","0100PM","0230PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",22-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1200PM","0100PM","",21-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","0300PM","0430PM","",21-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Zoom","0200PM","0300PM","",06-JAN-21,"",28-OCT-24
"2021JA","",,"zoom","0200PM","0300PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0200PM","0300PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0200PM","0300PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"virtual/zoom","0200PM","0400PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"virtual/zoom","0200PM","0400PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0500PM","0630PM","",07-JAN-21,"Zoom lin will be sent prior to meeting",28-OCT-24
"2021JA","",,"Virtual","0100PM","0200PM","",27-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"virtual","0300PM","0400PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1000AM","1200PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1000AM","1100AM","",05-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1000AM","1100AM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1000AM","0100PM","",07-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1000AM","1100AM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1000AM","1100AM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0300PM","0400PM","",21-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","0300PM","0500PM","",22-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","0200PM","0300PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1200PM","0100PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1200PM","0100PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0300PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0200PM","",21-JAN-21,"Zoom link will be emailed to registered attendees",28-OCT-24
"2021JA","",,"Zoom","1100AM","0100PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0530PM","0730PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0530PM","0730PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0530PM","0730PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0530PM","0730PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0530PM","0730PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0530PM","0730PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0530PM","0730PM","",05-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0530PM","0730PM","",07-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1200PM","1230PM","",25-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Zoom","0230PM","0400PM","",29-JAN-21,"Zoom link will be emailed to registered attendees",28-OCT-24
"2021JA","",,"Virtual","0200PM","0300PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1200PM","0100PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1200PM","0100PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0300PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1000AM","1200PM","",06-JAN-21,"time may differ due to the time difference",28-OCT-24
"2021JA","",,"Zoom","1000AM","1200PM","",20-JAN-21,"time may differ due to the time difference",28-OCT-24
"2021JA","",,"Zoom","1000AM","1200PM","",13-JAN-21,"time may differ due to the time difference",28-OCT-24
"2021JA","",,"Zoom, email for link","1000AM","1200PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom, email for link","0100PM","0400PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"via Zoom","0300PM","0400PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"on zoom","0900AM","0700PM","",16-JAN-21,"details uopn registration",28-OCT-24
"2021JA","",,"Virtual","0300PM","0400PM","",14-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","0200PM","0300PM","",27-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Zoom Meeting","0200PM","0400PM","",18-JAN-21,"Zoom link will be emailed upon sign-up",28-OCT-24
"2021JA","",,"Zoom Meeting","0200PM","0400PM","",18-JAN-21,"Sign up: https://forms.gle/zgCxzL9FUFvjBQe57",28-OCT-24
"2021JA","",,"See Description","0100PM","0200PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"See Description","1100AM","1200PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Online","1100AM","1200PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"Online","1100AM","1200PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0530PM","0700PM","",26-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","0300PM","0400PM","",29-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Zoom Link TBA","0200PM","0315PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0330PM","",19-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","1200PM","1230PM","",26-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Virtual","1200PM","1230PM","",27-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"Zoom","0300PM","0430PM","",07-JAN-21,"Zoom link will be emailed to registered attendees",28-OCT-24
"2021JA","",,"Virtual","0200PM","0330PM","",19-JAN-21,"Register on Handshake for Meeting Info",28-OCT-24
"2021JA","",,"On Zoom","0400PM","0530PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"VIRTUAL","1215PM","1240PM","",13-JAN-21,"ZOOM LINK WILL BE SENT TO EACH PARTICIPANT",28-OCT-24
"2021JA","",,"Zoom","0700PM","0830PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0400PM","0700PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0330PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0330PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0330PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0330PM","",06-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","0200PM","0330PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",13-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",11-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",20-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",25-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",27-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",06-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","1000AM","1100AM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1000AM","1100AM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0200PM","0400PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",28-JAN-21,"https://mit.zoom.us/j/98742257482",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",19-JAN-21,"https://mit.zoom.us/j/96441116122",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",20-JAN-21,"https://mit.zoom.us/j/95045092849",28-OCT-24
"2021JA","",,"Zoom link provided","0100PM","0200PM","",13-JAN-21,"https://mit.zoom.us/j/91480466998",28-OCT-24
"2021JA","",,"Zoom link below","0100PM","0300PM","",11-JAN-21,"https://mit.zoom.us/j/92234171592",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",25-JAN-21,"https://mit.zoom.us/j/99151570038",28-OCT-24
"2021JA","",,"Zoom land","0500PM","0600PM","",14-JAN-21,"https://mit.zoom.us/j/94512488303",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0100PM","0200PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0300PM","0400PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"On Zoom","0100PM","0230PM","",19-JAN-21,"https://mit.zoom.us/j/92010980132",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",26-JAN-21,"zoom link in series description",28-OCT-24
"2021JA","",,"via Zoom","0300PM","0430PM","",14-JAN-21,"zoom link in series description",28-OCT-24
"2021JA","",,"Zoom","0300PM","0430PM","",21-JAN-21,"zoom link in series description",28-OCT-24
"2021JA","",,"Zoom","0300PM","0430PM","",28-JAN-21,"zoom link in series description",28-OCT-24
"2021JA","",,"via Zoom","0300AM","0430PM","",20-JAN-21,"zoom link in series description",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",19-JAN-21,"https://mit.zoom.us/j/96441116122",28-OCT-24
"2021JA","",,"Zoom link below","0100PM","0300PM","",11-JAN-21,"https://mit.zoom.us/j/92234171592",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",20-JAN-21,"https://mit.zoom.us/j/95045092849",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",25-JAN-21,"https://mit.zoom.us/j/99151570038",28-OCT-24
"2021JA","",,"Zoom link provided","0100PM","0200PM","",13-JAN-21,"https://mit.zoom.us/j/91480466998",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",04-FEB-21,"https://mit.zoom.us/j/98742257482",28-OCT-24
"2021JA","",,"via Zoom","0100PM","0200PM","",11-JAN-21,"",28-OCT-24
"2021JA","",,"via Zoom","0100PM","0200PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"via Zoom","0100PM","0200PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"","0200PM","0330PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom 575 905 8653","0130PM","0230PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"online via Airmeet","0300PM","0400PM","",27-JAN-21,"Sign-up via link in description to get event link",28-OCT-24
"2021JA","",,"On Zoom","1000AM","1100AM","",12-JAN-21,"https://mit.zoom.us/j/98619864003",28-OCT-24
"2021JA","",,"On Zoom","0100PM","0200PM","",27-JAN-21,"https://mit.zoom.us/j/93781544151",28-OCT-24
"2021JA","",,"Zoom","0400PM","0500PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0130PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"On Zoom","0200PM","0300PM","",27-JAN-21,"https://mit.zoom.us/j/94451592203",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"Zoom","0700PM","0830PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom land","0500PM","0600PM","",14-JAN-21,"https://mit.zoom.us/j/94512488303",28-OCT-24
"2021JA","",,"Zoom","0700PM","0800PM","",12-JAN-21,"Registration link below",28-OCT-24
"2021JA","",,"VIRTUAL","1230PM","0145PM","",26-JAN-21,"zoom link will be sent to each participant",28-OCT-24
"2021JA","",,"VIRTUAL","1230PM","0145PM","",12-JAN-21,"zoom link will be sent to each participant",28-OCT-24
"2021JA","",,"VIRTUAL","1230PM","0145PM","",19-JAN-21,"zoom link will be sent to each participant",28-OCT-24
"2021JA","",,"Zoom","0700PM","0800PM","",12-JAN-21,"https://mit.zoom.us/j/99323305761?pwd=N2ZMZkhvUWgx",28-OCT-24
"2021JA","",,"VIA ZOOM link","0100PM","0300PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"VIA ZOOM link","0100PM","0300PM","",22-JAN-21,"",28-OCT-24
"2021JA","",,"VIA ZOOM link","0100PM","0300PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"VIA ZOOM link","0100PM","0300PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"virtual","0200PM","0400PM","",29-JAN-21,"",28-OCT-24
"2021JA","",,"remote","0200PM","0400PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"remote","0200PM","0400PM","",22-JAN-21,"",28-OCT-24
"2021JA","",,"remote","0200PM","0400PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"remote","0200PM","0400PM","",11-JAN-21,"",28-OCT-24
"2021JA","",,"remote","0200PM","0400PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"remote","0200PM","0400PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom: 97484936801","1000AM","1200PM","",08-JAN-21,"pswd: 074860",28-OCT-24
"2021JA","",,"Virtual","0200PM","0315PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",11-JAN-21,"Live session 11-12 + asynchronous sessions .",28-OCT-24
