"FCLT_MAJOR_USE_HIST_KEY","FISCAL_PERIOD","FCLT_MAJOR_USE_KEY","MAJOR_USE","DESCRIPTION","ASSIGNABLE","WAREHOUSE_LOAD_DATE"
"109-201710","201710","109","RESIDENT","RESIDENTIAL","1",01-MAY-17
"110-201710","201710","110","SPECIAL","SPECIAL USE","1",01-MAY-17
"111-201710","201710","111","STUDY","STUDY","1",01-MAY-17
"112-201710","201710","112","SUPPORT","SUPPORT","1",01-MAY-17
"113-201710","201710","113","UNCLASS","UNCLASSIFIED","1",01-MAY-17
"114-201710","201710","114","ZUSE","ZUSE ICR ONLY","1",01-MAY-17
"102-201803","201803","102","CIRCULAT","CIRCULATION AREA","0",01-OCT-17
"103-201803","201803","103","CLASSRMS","CLASSROOMS","1",01-OCT-17
"104-201803","201803","104","GENERAL","GENERAL USE","1",01-OCT-17
"105-201803","201803","105","HEALTH","HEALTH CARE","1",01-OCT-17
"106-201803","201803","106","LABS","LABORATORIES","1",01-OCT-17
"107-201803","201803","107","MECHANIC","MECHANICAL AREA","0",01-OCT-17
"108-201803","201803","108","OFFICES","OFFICES","1",01-OCT-17
"109-201803","201803","109","RESIDENT","RESIDENTIAL","1",01-OCT-17
"110-201803","201803","110","SPECIAL","SPECIAL USE","1",01-OCT-17
"111-201803","201803","111","STUDY","STUDY","1",01-OCT-17
"112-201803","201803","112","SUPPORT","SUPPORT","1",01-OCT-17
"113-201803","201803","113","UNCLASS","UNCLASSIFIED","1",01-OCT-17
"114-201803","201803","114","ZUSE","ZUSE ICR ONLY","1",01-OCT-17
"101-201804","201804","101","BLDG SRV","BLDG SERVICE AREA","0",01-NOV-17
"102-201804","201804","102","CIRCULAT","CIRCULATION AREA","0",01-NOV-17
"101-201602","201602","101","BLDG SRV","BLDG SERVICE AREA","0",01-SEP-15
"102-201602","201602","102","CIRCULAT","CIRCULATION AREA","0",01-SEP-15
"103-201602","201602","103","CLASSRMS","CLASSROOMS","1",01-SEP-15
"104-201602","201602","104","GENERAL","GENERAL USE","1",01-SEP-15
"105-201602","201602","105","HEALTH","HEALTH CARE","1",01-SEP-15
"106-201602","201602","106","LABS","LABORATORIES","1",01-SEP-15
"107-201602","201602","107","MECHANIC","MECHANICAL AREA","0",01-SEP-15
"108-201602","201602","108","OFFICES","OFFICES","1",01-SEP-15
"109-201602","201602","109","RESIDENT","RESIDENTIAL","1",01-SEP-15
"110-201602","201602","110","SPECIAL","SPECIAL USE","1",01-SEP-15
"111-201602","201602","111","STUDY","STUDY","1",01-SEP-15
"112-201602","201602","112","SUPPORT","SUPPORT","1",01-SEP-15
"113-201602","201602","113","UNCLASS","UNCLASSIFIED","1",01-SEP-15
"114-201602","201602","114","ZUSE","ZUSE ICR ONLY","1",01-SEP-15
"101-201603","201603","101","BLDG SRV","BLDG SERVICE AREA","0",01-OCT-15
"102-201603","201603","102","CIRCULAT","CIRCULATION AREA","0",01-OCT-15
"103-201603","201603","103","CLASSRMS","CLASSROOMS","1",01-OCT-15
"104-201603","201603","104","GENERAL","GENERAL USE","1",01-OCT-15
"105-201603","201603","105","HEALTH","HEALTH CARE","1",01-OCT-15
"106-201603","201603","106","LABS","LABORATORIES","1",01-OCT-15
"107-201603","201603","107","MECHANIC","MECHANICAL AREA","0",01-OCT-15
"108-201603","201603","108","OFFICES","OFFICES","1",01-OCT-15
"109-201603","201603","109","RESIDENT","RESIDENTIAL","1",01-OCT-15
"110-201603","201603","110","SPECIAL","SPECIAL USE","1",01-OCT-15
"111-201603","201603","111","STUDY","STUDY","1",01-OCT-15
"112-201603","201603","112","SUPPORT","SUPPORT","1",01-OCT-15
"113-201603","201603","113","UNCLASS","UNCLASSIFIED","1",01-OCT-15
"114-201603","201603","114","ZUSE","ZUSE ICR ONLY","1",01-OCT-15
"101-201607","201607","101","BLDG SRV","BLDG SERVICE AREA","0",01-FEB-16
"102-201607","201607","102","CIRCULAT","CIRCULATION AREA","0",01-FEB-16
"103-201607","201607","103","CLASSRMS","CLASSROOMS","1",01-FEB-16
"104-201607","201607","104","GENERAL","GENERAL USE","1",01-FEB-16
"105-201607","201607","105","HEALTH","HEALTH CARE","1",01-FEB-16
"106-201607","201607","106","LABS","LABORATORIES","1",01-FEB-16
"107-201607","201607","107","MECHANIC","MECHANICAL AREA","0",01-FEB-16
"108-201607","201607","108","OFFICES","OFFICES","1",01-FEB-16
"109-201607","201607","109","RESIDENT","RESIDENTIAL","1",01-FEB-16
"110-201607","201607","110","SPECIAL","SPECIAL USE","1",01-FEB-16
"111-201607","201607","111","STUDY","STUDY","1",01-FEB-16
"112-201607","201607","112","SUPPORT","SUPPORT","1",01-FEB-16
"113-201607","201607","113","UNCLASS","UNCLASSIFIED","1",01-FEB-16
"114-201607","201607","114","ZUSE","ZUSE ICR ONLY","1",01-FEB-16
"101-201608","201608","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAR-16
"102-201608","201608","102","CIRCULAT","CIRCULATION AREA","0",01-MAR-16
"103-201608","201608","103","CLASSRMS","CLASSROOMS","1",01-MAR-16
"104-201608","201608","104","GENERAL","GENERAL USE","1",01-MAR-16
"105-201608","201608","105","HEALTH","HEALTH CARE","1",01-MAR-16
"106-201608","201608","106","LABS","LABORATORIES","1",01-MAR-16
"107-201608","201608","107","MECHANIC","MECHANICAL AREA","0",01-MAR-16
"108-201608","201608","108","OFFICES","OFFICES","1",01-MAR-16
"109-201608","201608","109","RESIDENT","RESIDENTIAL","1",01-MAR-16
"110-201608","201608","110","SPECIAL","SPECIAL USE","1",01-MAR-16
"111-201608","201608","111","STUDY","STUDY","1",01-MAR-16
"112-201608","201608","112","SUPPORT","SUPPORT","1",01-MAR-16
"113-201608","201608","113","UNCLASS","UNCLASSIFIED","1",01-MAR-16
"114-201608","201608","114","ZUSE","ZUSE ICR ONLY","1",01-MAR-16
"101-201609","201609","101","BLDG SRV","BLDG SERVICE AREA","0",01-APR-16
"102-201609","201609","102","CIRCULAT","CIRCULATION AREA","0",01-APR-16
"103-201609","201609","103","CLASSRMS","CLASSROOMS","1",01-APR-16
"104-201609","201609","104","GENERAL","GENERAL USE","1",01-APR-16
"105-201609","201609","105","HEALTH","HEALTH CARE","1",01-APR-16
"106-201609","201609","106","LABS","LABORATORIES","1",01-APR-16
"107-201609","201609","107","MECHANIC","MECHANICAL AREA","0",01-APR-16
"108-201609","201609","108","OFFICES","OFFICES","1",01-APR-16
"109-201609","201609","109","RESIDENT","RESIDENTIAL","1",01-APR-16
"110-201609","201609","110","SPECIAL","SPECIAL USE","1",01-APR-16
"111-201609","201609","111","STUDY","STUDY","1",01-APR-16
"112-201609","201609","112","SUPPORT","SUPPORT","1",01-APR-16
"113-201609","201609","113","UNCLASS","UNCLASSIFIED","1",01-APR-16
"114-201609","201609","114","ZUSE","ZUSE ICR ONLY","1",01-APR-16
"101-201612","201612","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUL-16
"102-201612","201612","102","CIRCULAT","CIRCULATION AREA","0",01-JUL-16
"103-201612","201612","103","CLASSRMS","CLASSROOMS","1",01-JUL-16
"104-201612","201612","104","GENERAL","GENERAL USE","1",01-JUL-16
"105-201612","201612","105","HEALTH","HEALTH CARE","1",01-JUL-16
"106-201612","201612","106","LABS","LABORATORIES","1",01-JUL-16
"107-201612","201612","107","MECHANIC","MECHANICAL AREA","0",01-JUL-16
"108-201612","201612","108","OFFICES","OFFICES","1",01-JUL-16
"109-201612","201612","109","RESIDENT","RESIDENTIAL","1",01-JUL-16
"110-201612","201612","110","SPECIAL","SPECIAL USE","1",01-JUL-16
"111-201612","201612","111","STUDY","STUDY","1",01-JUL-16
"112-201612","201612","112","SUPPORT","SUPPORT","1",01-JUL-16
"113-201612","201612","113","UNCLASS","UNCLASSIFIED","1",01-JUL-16
"114-201612","201612","114","ZUSE","ZUSE ICR ONLY","1",01-JUL-16
"101-201709","201709","101","BLDG SRV","BLDG SERVICE AREA","0",01-APR-17
"102-201709","201709","102","CIRCULAT","CIRCULATION AREA","0",01-APR-17
"103-201709","201709","103","CLASSRMS","CLASSROOMS","1",01-APR-17
"104-201709","201709","104","GENERAL","GENERAL USE","1",01-APR-17
"105-201709","201709","105","HEALTH","HEALTH CARE","1",01-APR-17
"106-201709","201709","106","LABS","LABORATORIES","1",01-APR-17
"107-201709","201709","107","MECHANIC","MECHANICAL AREA","0",01-APR-17
"108-201709","201709","108","OFFICES","OFFICES","1",01-APR-17
"109-201709","201709","109","RESIDENT","RESIDENTIAL","1",01-APR-17
"110-201709","201709","110","SPECIAL","SPECIAL USE","1",01-APR-17
"111-201709","201709","111","STUDY","STUDY","1",01-APR-17
"112-201709","201709","112","SUPPORT","SUPPORT","1",01-APR-17
"113-201709","201709","113","UNCLASS","UNCLASSIFIED","1",01-APR-17
"114-201709","201709","114","ZUSE","ZUSE ICR ONLY","1",01-APR-17
"101-201711","201711","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUN-17
"102-201711","201711","102","CIRCULAT","CIRCULATION AREA","0",01-JUN-17
"103-201711","201711","103","CLASSRMS","CLASSROOMS","1",01-JUN-17
"104-201711","201711","104","GENERAL","GENERAL USE","1",01-JUN-17
"105-201711","201711","105","HEALTH","HEALTH CARE","1",01-JUN-17
"106-201711","201711","106","LABS","LABORATORIES","1",01-JUN-17
"107-201711","201711","107","MECHANIC","MECHANICAL AREA","0",01-JUN-17
"108-201711","201711","108","OFFICES","OFFICES","1",01-JUN-17
"109-201711","201711","109","RESIDENT","RESIDENTIAL","1",01-JUN-17
"110-201711","201711","110","SPECIAL","SPECIAL USE","1",01-JUN-17
"111-201711","201711","111","STUDY","STUDY","1",01-JUN-17
"112-201711","201711","112","SUPPORT","SUPPORT","1",01-JUN-17
"113-201711","201711","113","UNCLASS","UNCLASSIFIED","1",01-JUN-17
"114-201711","201711","114","ZUSE","ZUSE ICR ONLY","1",01-JUN-17
"103-201804","201804","103","CLASSRMS","CLASSROOMS","1",01-NOV-17
"104-201804","201804","104","GENERAL","GENERAL USE","1",01-NOV-17
"105-201804","201804","105","HEALTH","HEALTH CARE","1",01-NOV-17
"106-201804","201804","106","LABS","LABORATORIES","1",01-NOV-17
"107-201804","201804","107","MECHANIC","MECHANICAL AREA","0",01-NOV-17
"108-201804","201804","108","OFFICES","OFFICES","1",01-NOV-17
"109-201804","201804","109","RESIDENT","RESIDENTIAL","1",01-NOV-17
"110-201804","201804","110","SPECIAL","SPECIAL USE","1",01-NOV-17
"111-201804","201804","111","STUDY","STUDY","1",01-NOV-17
"112-201804","201804","112","SUPPORT","SUPPORT","1",01-NOV-17
"113-201804","201804","113","UNCLASS","UNCLASSIFIED","1",01-NOV-17
"114-201804","201804","114","ZUSE","ZUSE ICR ONLY","1",01-NOV-17
"102-201806","201806","102","CIRCULAT","CIRCULATION AREA","0",01-JAN-18
"103-201806","201806","103","CLASSRMS","CLASSROOMS","1",01-JAN-18
"104-201806","201806","104","GENERAL","GENERAL USE","1",01-JAN-18
"105-201806","201806","105","HEALTH","HEALTH CARE","1",01-JAN-18
"106-201806","201806","106","LABS","LABORATORIES","1",01-JAN-18
"107-201806","201806","107","MECHANIC","MECHANICAL AREA","0",01-JAN-18
"108-201806","201806","108","OFFICES","OFFICES","1",01-JAN-18
"109-201806","201806","109","RESIDENT","RESIDENTIAL","1",01-JAN-18
"110-201806","201806","110","SPECIAL","SPECIAL USE","1",01-JAN-18
"111-201806","201806","111","STUDY","STUDY","1",01-JAN-18
"112-201806","201806","112","SUPPORT","SUPPORT","1",01-JAN-18
"113-201806","201806","113","UNCLASS","UNCLASSIFIED","1",01-JAN-18
"114-201806","201806","114","ZUSE","ZUSE ICR ONLY","1",01-JAN-18
"101-201808","201808","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAR-18
"102-201808","201808","102","CIRCULAT","CIRCULATION AREA","0",01-MAR-18
"103-201808","201808","103","CLASSRMS","CLASSROOMS","1",01-MAR-18
"104-201808","201808","104","GENERAL","GENERAL USE","1",01-MAR-18
"105-201808","201808","105","HEALTH","HEALTH CARE","1",01-MAR-18
"106-201808","201808","106","LABS","LABORATORIES","1",01-MAR-18
"107-201808","201808","107","MECHANIC","MECHANICAL AREA","0",01-MAR-18
"108-201808","201808","108","OFFICES","OFFICES","1",01-MAR-18
"109-201808","201808","109","RESIDENT","RESIDENTIAL","1",01-MAR-18
"110-201808","201808","110","SPECIAL","SPECIAL USE","1",01-MAR-18
"111-201808","201808","111","STUDY","STUDY","1",01-MAR-18
"112-201808","201808","112","SUPPORT","SUPPORT","1",01-MAR-18
"113-201808","201808","113","UNCLASS","UNCLASSIFIED","1",01-MAR-18
"114-201808","201808","114","ZUSE","ZUSE ICR ONLY","1",01-MAR-18
"101-201907","201907","101","BLDG SRV","BLDG SERVICE AREA","0",01-FEB-19
"102-201907","201907","102","CIRCULAT","CIRCULATION AREA","0",01-FEB-19
"103-201907","201907","103","CLASSRMS","CLASSROOMS","1",01-FEB-19
"104-201907","201907","104","GENERAL","GENERAL USE","1",01-FEB-19
"105-201907","201907","105","HEALTH","HEALTH CARE","1",01-FEB-19
"106-201907","201907","106","LABS","LABORATORIES","1",01-FEB-19
"107-201907","201907","107","MECHANIC","MECHANICAL AREA","0",01-FEB-19
"108-201907","201907","108","OFFICES","OFFICES","1",01-FEB-19
"109-201907","201907","109","RESIDENT","RESIDENTIAL","1",01-FEB-19
"110-201907","201907","110","SPECIAL","SPECIAL USE","1",01-FEB-19
"111-201907","201907","111","STUDY","STUDY","1",01-FEB-19
"112-201907","201907","112","SUPPORT","SUPPORT","1",01-FEB-19
"113-201907","201907","113","UNCLASS","UNCLASSIFIED","1",01-FEB-19
"114-201907","201907","114","ZUSE","ZUSE ICR ONLY","1",01-FEB-19
"101-201910","201910","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAY-19
"102-201910","201910","102","CIRCULAT","CIRCULATION AREA","0",01-MAY-19
"103-201910","201910","103","CLASSRMS","CLASSROOMS","1",01-MAY-19
"104-201910","201910","104","GENERAL","GENERAL USE","1",01-MAY-19
"105-201910","201910","105","HEALTH","HEALTH CARE","1",01-MAY-19
"106-201910","201910","106","LABS","LABORATORIES","1",01-MAY-19
"107-201910","201910","107","MECHANIC","MECHANICAL AREA","0",01-MAY-19
"108-201910","201910","108","OFFICES","OFFICES","1",01-MAY-19
"109-201910","201910","109","RESIDENT","RESIDENTIAL","1",01-MAY-19
"110-201910","201910","110","SPECIAL","SPECIAL USE","1",01-MAY-19
"111-201910","201910","111","STUDY","STUDY","1",01-MAY-19
"112-201910","201910","112","SUPPORT","SUPPORT","1",01-MAY-19
"113-201910","201910","113","UNCLASS","UNCLASSIFIED","1",01-MAY-19
"114-201910","201910","114","ZUSE","ZUSE ICR ONLY","1",01-MAY-19
"101-202007","202007","101","BLDG SRV","BLDG SERVICE AREA","0",01-FEB-20
"102-202007","202007","102","CIRCULAT","CIRCULATION AREA","0",01-FEB-20
"103-202007","202007","103","CLASSRMS","CLASSROOMS","1",01-FEB-20
"104-202007","202007","104","GENERAL","GENERAL USE","1",01-FEB-20
"105-202007","202007","105","HEALTH","HEALTH CARE","1",01-FEB-20
"106-202007","202007","106","LABS","LABORATORIES","1",01-FEB-20
"107-202007","202007","107","MECHANIC","MECHANICAL AREA","0",01-FEB-20
"108-202007","202007","108","OFFICES","OFFICES","1",01-FEB-20
"109-202007","202007","109","RESIDENT","RESIDENTIAL","1",01-FEB-20
"110-202007","202007","110","SPECIAL","SPECIAL USE","1",01-FEB-20
"111-202007","202007","111","STUDY","STUDY","1",01-FEB-20
"112-202007","202007","112","SUPPORT","SUPPORT","1",01-FEB-20
"113-202007","202007","113","UNCLASS","UNCLASSIFIED","1",01-FEB-20
"114-202007","202007","114","ZUSE","ZUSE ICR ONLY","1",01-FEB-20
"101-202011","202011","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUN-20
"102-202011","202011","102","CIRCULAT","CIRCULATION AREA","0",01-JUN-20
"103-202011","202011","103","CLASSRMS","CLASSROOMS","1",01-JUN-20
"104-202011","202011","104","GENERAL","GENERAL USE","1",01-JUN-20
"105-202011","202011","105","HEALTH","HEALTH CARE","1",01-JUN-20
"106-202011","202011","106","LABS","LABORATORIES","1",01-JUN-20
"107-202011","202011","107","MECHANIC","MECHANICAL AREA","0",01-JUN-20
"108-202011","202011","108","OFFICES","OFFICES","1",01-JUN-20
"109-202011","202011","109","RESIDENT","RESIDENTIAL","1",01-JUN-20
"110-202011","202011","110","SPECIAL","SPECIAL USE","1",01-JUN-20
"111-202011","202011","111","STUDY","STUDY","1",01-JUN-20
"112-202011","202011","112","SUPPORT","SUPPORT","1",01-JUN-20
"113-202011","202011","113","UNCLASS","UNCLASSIFIED","1",01-JUN-20
"114-202011","202011","114","ZUSE","ZUSE ICR ONLY","1",01-JUN-20
"101-202112","202112","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUL-21
"102-202112","202112","102","CIRCULAT","CIRCULATION AREA","0",01-JUL-21
"103-202112","202112","103","CLASSRMS","CLASSROOMS","1",01-JUL-21
"104-202112","202112","104","GENERAL","GENERAL USE","1",01-JUL-21
"105-202112","202112","105","HEALTH","HEALTH CARE","1",01-JUL-21
"106-202112","202112","106","LABS","LABORATORIES","1",01-JUL-21
"107-202112","202112","107","MECHANIC","MECHANICAL AREA","0",01-JUL-21
"108-202112","202112","108","OFFICES","OFFICES","1",01-JUL-21
"109-202112","202112","109","RESIDENT","RESIDENTIAL","1",01-JUL-21
"110-202112","202112","110","SPECIAL","SPECIAL USE","1",01-JUL-21
"111-202112","202112","111","STUDY","STUDY","1",01-JUL-21
"112-202112","202112","112","SUPPORT","SUPPORT","1",01-JUL-21
"113-202112","202112","113","UNCLASS","UNCLASSIFIED","1",01-JUL-21
"114-202112","202112","114","ZUSE","ZUSE ICR ONLY","1",01-JUL-21
"101-202204","202204","101","BLDG SRV","BLDG SERVICE AREA","0",01-NOV-21
"102-202204","202204","102","CIRCULAT","CIRCULATION AREA","0",01-NOV-21
"103-202204","202204","103","CLASSRMS","CLASSROOMS","1",01-NOV-21
"104-202204","202204","104","GENERAL","GENERAL USE","1",01-NOV-21
"105-202204","202204","105","HEALTH","HEALTH CARE","1",01-NOV-21
"106-202204","202204","106","LABS","LABORATORIES","1",01-NOV-21
"107-202204","202204","107","MECHANIC","MECHANICAL AREA","0",01-NOV-21
"108-202204","202204","108","OFFICES","OFFICES","1",01-NOV-21
"109-202204","202204","109","RESIDENT","RESIDENTIAL","1",01-NOV-21
"110-202204","202204","110","SPECIAL","SPECIAL USE","1",01-NOV-21
"111-202204","202204","111","STUDY","STUDY","1",01-NOV-21
"112-202204","202204","112","SUPPORT","SUPPORT","1",01-NOV-21
"113-202204","202204","113","UNCLASS","UNCLASSIFIED","1",01-NOV-21
"114-202204","202204","114","ZUSE","ZUSE ICR ONLY","1",01-NOV-21
"102-202210","202210","102","CIRCULAT","CIRCULATION AREA","0",01-MAY-22
"103-202210","202210","103","CLASSRMS","CLASSROOMS","1",01-MAY-22
"104-202210","202210","104","GENERAL","GENERAL USE","1",01-MAY-22
"105-202210","202210","105","HEALTH","HEALTH CARE","1",01-MAY-22
"106-202210","202210","106","LABS","LABORATORIES","1",01-MAY-22
"107-202210","202210","107","MECHANIC","MECHANICAL AREA","0",01-MAY-22
"108-202210","202210","108","OFFICES","OFFICES","1",01-MAY-22
"109-202210","202210","109","RESIDENT","RESIDENTIAL","1",01-MAY-22
"110-202210","202210","110","SPECIAL","SPECIAL USE","1",01-MAY-22
"111-202210","202210","111","STUDY","STUDY","1",01-MAY-22
"112-202210","202210","112","SUPPORT","SUPPORT","1",01-MAY-22
"113-202210","202210","113","UNCLASS","UNCLASSIFIED","1",01-MAY-22
"114-202210","202210","114","ZUSE","ZUSE ICR ONLY","1",01-MAY-22
"101-202212","202212","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUL-22
"102-202212","202212","102","CIRCULAT","CIRCULATION AREA","0",01-JUL-22
"103-202212","202212","103","CLASSRMS","CLASSROOMS","1",01-JUL-22
"104-202212","202212","104","GENERAL","GENERAL USE","1",01-JUL-22
"105-202212","202212","105","HEALTH","HEALTH CARE","1",01-JUL-22
"106-202212","202212","106","LABS","LABORATORIES","1",01-JUL-22
"101-202201","202201","101","BLDG SRV","BLDG SERVICE AREA","0",01-AUG-21
"102-202201","202201","102","CIRCULAT","CIRCULATION AREA","0",01-AUG-21
"103-202201","202201","103","CLASSRMS","CLASSROOMS","1",01-AUG-21
"104-202201","202201","104","GENERAL","GENERAL USE","1",01-AUG-21
"105-202201","202201","105","HEALTH","HEALTH CARE","1",01-AUG-21
"106-202201","202201","106","LABS","LABORATORIES","1",01-AUG-21
"107-202201","202201","107","MECHANIC","MECHANICAL AREA","0",01-AUG-21
"108-202201","202201","108","OFFICES","OFFICES","1",01-AUG-21
"109-202201","202201","109","RESIDENT","RESIDENTIAL","1",01-AUG-21
"110-202201","202201","110","SPECIAL","SPECIAL USE","1",01-AUG-21
"111-202201","202201","111","STUDY","STUDY","1",01-AUG-21
"112-202201","202201","112","SUPPORT","SUPPORT","1",01-AUG-21
"113-202201","202201","113","UNCLASS","UNCLASSIFIED","1",01-AUG-21
"114-202201","202201","114","ZUSE","ZUSE ICR ONLY","1",01-AUG-21
"101-202207","202207","101","BLDG SRV","BLDG SERVICE AREA","0",01-FEB-22
"102-202207","202207","102","CIRCULAT","CIRCULATION AREA","0",01-FEB-22
"103-202207","202207","103","CLASSRMS","CLASSROOMS","1",01-FEB-22
"104-202207","202207","104","GENERAL","GENERAL USE","1",01-FEB-22
"105-202207","202207","105","HEALTH","HEALTH CARE","1",01-FEB-22
"106-202207","202207","106","LABS","LABORATORIES","1",01-FEB-22
"107-202207","202207","107","MECHANIC","MECHANICAL AREA","0",01-FEB-22
"108-202207","202207","108","OFFICES","OFFICES","1",01-FEB-22
"109-202207","202207","109","RESIDENT","RESIDENTIAL","1",01-FEB-22
"110-202207","202207","110","SPECIAL","SPECIAL USE","1",01-FEB-22
"111-202207","202207","111","STUDY","STUDY","1",01-FEB-22
"112-202207","202207","112","SUPPORT","SUPPORT","1",01-FEB-22
"113-202207","202207","113","UNCLASS","UNCLASSIFIED","1",01-FEB-22
"114-202207","202207","114","ZUSE","ZUSE ICR ONLY","1",01-FEB-22
"101-202211","202211","101","BLDG SRV","BLDG SERVICE AREA","0",01-JUN-22
"102-202211","202211","102","CIRCULAT","CIRCULATION AREA","0",01-JUN-22
"103-202211","202211","103","CLASSRMS","CLASSROOMS","1",01-JUN-22
"104-202211","202211","104","GENERAL","GENERAL USE","1",01-JUN-22
"105-202211","202211","105","HEALTH","HEALTH CARE","1",01-JUN-22
"106-202211","202211","106","LABS","LABORATORIES","1",01-JUN-22
"107-202211","202211","107","MECHANIC","MECHANICAL AREA","0",01-JUN-22
"108-202211","202211","108","OFFICES","OFFICES","1",01-JUN-22
"109-202211","202211","109","RESIDENT","RESIDENTIAL","1",01-JUN-22
"110-202211","202211","110","SPECIAL","SPECIAL USE","1",01-JUN-22
"111-202211","202211","111","STUDY","STUDY","1",01-JUN-22
"112-202211","202211","112","SUPPORT","SUPPORT","1",01-JUN-22
"113-202211","202211","113","UNCLASS","UNCLASSIFIED","1",01-JUN-22
"114-202211","202211","114","ZUSE","ZUSE ICR ONLY","1",01-JUN-22
"107-202212","202212","107","MECHANIC","MECHANICAL AREA","0",01-JUL-22
"108-202212","202212","108","OFFICES","OFFICES","1",01-JUL-22
"109-202212","202212","109","RESIDENT","RESIDENTIAL","1",01-JUL-22
"110-202212","202212","110","SPECIAL","SPECIAL USE","1",01-JUL-22
"111-202212","202212","111","STUDY","STUDY","1",01-JUL-22
"112-202212","202212","112","SUPPORT","SUPPORT","1",01-JUL-22
"113-202212","202212","113","UNCLASS","UNCLASSIFIED","1",01-JUL-22
"114-202212","202212","114","ZUSE","ZUSE ICR ONLY","1",01-JUL-22
"101-202302","202302","101","BLDG SRV","BLDG SERVICE AREA","0",01-SEP-22
"102-202302","202302","102","CIRCULAT","CIRCULATION AREA","0",01-SEP-22
"103-202302","202302","103","CLASSRMS","CLASSROOMS","1",01-SEP-22
"104-202302","202302","104","GENERAL","GENERAL USE","1",01-SEP-22
"105-202302","202302","105","HEALTH","HEALTH CARE","1",01-SEP-22
"106-202302","202302","106","LABS","LABORATORIES","1",01-SEP-22
"107-202302","202302","107","MECHANIC","MECHANICAL AREA","0",01-SEP-22
"108-202302","202302","108","OFFICES","OFFICES","1",01-SEP-22
"109-202302","202302","109","RESIDENT","RESIDENTIAL","1",01-SEP-22
"110-202302","202302","110","SPECIAL","SPECIAL USE","1",01-SEP-22
"111-202302","202302","111","STUDY","STUDY","1",01-SEP-22
"112-202302","202302","112","SUPPORT","SUPPORT","1",01-SEP-22
"113-202302","202302","113","UNCLASS","UNCLASSIFIED","1",01-SEP-22
"114-202302","202302","114","ZUSE","ZUSE ICR ONLY","1",01-SEP-22
"101-202304","202304","101","BLDG SRV","BLDG SERVICE AREA","0",01-NOV-22
"102-202304","202304","102","CIRCULAT","CIRCULATION AREA","0",01-NOV-22
"103-202304","202304","103","CLASSRMS","CLASSROOMS","1",01-NOV-22
"104-202304","202304","104","GENERAL","GENERAL USE","1",01-NOV-22
"105-202304","202304","105","HEALTH","HEALTH CARE","1",01-NOV-22
"106-202304","202304","106","LABS","LABORATORIES","1",01-NOV-22
"107-202304","202304","107","MECHANIC","MECHANICAL AREA","0",01-NOV-22
"108-202304","202304","108","OFFICES","OFFICES","1",01-NOV-22
"109-202304","202304","109","RESIDENT","RESIDENTIAL","1",01-NOV-22
"110-202304","202304","110","SPECIAL","SPECIAL USE","1",01-NOV-22
"111-202304","202304","111","STUDY","STUDY","1",01-NOV-22
"112-202304","202304","112","SUPPORT","SUPPORT","1",01-NOV-22
"113-202304","202304","113","UNCLASS","UNCLASSIFIED","1",01-NOV-22
"114-202304","202304","114","ZUSE","ZUSE ICR ONLY","1",01-NOV-22
"101-202305","202305","101","BLDG SRV","BLDG SERVICE AREA","0",01-DEC-22
"102-202305","202305","102","CIRCULAT","CIRCULATION AREA","0",01-DEC-22
"103-202305","202305","103","CLASSRMS","CLASSROOMS","1",01-DEC-22
"104-202305","202305","104","GENERAL","GENERAL USE","1",01-DEC-22
"105-202305","202305","105","HEALTH","HEALTH CARE","1",01-DEC-22
"106-202305","202305","106","LABS","LABORATORIES","1",01-DEC-22
"107-202305","202305","107","MECHANIC","MECHANICAL AREA","0",01-DEC-22
"108-202305","202305","108","OFFICES","OFFICES","1",01-DEC-22
"109-202305","202305","109","RESIDENT","RESIDENTIAL","1",01-DEC-22
"110-202305","202305","110","SPECIAL","SPECIAL USE","1",01-DEC-22
"111-202305","202305","111","STUDY","STUDY","1",01-DEC-22
"112-202305","202305","112","SUPPORT","SUPPORT","1",01-DEC-22
"113-202305","202305","113","UNCLASS","UNCLASSIFIED","1",01-DEC-22
"114-202305","202305","114","ZUSE","ZUSE ICR ONLY","1",01-DEC-22
"101-202306","202306","101","BLDG SRV","BLDG SERVICE AREA","0",01-JAN-23
"102-202306","202306","102","CIRCULAT","CIRCULATION AREA","0",01-JAN-23
"103-202306","202306","103","CLASSRMS","CLASSROOMS","1",01-JAN-23
"104-202306","202306","104","GENERAL","GENERAL USE","1",01-JAN-23
"105-202306","202306","105","HEALTH","HEALTH CARE","1",01-JAN-23
"106-202306","202306","106","LABS","LABORATORIES","1",01-JAN-23
"107-202306","202306","107","MECHANIC","MECHANICAL AREA","0",01-JAN-23
"108-202306","202306","108","OFFICES","OFFICES","1",01-JAN-23
"109-202306","202306","109","RESIDENT","RESIDENTIAL","1",01-JAN-23
"110-202306","202306","110","SPECIAL","SPECIAL USE","1",01-JAN-23
"111-202306","202306","111","STUDY","STUDY","1",01-JAN-23
